N	3gram	Losev_Prob_1	VelikijI
1	то что мы	6	3
2	к тому что	1	3
3	а между тем	1	2
4	в том что	5	2
5	и т д	10	2
6	то ни стало	1	1
7	во что бы	1	1
8	есть прежде всего	1	1
9	т д и	4	1
10	в сознании и	2	1
11	бы то ни	1	1
12	по крайней мере	2	1
13	то и другое	2	1
14	вместе с тем	1	1
15	что бы то	1	1
16	в конце концов	4	1
17	потому что оно	2	1
18	в известном смысле	1	1
19	и в этом	2	1
20	не могут быть	1	1
21	тем что они	1	1
22	с другой стороны	3	1
23	раз и навсегда	1	1
24	д и т	3	1
25	в одно целое	2	1
26	так и в	1	1
27	есть еще и	2	1
28	и что в	2	1
29	как и в	1	1
