N	3gram	Tiupa_Vved_1	OGranits
1	не может быть	3	4
2	по отношению к	7	3
3	и т.п и	1	3
4	что иное как	1	2
5	в зависимости от	1	2
6	в данном случае	6	2
7	с одной стороны	5	2
8	с другой стороны	1	2
9	не что иное	1	2
10	в том что	3	2
11	один и тот	1	1
12	более или менее	2	1
13	на самом деле	3	1
14	подобно тому как	2	1
15	те же самые	1	1
16	то же самое	1	1
17	в отличие от	2	1
18	не было бы	1	1
19	в этом отношении	4	1
20	можно было бы	2	1
21	же самые слова	1	1
22	в науке о	1	1
23	может быть не	3	1
24	если бы мы	1	1
25	если говорить о	1	1
26	и тот же	1	1
27	состоит в том	2	1
28	не входит в	1	1
29	тем не менее	3	1
30	в связи с	1	1
31	а не как	1	1
32	само по себе	1	1
33	все то что	1	1
34	в их исторической	1	1
35	то же время	3	1
36	мы не можем	1	1
37	собственно говоря и	1	1
38	в конечном счете	1	1
39	на то что	1	1
40	в то же	4	1
41	как и в	2	1
