N	2gram	Losev_Dial_4	FransuaR
1	и в	15	65
2	как бы	14	22
3	и не	30	22
4	вовсе не	6	18
5	в сущности	5	16
6	в том	11	16
7	в этом	11	15
8	но в	3	14
9	в нем	5	13
10	мы уже	3	12
11	и на	5	11
12	прежде всего	11	11
13	все эти	3	10
14	не только	8	10
15	и его	7	10
16	так и	5	10
17	но и	4	10
18	и потому	3	10
19	во всех	2	9
20	в его	4	9
21	все это	9	9
22	за пределы	3	8
23	всех этих	1	8
24	в своем	5	8
25	в основе	10	8
26	в духе	1	8
27	в дальнейшем	1	8
28	и даже	6	8
29	его в	1	7
30	точки зрения	14	7
31	в области	3	7
32	только в	7	7
33	жизни и	4	7
34	на самом	1	6
35	в ней	5	6
36	еще не	4	6
37	все же	2	6
38	и у	1	6
39	главным образом	2	6
40	при этом	2	6
41	том что	10	6
42	в отношении	2	6
43	никогда не	2	6
44	как мы	1	6
45	нашей работы	1	6
46	одно из	1	6
47	так как	14	6
48	может быть	17	6
49	не знает	1	6
50	сказать что	6	6
51	с его	5	5
52	отличие от	2	5
53	как в	3	5
54	с их	4	5
55	в них	2	5
56	как и	7	5
57	земли и	1	5
58	есть в	4	5
59	в своей	3	5
60	потому что	10	5
61	той или	4	5
62	в одном	4	5
63	или иной	1	5
64	и пр	9	5
65	превращается в	1	5
66	в частности	2	5
67	в той	1	5
68	и все	11	5
69	в своих	1	5
70	жизни в	1	5
71	в общем	1	4
72	поэтому и	1	4
73	в самом	2	4
74	в этой	4	4
75	и еще	1	4
76	входит в	1	4
77	в их	3	4
78	в отличие	1	4
79	не понимает	2	4
80	не в	8	4
81	и искусства	1	4
82	можно только	3	4
83	связи с	1	4
84	в жизни	5	4
85	из них	2	4
86	отношение к	1	4
87	нужно сказать	1	4
88	это уже	1	4
89	мира и	1	4
90	это как	2	4
91	совершенно не	3	4
92	можно говорить	2	3
93	конечно и	1	3
94	нем только	1	3
95	мы будем	2	3
96	жить и	1	3
97	не просто	7	3
98	и вовсе	1	3
99	в себя	5	3
100	уже не	9	3
101	но все	2	3
102	то что	16	3
103	в себе	8	3
104	и с	4	3
105	и других	1	3
106	это не	12	3
107	весь мир	2	3
108	в ее	2	3
109	с точки	9	3
110	дает в	2	3
111	мир и	4	3
112	но это	4	3
113	даже в	1	3
114	самой жизни	1	3
115	ничего не	17	3
116	и тела	1	3
117	и здесь	1	3
118	не могут	2	3
119	сама жизнь	1	3
120	и прежде	1	3
121	в виду	9	3
122	и вообще	7	3
123	с ним	3	3
124	о нем	2	3
125	с другой	1	3
126	и во	2	3
127	к нему	1	3
128	во всей	2	3
129	что он	7	3
130	но как	2	3
131	и новое	1	3
132	итак в	2	3
133	как раз	4	3
134	даже и	3	3
135	же деле	1	3
136	не были	1	3
137	самом же	2	3
138	мира в	1	3
139	на фоне	1	3
140	нет ничего	6	3
141	из мира	1	3
142	и их	2	3
143	в состоянии	1	3
144	но для	2	3
145	не является	1	3
146	на землю	1	3
147	и ни	2	3
148	не может	11	3
149	что в	7	3
150	отношения к	3	2
151	видеть в	1	2
152	для своего	1	2
153	и само	2	2
154	память о	1	2
155	бы ни	2	2
156	и он	1	2
157	это время	1	2
158	на них	1	2
159	именно эти	1	2
