N	2gram	Tiupa_Anal_3	FransuaR
1	и в	18	56
2	то есть	10	24
3	в романе	2	21
4	в его	7	18
5	таким образом	4	17
6	все эти	2	15
7	в этом	14	14
8	в том	9	13
9	так и	14	13
10	он был	1	12
11	в то	3	12
12	и его	13	12
13	то же	3	11
14	в них	2	11
15	и т.п	5	11
16	как бы	10	11
17	и до	1	10
18	мы уже	1	10
19	еще не	6	10
20	же время	3	10
21	в самом	5	9
22	и не	12	9
23	только в	2	9
24	но и	13	9
25	в сущности	5	8
26	во всех	2	8
27	не только	22	8
28	в нем	2	8
29	и их	1	8
30	и даже	8	8
31	до сих	1	8
32	и др	1	8
33	по своему	2	8
34	сих пор	1	8
35	все это	3	8
36	том что	12	8
37	и на	4	7
38	в большинстве	2	7
39	как мы	1	7
40	у него	1	7
41	в частности	12	7
42	той же	5	6
43	в ее	3	6
44	в этой	6	6
45	мертвых душ	1	6
46	но в	2	6
47	на его	2	6
48	точки зрения	3	6
49	вовсе не	1	6
50	связи с	1	6
51	большинстве случаев	1	6
52	связаны с	1	6
53	прежде всего	5	6
54	в той	2	6
55	все они	2	6
56	и все	2	6
57	потому что	1	6
58	у гоголя	1	5
59	с ее	3	5
60	с его	8	5
61	но не	7	5
62	в пределах	4	5
63	он не	6	5
64	так сказать	2	5
65	роль в	3	5
66	своего рода	8	5
67	никогда не	5	5
68	один из	2	5
69	не было	3	5
70	как и	14	5
71	в результате	5	5
72	что в	9	5
73	есть и	1	5
74	и другие	1	5
75	они не	1	5
76	например в	2	4
77	и потому	2	4
78	в ней	2	4
79	за пределы	1	4
80	и к	4	4
81	в себе	2	4
82	при этом	11	4
83	тарасе бульбе	3	4
84	и ее	2	4
85	даже в	2	4
86	одна из	2	4
87	того чтобы	1	4
88	по своей	2	4
89	во всем	3	4
90	наконец в	1	4
91	к языку	1	4
92	о том	6	4
93	с одной	2	4
94	в качестве	12	4
95	в особенности	3	4
96	в тарасе	3	4
97	в основе	1	4
98	в своих	1	4
99	и четвертой	1	3
100	в году	3	3
101	в их	6	3
102	на них	1	3
103	время в	1	3
104	в своем	4	3
105	перед нами	4	3
106	в свет	1	3
107	всех этих	1	3
108	первой части	1	3
109	характер в	1	3
110	не мог	2	3
111	не в	6	3
112	казалось бы	1	3
113	в форме	2	3
114	рядом с	1	3
115	здесь мы	1	3
116	и был	1	3
117	и о	1	3
118	в другом	1	3
