N	3gram	Tiupa_Narr_2	Otkroven
1	для того чтобы	1	3
2	в человеке в	1	3
3	что у него	1	2
4	не может быть	2	2
5	но и в	2	2
6	ни у кого	1	2
7	по сравнению с	1	1
8	хотя и не	2	1
9	по природе своей	1	1
10	в строгом смысле	1	1
11	не в том	1	1
12	сказать про него	1	1
13	и богаче чем	1	1
14	в самом деле	1	1
15	как бы в	2	1
16	не растворяется в	1	1
17	и когда он	1	1
18	и все же	2	1
19	и не может	2	1
20	во всяком случае	1	1
21	о том что	4	1
22	в этом отношении	3	1
23	жизни а не	1	1
24	в том что	8	1
25	самим собой в	1	1
26	что есть на	1	1
27	которым можно было	1	1
28	и он не	1	1
29	что это за	1	1
30	вместо того чтобы	1	1
31	а не только	1	1
32	и все что	1	1
33	я верю в	1	1
