N	3gram	Trubetskoy_1	UchenyiS
1	не может быть	4	4
2	то же время	10	3
3	бы то ни	4	3
4	в то же	10	3
5	то ни было	1	3
6	а между тем	5	2
7	в самом деле	1	2
8	но даже и	1	2
9	то же самое	1	2
10	до сих пор	5	2
11	в этом отношении	1	2
12	в том что	7	2
13	в противном случае	1	2
14	по крайней мере	1	2
15	и то что	3	2
16	и в частности	1	2
17	тех или иных	1	2
18	в конце концов	3	2
19	по себе еще	1	1
20	не только к	2	1
21	с другом не	1	1
22	более или менее	4	1
23	это то же	1	1
24	в значительной мере	2	1
25	в этом случае	3	1
26	и не только	1	1
27	приходится признать что	1	1
28	но по существу	1	1
29	но это же	1	1
30	и прежде всего	1	1
31	на то что	4	1
32	говорить не о	1	1
33	только в этом	1	1
34	друг с другом	14	1
35	быть не может	1	1
36	в данном случае	3	1
37	этого и в	1	1
38	но в то	1	1
39	тем что он	1	1
40	на первый взгляд	1	1
