N	3gram	Kanaev_Sov_1	Komedia
1	в том что	1	5
2	на этот раз	1	4
3	по отношению к	1	3
4	в связи с	1	3
5	то же время	1	3
6	в то же	1	3
7	в обоих случаях	1	2
8	в этом смысле	1	2
9	до сих пор	1	2
10	в отличие от	2	2
11	бы то ни	1	2
12	то ни было	1	2
13	с одной стороны	1	2
14	во всяком случае	2	2
15	можно было бы	1	2
16	друг с другом	2	2
17	ни в один	1	1
18	же мере в	1	1
19	как и во	1	1
20	в самом деле	1	1
21	одна из них	1	1
22	с точки зрения	5	1
23	и еще более	1	1
24	и во всех	1	1
25	и в то	1	1
26	с самого начала	3	1
27	мы помним что	1	1
28	и та же	1	1
29	а может быть	1	1
30	легла в основу	1	1
31	все же это	1	1
32	в том случае	1	1
33	так как он	2	1
34	представление о том	1	1
35	той или иной	1	1
36	в этой области	1	1
37	в начале нашего	1	1
38	сих пор в	1	1
39	тот или другой	1	1
40	одна и та	1	1
41	не может быть	4	1
42	не было бы	1	1
43	но уже в	1	1
44	может быть таким	1	1
45	в свою очередь	2	1
46	но все же	1	1
47	что в каждом	1	1
48	но все эти	1	1
49	тем не менее	2	1
50	в первом же	1	1
