N	3gram	Losev_Vlad_3	Formalny
1	не может быть	6	10
2	в связи с	2	10
3	с точки зрения	6	7
4	в этом отношении	2	7
5	в самом деле	1	5
6	и в этом	5	5
7	с тем что	1	5
8	то же время	2	5
9	в то же	3	5
10	во всяком случае	3	5
11	вместе с тем	6	4
12	как мы видели	3	4
13	как раз и	5	3
14	и в то	2	3
15	сам по себе	2	3
16	может быть и	1	3
17	в своей статье	1	3
18	в том смысле	1	3
19	с другой стороны	2	3
20	для того чтобы	1	3
21	то ни стало	2	2
22	в этом смысле	3	2
23	на первый план	2	2
24	как это было	1	2
25	и то и	1	2
26	в отличие от	3	2
27	в том случае	3	2
28	в этой статье	1	2
29	и в дальнейшем	1	2
30	что в нем	1	2
31	лишь постольку поскольку	1	2
32	то и другое	1	2
33	даже и не	2	2
34	в конце концов	5	2
35	с самого начала	1	2
36	к тому что	2	2
37	в том что	10	2
38	и не в	1	2
39	как мы знаем	2	2
40	то несмотря на	1	1
41	мы знаем что	1	1
42	что иное как	1	1
43	но как раз	1	1
44	а наоборот только	1	1
45	что же касается	5	1
46	сводится к тому	2	1
47	необходим критический анализ	1	1
48	по этому вопросу	1	1
49	эта проблема и	1	1
50	дать более или	1	1
51	чтобы можно было	1	1
52	иметь в виду	2	1
53	как и для	1	1
54	в виду что	1	1
55	что перед нами	1	1
56	более или менее	5	1
57	не говоря уже	1	1
58	раз и не	1	1
59	в этом последнем	1	1
60	в настоящее время	3	1
61	в таком виде	1	1
62	но даже и	2	1
63	в этом случае	1	1
64	во что бы	2	1
65	с одной стороны	3	1
66	для него является	1	1
67	только в том	3	1
68	до сих пор	1	1
69	в таком случае	2	1
70	но вовсе не	1	1
71	самом деле ведь	1	1
72	то едва ли	2	1
73	мы знаем в	2	1
74	этом отношении он	1	1
75	в противном случае	1	1
76	каждое из этих	1	1
77	возникает вопрос о	1	1
78	том случае если	2	1
79	он тяготеет к	1	1
80	что бы то	2	1
81	мы не можем	1	1
82	в этой области	1	1
83	можно думать что	1	1
84	в данном случае	2	1
85	однако и здесь	1	1
86	и в его	3	1
87	при помощи которой	1	1
88	все дело в	1	1
89	можно сказать так	1	1
90	существенная роль в	1	1
91	может быть никаких	1	1
92	так или иначе	2	1
93	это и есть	1	1
94	все же не	1	1
95	то что он	1	1
96	бы то ни	3	1
97	лишь в том	1	1
98	сказали не столько	1	1
99	тем что в	1	1
100	то во всяком	1	1
101	он уже не	1	1
102	только то что	1	1
103	тем обстоятельством что	1	1
104	не в плане	1	1
105	мы бы сказали	3	1
106	раз и навсегда	1	1
107	той или другой	1	1
108	но оно не	1	1
109	хотя и на	1	1
110	здесь не может	1	1
111	в некоторых отношениях	1	1
112	ничего общего с	2	1
113	едва ли можно	2	1
114	но все эти	1	1
115	оно не может	2	1
116	постольку поскольку он	1	1
117	ровно ничего не	1	1
118	но что же	1	1
119	бы сказали не	1	1
120	по этому поводу	1	1
121	не что иное	1	1
122	сама по себе	1	1
123	и ни на	1	1
124	тем не менее	9	1
125	что и в	3	1
126	не характерна для	1	1
127	теоретическими и практическими	1	1
