N	3gram	Losev_Prob_4	TeoriaLi
1	в том что	8	6
2	в то же	2	6
3	в данном случае	5	5
4	того или иного	3	5
5	более или менее	2	4
6	с другой стороны	6	3
7	тем не менее	10	3
8	в свою очередь	1	3
9	той или иной	11	3
10	в этом смысле	3	3
11	мы имеем дело	3	2
12	с точки зрения	11	2
13	тот или иной	2	2
14	войне и мире	1	2
15	с одной стороны	1	2
16	одно и то	1	2
17	в войне и	1	2
18	и тем самым	1	2
19	не только не	4	2
20	тех или иных	3	2
21	сама по себе	2	2
22	как и в	1	2
23	в чистом виде	2	1
24	в той или	7	1
25	и потому что	1	1
26	этой точки зрения	1	1
27	дело в том	1	1
28	это было бы	1	1
29	имеем в виду	3	1
30	коем случае не	1	1
31	но в нашем	1	1
32	в настоящее время	1	1
33	в прошлом и	1	1
34	в том числе	1	1
35	никак не может	1	1
36	или иной мере	3	1
37	в таком случае	1	1
38	и в то	1	1
39	ни в коем	3	1
40	что он не	1	1
41	бы то ни	1	1
42	ведь это не	1	1
43	только то что	1	1
44	и по преимуществу	1	1
45	том числе и	1	1
46	говорит что он	1	1
47	точно так же	3	1
48	в основе своей	1	1
49	действительность в ее	1	1
50	в коем случае	3	1
51	по крайней мере	6	1
52	на каждом из	1	1
53	еще не есть	1	1
54	если мы имеем	1	1
55	содержит в себе	8	1
56	можно даже сказать	2	1
57	здесь мы имеем	2	1
58	то ни было	1	1
59	по себе еще	1	1
60	развития но и	1	1
61	легко может быть	1	1
62	не содержит в	1	1
63	в известном смысле	1	1
64	и как бы	1	1
65	имеем дело с	1	1
66	в связи с	3	1
67	еще и потому	1	1
68	в первую очередь	1	1
69	а в другом	1	1
70	так же как	1	1
71	жизни то есть	1	1
72	в то время	2	1
73	а в том	1	1
74	только при условии	2	1
75	даже сказать что	1	1
76	в одном случае	2	1
77	с этой точки	1	1
78	это и есть	1	1
79	а не ее	1	1
80	о том что	3	1
81	в художественном смысле	2	1
82	и прежде всего	2	1
83	чтобы оно стало	1	1
84	именно потому что	1	1
85	точки зрения логики	1	1
86	ту или иную	1	1
87	каждой из них	2	1
88	мы имеем в	1	1
89	ни к какой	1	1
90	в сравнении с	2	1
91	дело не в	2	1
92	для того чтобы	2	1
93	том что он	1	1
94	мастер и маргарита	1	1
95	к тому же	2	1
96	по себе а	1	1
97	себе еще не	1	1
