N	2gram	Medvedev_F_3	Tragedij
1	и в	27	18
2	в романе	4	10
3	в этом	18	9
4	не только	9	8
5	и с	3	7
6	и на	3	7
7	может быть	25	7
8	как бы	8	7
9	и не	30	7
10	но в	6	6
11	и его	19	6
12	же время	7	6
13	что он	6	6
14	то же	15	5
15	все же	6	5
16	что это	3	5
17	это не	3	5
18	как и	14	5
19	в то	7	5
20	в дальнейшем	5	5
21	так и	21	5
22	это очень	1	5
23	не может	24	5
24	у достоевского	1	5
25	еще не	6	4
26	в себе	3	4
27	в целом	4	4
28	в этой	2	4
29	в нем	15	4
30	об этом	1	4
31	том что	4	4
32	и что	3	4
33	но и	10	4
34	и даже	2	4
35	прежде всего	4	4
36	так же	9	4
37	но это	2	4
38	все это	7	4
39	этот образ	1	4
40	что в	8	4
41	и все	8	4
42	то что	8	4
43	в мире	1	3
44	отнюдь не	8	3
45	как в	4	3
46	в своем	2	3
47	и как	4	3
48	все эти	6	3
49	при этом	8	3
50	должно быть	1	3
51	тем самым	1	3
52	о чем	1	3
53	с ее	2	3
54	жизнь и	3	3
55	с ним	1	3
56	в его	7	3
57	один из	1	3
58	романа и	2	3
59	уже в	4	3
60	для него	1	3
61	в конце	3	3
62	как это	4	3
63	в основном	2	3
64	этого романа	2	2
65	в первом	1	2
66	и до	1	2
67	из своих	2	2
68	никогда не	5	2
69	и то	1	2
70	он был	4	2
71	не был	1	2
72	столь же	3	2
73	с его	2	2
74	отличие от	2	2
75	не просто	1	2
76	так что	1	2
77	в самом	11	2
78	бы и	3	2
79	то и	1	2
80	жизнью и	2	2
81	он не	1	2
82	что она	2	2
83	но все	1	2
84	его в	7	2
85	знает что	1	2
86	отца и	1	2
87	в это	1	2
88	ни в	8	2
89	нет в	1	2
90	с тем	7	2
91	в отличие	2	2
92	что говорит	1	2
93	но эта	2	2
94	не в	12	2
95	что этот	2	2
96	вместе со	1	2
97	раз и	3	2
98	одна из	2	2
99	не могут	10	2
100	он и	3	2
101	к тому	4	2
102	и это	2	2
103	но при	2	2
