N	2gram	Berdyaev_M_1	Vvedenie
1	и т	1	42
2	т е	2	35
3	и в	28	32
4	в том	6	31
5	в этом	20	30
6	том что	3	26
7	может быть	30	26
8	не только	29	22
9	для того	2	21
10	того чтобы	2	20
11	также и	2	18
12	то что	5	16
13	потому что	16	15
14	так как	3	15
15	не может	28	14
16	но также	1	14
17	в самом	11	13
18	в нем	13	13
19	о том	2	13
20	в их	4	12
21	в его	9	12
22	того что	7	12
23	только в	6	12
24	и не	11	12
25	в ее	3	11
26	и именно	1	11
27	что такое	1	11
28	что в	10	10
29	в истории	2	9
30	и как	2	9
31	но в	7	9
32	между тем	1	9
33	в той	2	9
34	это не	5	8
35	не в	16	8
36	не менее	1	8
37	самом деле	1	7
38	вопрос о	2	7
39	но не	8	7
40	все же	2	7
41	было бы	10	7
42	точки зрения	4	7
43	можно было	1	7
44	прежде всего	10	7
45	смысле слова	4	6
46	и это	12	6
47	как он	2	6
48	его в	3	6
49	с тем	9	6
50	как и	5	6
51	вовсе не	1	6
52	в то	2	6
53	тем что	4	6
54	не могут	5	6
55	один из	4	6
56	этот вопрос	1	6
57	и его	9	6
58	и даже	1	6
59	до сих	2	6
60	но и	25	6
61	а именно	1	6
62	сих пор	2	6
63	все это	6	6
64	хотя бы	3	6
65	культуры как	1	6
66	одним из	2	5
67	а как	2	5
68	иное как	1	5
69	с их	2	5
70	об этом	1	5
71	в них	4	5
72	но если	3	5
73	в которых	4	5
74	сказать что	2	5
75	могут быть	2	5
76	так что	1	5
77	уже в	4	5
78	не есть	9	5
79	т п	1	5
80	что не	1	5
81	на этот	2	5
82	а не	25	5
83	по своему	2	5
84	она есть	1	5
85	в течение	1	5
86	как бы	2	5
87	есть и	3	5
88	вместе с	6	5
89	связана с	2	4
90	и то	1	4
91	мы имеем	1	4
92	что иное	1	4
93	по отношению	2	4
94	от этого	2	4
95	уже не	4	4
96	в себе	7	4
97	но ведь	1	4
98	этот процесс	3	4
99	и заключается	1	4
100	истории и	2	4
101	должен был	4	4
102	в своей	15	4
103	в котором	8	4
104	по сравнению	2	4
105	не имеет	3	4
106	в разных	1	4
107	только с	1	4
108	в каждом	1	4
109	и что	2	4
110	еще не	1	4
111	что он	10	4
112	и ее	1	4
113	одно из	3	4
114	всяком случае	1	4
115	даже и	2	4
116	о чем	2	4
117	сравнению с	1	4
118	с этой	4	4
119	и для	2	4
120	особого рода	1	4
121	а в	4	4
122	не что	1	4
123	отношению к	2	4
124	во всяком	1	4
125	и есть	14	3
126	всего того	1	3
127	не вполне	1	3
128	то это	1	3
129	в виду	2	3
130	и на	6	3
131	он сам	6	3
132	ответ на	1	3
133	в центре	2	3
134	и к	2	3
135	за собой	2	3
136	бы и	3	3
137	все эти	2	3
138	в этой	6	3
139	что она	1	3
140	если бы	2	3
141	не как	4	3
142	отношений между	1	3
143	вообще не	2	3
144	на этом	3	3
145	заключается в	1	3
146	чем в	2	3
147	духовной жизни	3	3
148	нисколько не	1	3
149	в этих	4	3
150	и вот	3	3
151	как будто	2	3
152	в области	1	3
153	в каком	2	3
154	себе что	1	3
155	должен быть	2	3
156	в ней	15	3
157	на том	3	3
158	к нему	7	3
159	одной из	1	3
160	в начале	2	3
161	в одном	1	3
162	в конце	7	3
163	что и	4	3
164	отношение к	4	3
165	он мог	2	3
166	до конца	14	3
167	говорит о	1	3
168	так же	1	3
169	что же	1	3
170	да и	1	3
171	в своем	10	3
172	к тому	3	3
173	об отношении	1	3
174	наука о	1	3
175	культуры в	1	3
176	к этому	2	3
177	в частности	1	3
178	вряд ли	3	2
179	искусство и	1	2
180	начале xix	1	2
181	и до	1	2
182	должна быть	6	2
183	что мы	1	2
184	мы уже	1	2
185	есть не	4	2
186	мы не	1	2
187	имеет свою	1	2
188	жизни как	1	2
189	и был	1	2
190	литературы и	2	2
191	природы и	1	2
192	себе и	2	2
193	сам же	1	2
194	и историю	1	2
195	его к	1	2
196	к культуре	1	2
197	в этот	2	2
198	учение о	3	2
199	и те	2	2
200	не к	4	2
201	в силу	1	2
202	проблемы и	2	2
203	и наоборот	1	2
204	и с	3	2
205	них не	1	2
206	входит в	2	2
207	на протяжении	2	2
208	для них	3	2
209	ни с	4	2
210	должно быть	3	2
211	после этого	1	2
212	она была	1	2
213	не мог	3	2
214	не столько	1	2
215	стоит в	1	2
