N	2gram	Propp_Russ_1	Otkroven
1	у него	2	22
2	и в	36	19
3	но и	16	13
4	и не	6	13
5	в этом	12	12
6	не только	22	11
7	может быть	8	11
8	а не	2	11
9	вопрос о	1	10
10	в нем	2	10
11	и все	1	10
12	не было	2	9
13	потому что	10	9
14	он был	2	8
15	и он	1	8
16	в его	2	7
17	он не	1	7
18	до конца	2	7
19	от него	1	7
20	как и	10	6
21	все это	6	6
22	в том	17	5
23	в этой	1	5
24	в россии	4	5
25	а в	9	5
26	то что	6	5
27	с его	1	4
28	все эти	2	4
29	что не	1	4
30	не может	4	4
31	т е	17	4
32	и его	1	4
33	что в	19	4
34	быть может	1	3
35	о том	8	3
36	еще не	4	3
37	к нему	1	3
38	было бы	1	3
39	того что	4	3
40	когда он	2	3
41	что он	1	3
42	и ее	1	3
43	в себе	1	3
44	не могут	1	3
45	это не	10	3
46	только одно	1	3
47	могут быть	2	3
48	как бы	5	3
49	с ним	2	3
50	в этих	3	3
51	в своих	2	3
52	все что	1	3
53	и с	2	2
54	из всего	1	2
55	за все	2	2
56	на западе	2	2
57	что у	2	2
58	так и	7	2
59	и о	1	2
60	был еще	1	2
61	их не	2	2
62	и на	10	2
63	и много	1	2
64	природы и	2	2
65	совсем не	1	2
66	не все	1	2
67	что и	7	2
68	что они	7	2
69	в истории	1	2
70	же можно	1	2
71	россии в	1	2
72	в своем	3	2
73	все же	5	2
74	сразу же	1	2
75	и к	3	2
76	в этот	10	2
77	и потому	2	2
78	должен был	1	2
79	в которой	1	2
80	так что	2	2
81	уже в	1	2
82	что для	1	2
83	одно из	5	2
84	так как	15	2
85	тем что	4	2
86	в других	11	2
87	и из	3	2
88	его в	1	2
89	сказать что	1	2
90	с тем	8	2
91	чем в	2	2
92	русского народа	3	2
93	подойти к	2	2
94	том что	19	2
95	что есть	1	2
96	к этому	4	2
97	не могли	1	2
98	не имеет	6	2
99	и для	2	2
100	ничего не	3	2
101	к ней	2	2
102	что все	1	2
103	хотя и	2	2
104	но в	2	2
105	и это	1	1
106	также и	1	1
107	например в	2	1
108	чтобы не	1	1
109	и действительно	1	1
110	в виду	1	1
111	на самом	2	1
112	но тем	2	1
113	это подтверждается	1	1
114	тем же	1	1
115	между двумя	2	1
116	из самых	1	1
117	к другому	2	1
118	говорится что	3	1
119	и до	2	1
120	не имеют	1	1
121	должна быть	1	1
122	видеть в	1	1
123	можно было	1	1
124	из всех	1	1
125	не с	3	1
126	и каждый	1	1
127	мы не	6	1
128	ту же	1	1
129	в первый	4	1
130	проповедей и	1	1
131	если бы	1	1
132	находится в	2	1
133	не вполне	1	1
134	жизни как	1	1
135	и был	1	1
136	в ней	2	1
137	в народном	1	1
138	и что	4	1
139	в глаза	1	1
140	после того	2	1
141	самом деле	1	1
142	но не	2	1
143	когда будет	1	1
144	очень ясно	2	1
145	с трудом	1	1
146	христа в	2	1
147	нуждается в	1	1
148	все можно	1	1
149	иногда и	5	1
150	себе и	1	1
151	в древнем	3	1
152	в форме	1	1
153	что во	1	1
154	как в	5	1
155	рисует картину	1	1
156	друг к	2	1
157	по содержанию	3	1
158	бросается в	1	1
159	как например	3	1
160	в частности	2	1
161	один из	8	1
162	и как	2	1
163	православия и	1	1
164	с ними	5	1
165	от этого	1	1
166	два и	1	1
167	который в	1	1
168	этот случай	1	1
169	и раньше	1	1
170	из жизни	1	1
171	что это	3	1
172	представляет собой	4	1
173	за это	1	1
174	не оставляет	1	1
175	в эти	4	1
176	думать что	3	1
177	уже не	6	1
178	говорят о	1	1
179	на то	1	1
180	бы ни	1	1
181	что она	2	1
182	и других	7	1
183	из них	8	1
184	после этого	4	1
185	его и	2	1
186	видел в	1	1
187	мыслей в	1	1
188	он должен	1	1
189	чем у	2	1
190	в силу	2	1
191	есть один	1	1
192	в одном	3	1
193	и сам	1	1
194	на свободу	1	1
195	этом отношении	1	1
196	от того	1	1
197	с великим	1	1
198	в каждом	2	1
199	же не	2	1
200	и характер	1	1
201	в совершенно	1	1
202	к другу	2	1
203	что пишет	1	1
204	интерес к	2	1
205	как у	1	1
206	главное и	1	1
207	совершенно ином	1	1
208	с той	1	1
209	он во	1	1
210	счастье на	1	1
211	в жизни	2	1
212	в это	3	1
213	говорит о	1	1
214	жизни человека	1	1
215	и пр	2	1
216	в них	6	1
217	этого слова	3	1
218	а с	4	1
219	на этот	3	1
220	и самый	1	1
221	о чем	3	1
222	под влиянием	1	1
223	он и	1	1
224	в одно	1	1
225	не так	1	1
226	видели в	1	1
227	начиная с	3	1
228	его как	2	1
229	и бессмертие	1	1
230	и без	1	1
231	как это	8	1
