N	2gram	Potebnia_M_3	VerxiiNi
1	и в	30	26
2	таким образом	14	22
3	с тем	7	18
4	в этом	10	15
5	вместе с	12	15
6	точки зрения	2	13
7	как бы	3	12
8	в том	32	11
9	из этих	9	10
10	не только	21	10
11	и с	2	10
12	может быть	28	10
13	связи с	2	9
14	в области	2	9
15	так как	13	9
16	но и	19	9
17	что в	17	9
18	но не	7	8
19	главным образом	1	8
20	с другой	7	8
21	и не	15	8
22	как на	5	8
23	но в	1	7
24	но все	2	7
25	из них	6	7
26	том что	18	7
27	потому что	46	7
28	к нему	3	7
29	с одной	7	7
30	то что	18	7
31	а с	2	7
32	одной стороны	3	7
33	того же	1	6
34	все же	2	6
35	все эти	1	6
36	в себе	16	6
37	с точки	1	6
38	к тому	7	6
39	так и	11	6
40	и т.д	1	6
41	о том	2	6
42	что и	13	6
43	несмотря на	2	6
44	и потому	4	6
45	все это	4	6
46	мы должны	4	6
47	во всяком	1	6
48	отношение к	2	5
49	сих пор	3	5
50	тому же	1	5
51	в силу	3	5
52	в мире	1	5
53	лишь в	1	5
54	или менее	3	5
55	по крайней	5	5
56	не имеет	6	5
57	того чтобы	3	5
58	с другом	1	5
59	для того	4	5
60	образом в	3	5
61	в его	4	5
62	крайней мере	5	5
63	до сих	3	5
64	а не	15	5
65	друг с	1	5
66	так же	3	5
67	одной из	2	5
68	более или	3	5
69	в котором	4	4
70	то же	23	4
71	целый ряд	2	4
72	в самом	8	4
73	в этой	2	4
74	и по	4	4
75	что все	3	4
76	то есть	34	4
77	с другими	5	4
78	должен был	1	4
79	он не	4	4
80	далеко не	4	4
81	и тогда	3	4
82	в которых	2	4
83	в то	10	4
84	в нем	9	4
85	а в	12	4
86	что оно	11	4
87	и что	10	4
88	только в	21	4
89	и вместе	3	4
90	на этот	1	4
91	не может	6	4
92	в смысле	4	4
93	и от	4	4
94	в этих	1	4
95	во время	2	4
96	что он	6	4
97	в виде	2	4
98	не вполне	1	3
99	если в	1	3
100	в своем	5	3
101	когда он	1	3
102	и как	5	3
103	в которой	3	3
104	что это	4	3
105	так или	2	3
106	и если	2	3
107	при этом	3	3
108	и при	4	3
109	тем не	3	3
110	если бы	12	3
111	не менее	5	3
112	как о	2	3
113	течением времени	1	3
114	в других	2	3
115	и о	2	3
116	с самого	1	3
117	с течением	1	3
118	на нее	1	3
119	ясно что	1	3
120	можно сказать	3	3
121	того что	18	3
122	так что	7	3
123	из которого	1	3
124	уже не	6	3
125	что эти	1	3
126	для него	9	3
127	в одном	2	3
128	к ним	1	3
129	и даже	2	3
130	или иначе	1	3
131	с этой	2	3
132	и таким	1	3
133	у индусов	1	3
134	в результате	1	3
135	отношению к	5	3
136	к этому	3	3
137	в таком	3	3
138	точно так	12	3
139	одним из	1	2
140	и это	4	2
141	когда человек	1	2
142	первое время	2	2
143	его не	1	2
144	бы например	2	2
145	и заставляет	1	2
146	еще не	5	2
147	и на	3	2
148	бы то	1	2
149	с его	1	2
150	во всех	1	2
151	в новом	2	2
152	этого последнего	2	2
153	относится к	4	2
154	общего с	1	2
155	что именно	4	2
156	стихии и	1	2
157	и наконец	2	2
158	на то	2	2
159	не могла	2	2
160	перестает быть	4	2
161	не к	4	2
162	не как	2	2
163	именно из	1	2
164	из него	2	2
165	людей и	2	2
166	заключает в	5	2
167	те же	6	2
168	них не	1	2
169	на все	2	2
170	образом если	1	2
171	в глазах	1	2
172	в них	5	2
173	не всегда	2	2
174	мы видели	4	2
175	нужно чтобы	1	2
176	но если	1	2
177	которые в	1	2
178	не в	15	2
179	тогда когда	9	2
180	ее с	1	2
181	тех пор	1	2
182	не могло	1	2
183	только не	2	2
184	в разных	2	2
185	больше чем	1	2
186	же время	5	2
187	с одним	1	2
188	и после	2	2
189	так например	2	2
190	этом отношении	2	2
191	ему в	2	2
192	и здесь	1	2
193	и проч	16	2
194	начиная с	1	2
195	не могут	5	2
196	отличается от	1	2
197	пор еще	1	2
198	ничего общего	2	2
199	то или	2	2
200	в образе	3	2
201	не с	1	2
202	особенно в	1	2
203	можно только	2	2
204	по тому	5	2
205	для этого	1	2
206	мысль о	5	2
207	в виду	1	2
208	к одной	3	2
209	должно было	2	2
210	между тем	9	2
211	и человеком	1	2
212	вслед за	3	2
213	еще только	1	2
214	один из	4	2
215	тот же	1	2
216	между этими	1	2
217	от них	2	2
218	конечно не	1	2
219	уже в	5	2
220	в начале	3	2
221	одно из	5	2
222	и люди	1	2
223	мы можем	3	2
224	но вместе	4	2
225	из своих	1	2
226	именно в	3	2
227	по своим	1	2
228	прежде всего	3	2
229	превращается в	1	2
230	не было	4	2
231	может ли	1	2
232	и все	3	2
233	в одно	3	2
234	если не	4	2
235	связь с	3	2
236	человек должен	1	2
237	по своему	2	2
238	есть как	1	2
239	на пути	1	2
240	что мы	8	2
241	только для	1	2
242	же самое	1	2
243	или по	1	2
244	сознании и	2	2
245	от человека	1	2
246	тем и	3	2
247	том виде	1	2
248	о котором	1	2
249	из себя	2	2
250	в эту	1	2
251	только что	8	2
252	ни было	1	2
253	в свою	3	2
254	в процессе	1	2
255	сказать что	5	2
256	жизни и	2	2
257	можно назвать	1	2
258	все что	4	2
259	это неверно	1	1
260	народ в	1	1
261	вряд ли	1	1
262	за тем	3	1
263	нравственных качеств	1	1
264	в сфере	1	1
265	таком случае	2	1
266	чтобы не	1	1
267	которого в	2	1
268	а между	2	1
269	самом деле	2	1
270	есть самая	1	1
271	он может	1	1
272	это и	2	1
273	пусть эта	1	1
274	но тем	2	1
275	и есть	3	1
276	что когда	1	1
277	которое мы	2	1
278	тем же	4	1
279	в первом	3	1
280	явления и	1	1
281	влагать в	1	1
282	и до	2	1
283	субстанция не	1	1
284	то самое	1	1
285	научного анализа	1	1
286	не безразлично	1	1
287	мы уже	2	1
288	той же	2	1
289	их и	1	1
290	а как	2	1
291	не встречает	1	1
292	заставляет человека	1	1
293	мы не	9	1
294	мир не	1	1
295	что уже	2	1
296	мир его	1	1
297	он как	2	1
298	в сущности	1	1
299	время как	1	1
300	оно есть	3	1
301	сложнее и	1	1
302	же что	6	1
303	жизни это	1	1
304	при таких	2	1
305	в ней	8	1
306	не иметь	1	1
307	связи со	1	1
308	на них	1	1
