N	2gram	Tiupa_Narr_1	Poddanst
1	не только	31	17
2	и в	11	14
3	и не	23	12
4	в области	2	11
5	в этом	12	10
6	в качестве	14	9
7	но в	7	9
8	то же	8	9
9	в том	8	9
10	в пределах	2	8
11	хотя бы	2	8
12	только в	12	7
13	в то	4	7
14	же время	4	7
15	в ней	4	6
16	но и	27	6
17	отношении к	1	5
18	в которых	1	5
19	с другой	2	5
20	может быть	15	5
21	не в	6	5
22	и о	3	5
23	первой половины	1	4
24	если бы	7	4
25	а также	6	4
26	в своем	3	4
27	и к	1	4
28	как бы	6	4
29	том что	7	4
30	не может	8	4
31	и потому	1	4
32	в котором	1	4
33	по себе	4	4
34	в русской	3	4
35	что в	3	4
36	же в	2	4
37	а в	13	4
38	то что	9	4
39	и т	1	3
40	мы не	3	3
41	сводится к	3	3
42	столь же	5	3
43	между тем	3	3
44	это не	3	3
45	вслед за	1	3
46	хотя и	4	3
47	и как	3	3
48	тот же	1	3
49	с ними	2	3
50	с одной	1	3
51	в себе	6	3
52	в нем	4	3
53	сами по	2	3
54	для того	3	3
55	прежде всего	4	3
56	одной стороны	1	3
57	с тем	1	3
58	что мы	2	3
59	с точки	1	3
60	но не	4	3
61	она есть	1	3
62	наряду с	1	3
63	могут быть	1	3
64	тем самым	5	3
65	потому что	5	3
66	точки зрения	5	3
67	например в	1	2
68	в сфере	2	2
69	в ее	1	2
70	переход от	2	2
71	и есть	1	2
72	в мире	4	2
73	начала и	3	2
74	осуществляется в	1	2
75	по характеру	1	2
76	является в	1	2
77	никак не	2	2
78	в значительной	1	2
79	во всех	1	2
80	если в	2	2
81	со стороны	8	2
82	в е	2	2
83	отнюдь не	2	2
84	с этим	1	2
85	того что	4	2
86	к чему	3	2
87	бы ни	1	2
88	но о	1	2
89	в начале	3	2
90	главным образом	1	2
91	в его	6	2
92	из них	4	2
93	в силу	1	2
94	и вот	2	2
95	как раз	6	2
96	где в	2	2
97	в последние	1	2
98	и с	3	2
99	точек зрения	2	2
100	именно в	3	2
101	и мы	1	2
102	и тем	4	2
103	в жизни	3	2
104	для них	2	2
105	не было	3	2
106	а не	13	2
107	ней не	1	2
108	не менее	3	2
109	все это	1	2
110	не о	2	2
111	одна из	4	2
112	да и	2	2
113	еще более	1	2
114	тем более	1	2
115	в перспективе	1	2
116	для нас	1	2
117	исключительно в	2	2
118	заключает в	2	2
