N	4gram	Bakhtin_Fr_6	formyVre
1	в то же время	5	6
2	одного и того же	1	5
3	как мы уже говорили	3	3
4	с одной стороны и	2	2
5	можно прямо сказать что	2	2
6	может быть конечно и	1	2
7	быть конечно и речи	1	2
8	не может быть конечно	1	2
9	как мы уже сказали	3	2
10	дело в том что	1	2
11	как раз в этот	1	1
12	в той или иной	1	1
13	то есть все то	1	1
14	говорит о том что	1	1
15	мы еще обратимся в	1	1
16	во всех его вариациях	1	1
17	мы уже указывали что	1	1
18	его то есть только	1	1
19	мы будем говорить в	1	1
20	но в то же	1	1
21	по самому своему существу	1	1
22	и до сих пор	1	1
23	вместе с тем и	1	1
