N	2gram	Ircho_Kome_3	PoTuStor
1	может быть	6	17
2	и в	22	16
3	в этом	8	9
4	таким образом	12	9
5	и только	1	9
6	мы можем	3	9
7	прежде всего	5	9
8	и с	4	8
9	точки зрения	4	8
10	и его	6	8
11	не может	3	8
12	совершенно не	2	8
13	с его	3	7
14	не только	5	7
15	сказать что	1	7
16	я и	1	6
17	самом деле	6	6
18	конечно не	3	6
19	при этом	7	6
20	с точки	3	6
21	и это	2	6
22	к отцу	2	6
23	и к	3	6
24	еще не	6	5
25	в чем	1	5
26	отношение к	5	5
27	все эти	1	5
28	только для	2	5
29	ни в	10	5
30	нуждается в	2	5
31	как бы	3	5
32	и ее	2	4
33	и на	2	4
34	отнюдь не	4	4
35	и наконец	1	4
36	но в	5	4
37	в этой	3	4
38	в нем	3	4
39	и может	1	4
40	его в	8	4
41	все это	5	4
42	самого начала	4	4
43	как мы	2	4
44	с самого	4	4
45	так и	4	4
46	можно сказать	1	4
47	в его	8	4
48	только в	1	4
49	и их	1	4
50	так как	11	4
51	и даже	3	4
52	но и	4	4
53	и не	21	4
54	и все	2	4
55	хотя бы	4	4
56	все что	3	4
57	отношения к	2	3
58	едва ли	7	3
59	во всех	2	3
60	и как	1	3
61	и теперь	1	3
62	их в	3	3
63	на этом	1	3
64	том что	13	3
65	во время	6	3
66	сих пор	9	3
67	в одном	2	3
68	по крайней	1	3
69	и притом	1	3
70	в основе	2	3
71	до сих	9	3
72	к себе	5	3
73	те же	1	3
74	по сравнению	2	3
75	в конечном	2	3
76	с другими	2	3
77	крайней мере	1	3
78	и она	1	3
79	в том	12	3
80	назад в	2	3
81	в большинстве	1	3
82	только на	1	3
83	мы знаем	2	3
84	всяком случае	3	3
85	даже не	3	3
86	в области	2	3
87	ребенка и	1	3
88	вместе с	9	3
89	и потому	1	3
90	как это	5	3
91	сравнению с	2	3
92	могут быть	1	3
93	в основном	1	3
94	что в	5	3
95	в этих	1	3
96	а в	7	3
97	то что	4	3
98	между ними	2	3
99	только как	2	3
100	жизни и	1	3
101	во всяком	3	3
102	в самом	9	2
