N	3gram	Tiupa_Lite_2	Tragedij
1	то же время	9	5
2	в то же	9	5
3	в отличие от	1	2
4	в данном случае	3	2
5	о том что	2	2
6	в том что	5	2
7	в этом случае	2	1
8	же время он	1	1
9	у него нет	1	1
10	и не может	1	1
11	что он не	1	1
12	и то что	1	1
13	и т п	2	1
14	за то что	2	1
15	в конце концов	1	1
16	по нашему мнению	1	1
17	тем не менее	2	1
18	не могут быть	1	1
19	не может быть	7	1
20	что в ней	1	1
21	еще в году	2	1
22	в одном из	1	1
23	не только не	1	1
24	от всего что	1	1
25	после того как	1	1
26	к тому что	1	1
27	в стихах и	1	1
28	в разговоре с	2	1
