N	2gram	Nazirov_Vr_1	OGranits
1	и в	8	13
2	и его	3	12
3	прежде всего	1	9
4	может быть	4	8
5	не может	2	8
6	и не	5	8
7	и т.п	2	7
8	в его	3	7
9	и их	1	7
10	точки зрения	2	7
11	как бы	4	6
12	не только	9	6
13	то что	7	6
14	таким образом	2	6
15	и т.д	1	5
16	все же	6	5
17	и наконец	1	5
18	но ведь	1	5
19	с точки	2	5
20	в процессе	1	5
21	но мы	1	4
22	тех пор	1	4
23	но в	6	4
24	то же	5	4
25	в своей	2	4
26	было бы	1	4
27	все это	4	4
28	вряд ли	1	3
29	и то	2	3
30	в ее	1	3
31	так и	1	3
32	говорить о	1	3
33	в их	1	3
34	с этим	1	3
35	в себе	2	3
36	в одном	1	3
37	одно и	1	3
38	но и	7	3
39	как и	6	3
40	и уже	3	3
41	что же	1	3
42	да и	1	3
43	но для	1	3
44	никогда не	2	3
45	и все	7	3
46	что в	7	3
47	ничего общего	1	3
48	роль в	1	2
49	и этот	1	2
50	конечно в	1	2
51	может в	1	2
52	в ней	4	2
53	а также	2	2
54	в чем	3	2
55	между тем	5	2
56	во всей	1	2
57	что они	1	2
58	вслед за	1	2
59	к сожалению	1	2
60	его на	2	2
61	как в	1	2
62	в этом	8	2
63	в том	3	2
64	и отчасти	1	2
65	в этот	3	2
66	в целом	1	2
67	уже в	4	2
68	в нем	6	2
69	при этом	4	2
70	для него	2	2
71	говорить об	1	2
72	тем что	3	2
73	в них	2	2
74	с другой	1	2
75	в самом	1	2
76	мы считаем	1	2
77	соответствии с	1	2
78	более того	1	2
79	другой стороны	1	2
80	не мог	2	2
81	несмотря на	4	2
82	в связи	3	2
83	этот материал	1	2
84	том что	3	2
85	с помощью	1	2
86	и ее	2	2
87	так же	4	2
88	своего рода	1	2
89	не менее	2	2
90	что эта	1	2
91	не имеет	1	2
92	бы в	1	2
93	во всем	1	2
94	а в	2	2
95	еще в	1	2
96	нет ничего	1	2
97	могут быть	1	2
98	в своих	4	2
99	ну что	1	1
100	и это	2	1
101	можно говорить	1	1
102	одним из	3	1
103	также и	1	1
104	же как	2	1
105	и уж	1	1
106	человека и	1	1
107	себя как	1	1
108	в виду	4	1
109	того же	1	1
110	как известно	1	1
111	на основе	2	1
112	это и	1	1
113	и есть	1	1
114	он всегда	1	1
115	едва ли	1	1
116	о влиянии	2	1
117	принимая его	1	1
118	содержания в	1	1
119	и о	3	1
120	но у	1	1
121	на место	2	1
122	быть может	1	1
123	с ее	1	1
124	событий и	1	1
125	ему в	1	1
126	приближается к	1	1
127	не совсем	1	1
128	в мире	2	1
129	и он	2	1
130	и что	8	1
131	утверждаю что	1	1
132	еще не	2	1
133	из литературы	1	1
134	к друзьям	1	1
135	столь же	2	1
136	материала это	1	1
137	к нему	1	1
138	совсем не	1	1
139	но не	1	1
140	то он	1	1
141	отношение к	2	1
142	тут же	1	1
143	в другой	1	1
144	в оценке	1	1
145	и достоевский	2	1
146	и речи	1	1
147	на то	3	1
148	сказался в	1	1
149	в истории	4	1
150	внимание к	1	1
151	для создания	1	1
152	в своем	3	1
153	по своей	1	1
154	один из	1	1
155	и как	3	1
156	не хотят	1	1
157	что он	4	1
158	роль играет	1	1
159	что слово	1	1
160	не должна	1	1
161	в предшествующей	1	1
162	так в	2	1
163	выражение в	1	1
164	в этой	2	1
165	для всех	1	1
166	что к	2	1
167	и у	3	1
168	в нашей	2	1
169	этот момент	2	1
170	и творческого	1	1
171	его и	2	1
172	никто не	1	1
173	сказал что	1	1
174	в конце	3	1
175	привела к	1	1
176	из него	1	1
177	каждый из	1	1
178	и никогда	1	1
179	людей и	1	1
180	это конечно	1	1
181	же не	2	1
182	в особенности	1	1
183	говорить не	1	1
184	его в	3	1
185	как к	1	1
186	к которому	1	1
187	в предисловии	1	1
188	как же	2	1
189	заключается в	1	1
190	чисто художественном	1	1
191	не было	5	1
192	все равно	1	1
193	далеко не	3	1
194	и самый	1	1
195	автору и	1	1
196	не всегда	1	1
197	которой он	1	1
198	он и	1	1
199	отнюдь не	2	1
200	такой же	1	1
201	и говорю	1	1
202	но при	1	1
203	которую он	1	1
204	эти слова	3	1
205	систем во	1	1
206	ко всем	1	1
207	представление о	1	1
208	на три	1	1
209	к этому	3	1
210	полно и	1	1
211	тем не	1	1
212	их в	2	1
213	может идти	1	1
214	быть и	1	1
215	в условиях	1	1
216	до конца	1	1
217	о помощи	1	1
218	вплоть до	1	1
219	но это	2	1
220	равно не	1	1
221	в начале	6	1
222	в то	5	1
223	как о	1	1
224	в какую-то	1	1
225	одна из	2	1
226	близкий к	1	1
227	уж конечно	1	1
228	которых он	1	1
229	уже на	1	1
230	и указание	1	1
231	того как	1	1
232	ее и	1	1
233	у некоторых	1	1
234	же время	5	1
235	мыслей и	1	1
236	тем более	2	1
237	за исключением	1	1
238	это слово	1	1
239	только что	1	1
240	потому что	1	1
241	связи с	3	1
242	до того	1	1
243	себе на	1	1
244	входя в	1	1
245	этом отношении	1	1
246	об этом	5	1
247	встречался с	1	1
248	среди них	1	1
249	равно как	1	1
250	во все	1	1
251	ли не	1	1
252	с его	3	1
253	только о	1	1
254	вместе с	2	1
255	этого и	1	1
256	же только	1	1
257	они не	1	1
