N	3gram	Propp_Morf_1	Problema
1	по отношению к	4	19
2	не может быть	9	11
3	с точки зрения	2	6
4	в высшей степени	1	5
5	в большинстве случаев	3	5
6	не входит в	1	4
7	в данном случае	1	4
8	с другой стороны	4	4
9	в противном случае	1	3
10	на самом деле	4	3
11	в иных случаях	2	3
12	бы то ни	3	3
13	далеко не всегда	1	3
14	с одной стороны	1	3
15	как мы увидим	4	3
16	в том что	3	3
17	тем не менее	4	3
18	там где оно	2	2
19	можно сказать что	1	2
20	ни в коем	1	2
21	в коем случае	1	2
22	то ни было	2	2
23	и не с	1	2
24	не могут быть	2	2
25	могут быть поняты	1	2
26	коем случае не	1	2
27	для того чтобы	2	2
28	в этом отношении	1	2
29	тем как в	1	2
30	дело обстоит не	1	1
31	и может быть	1	1
32	в подобных случаях	1	1
33	как бы они	1	1
34	хотя и не	1	1
35	прежде всего следует	1	1
36	иметь в виду	1	1
37	а вовсе не	1	1
38	так например в	1	1
39	бы они ни	1	1
40	далеко не все	3	1
41	подобно тому как	5	1
42	в настоящее время	3	1
43	отношению к этой	1	1
44	может быть определен	1	1
45	о том как	1	1
46	не менее мы	1	1
47	который позволил бы	1	1
48	во что бы	1	1
49	до сих пор	1	1
50	и в других	1	1
51	до известной степени	1	1
52	в таких случаях	2	1
53	которое может быть	2	1
54	со всеми другими	1	1
55	иногда в тех	1	1
56	на то что	2	1
57	по существу вообще	1	1
58	может быть и	2	1
59	и тем не	1	1
60	момент может быть	1	1
61	что бы то	1	1
62	то время как	3	1
63	формы с другой	1	1
64	к чему не	2	1
65	на этом явлении	1	1
66	а также и	3	1
67	то ни стало	1	1
68	это было сделано	1	1
69	прежде всего и	1	1
70	в связи с	8	1
71	что далеко не	1	1
72	в основе очень	1	1
73	и независимо от	1	1
74	основе очень многих	1	1
75	хотя бы только	1	1
76	и как таковой	1	1
77	ни к чему	2	1
78	то что в	2	1
79	в то время	3	1
80	здесь не может	1	1
81	в тех же	4	1
82	и т д	39	1
83	на этом основании	1	1
84	то что не	1	1
85	можно показать что	2	1
86	ни одной из	1	1
87	дало бы возможность	1	1
88	оно может быть	2	1
89	не более как	1	1
90	оно как бы	1	1
91	они ни были	1	1
92	которые могут быть	1	1
93	в другом случае	1	1
94	к тому что	3	1
95	в первом случае	3	1
96	может быть объяснено	1	1
97	как и в	2	1
98	это дало бы	1	1
