N	2gram	Tiupa_Lite_3	EvropaiE
1	и в	16	37
2	в отношении	1	32
3	точки зрения	7	23
4	что в	2	21
5	не только	14	18
6	с точки	3	17
7	в то	9	16
8	то же	9	15
9	хотя бы	1	15
10	отношении к	1	15
11	в своем	1	14
12	но в	3	14
13	же время	7	14
14	в качестве	5	14
15	но и	14	14
16	и не	22	14
17	в этом	14	12
18	в их	1	11
19	в области	3	11
20	в том	12	11
21	с и	1	10
22	так и	9	10
23	отнюдь не	3	9
24	в себе	6	9
25	только в	7	9
26	прежде всего	3	9
27	все более	2	9
28	не может	8	9
29	так же	2	9
30	в ее	5	8
31	было бы	2	8
32	в своей	7	8
33	к тому	6	8
34	между тем	3	8
35	с одной	4	8
36	одной стороны	4	8
37	а также	4	7
38	того что	9	7
39	так как	1	7
40	с другой	6	7
41	и выше	2	7
42	как и	5	7
43	может быть	12	6
44	и на	2	6
45	во всех	2	6
46	стороны и	2	6
47	на то	2	6
48	то есть	5	6
49	том что	8	6
50	того чтобы	2	6
51	вслед за	3	6
52	вовсе не	1	6
53	для того	2	6
54	и даже	2	6
55	как бы	8	6
56	с этой	2	6
57	то что	12	6
58	столь же	1	5
59	но не	4	5
60	не в	10	5
61	в россии	1	5
62	тем самым	7	5
63	как мы	2	5
64	одной из	1	5
65	со стороны	7	5
66	в частности	11	5
67	и потому	2	5
68	в той	1	5
69	этой точки	1	5
70	то в	3	4
71	вопрос о	2	4
72	в ней	1	4
73	независимо от	1	4
74	в самом	3	4
75	то ни	2	4
76	несмотря на	2	4
77	чем в	1	4
78	как совокупность	1	4
79	в предыдущем	1	4
80	даже в	4	4
81	не имеет	1	4
82	и притом	1	4
83	в процессе	1	4
84	той или	2	4
85	бы то	2	4
86	по себе	2	4
87	можно сказать	2	4
88	именно в	5	4
89	ни было	2	4
90	или иной	2	4
91	не на	1	4
92	мира в	3	4
93	как это	3	4
94	для нас	1	4
95	сказать что	1	4
96	культуры в	1	4
97	идет о	1	3
98	бы и	3	3
99	в деле	1	3
100	на себя	2	3
101	и со	1	3
102	того же	2	3
103	время в	2	3
104	в общем	1	3
105	как в	5	3
106	когда он	2	3
107	и к	3	3
108	или иную	1	3
109	всего лишь	5	3
110	представляет собой	2	3
111	вообще не	1	3
112	в определенном	1	3
113	и тем	3	3
114	в них	1	3
115	с тем	1	3
116	во второй	2	3
117	народ и	1	3
118	никогда не	4	3
119	потому что	3	3
120	уже и	1	3
121	в будущем	1	3
122	о том	6	3
123	как было	1	3
124	место в	4	3
125	что и	2	3
126	и только	2	3
127	народов и	1	3
128	в стороне	1	3
129	из них	4	3
130	ту или	1	3
131	очевидно что	1	3
132	потребность в	1	3
133	свой народ	1	3
134	на долю	1	3
135	тем что	2	3
136	этом отношении	5	3
137	по своим	1	3
138	в свою	2	3
139	связано с	1	3
140	там где	3	3
141	в данном	4	3
142	и для	4	3
143	и от	1	3
144	мира и	2	3
145	жизни в	4	3
146	в психологии	1	3
147	ее в	2	3
148	как на	3	3
149	в таком	1	3
150	и наиболее	1	2
151	и то	1	2
152	по преимуществу	1	2
153	что эти	1	2
154	есть не	1	2
155	из того	2	2
156	он сам	1	2
157	в сторону	3	2
158	друг от	1	2
159	в истории	1	2
160	поскольку они	1	2
161	с этим	1	2
162	хотя и	4	2
163	и как	3	2
164	большей части	2	2
165	в этой	8	2
166	что к	1	2
167	в случае	2	2
168	и если	4	2
169	он не	1	2
170	и еще	1	2
171	в силу	1	2
172	это значит	1	2
173	в мире	16	2
174	и с	2	2
175	с другими	1	2
176	например с	1	2
177	новый мир	1	2
178	далеко не	2	2
179	нас к	2	2
180	в своих	2	2
181	и того	1	2
182	в этих	1	2
183	жизни мира	1	2
184	в котором	1	2
185	и никакое	1	2
186	не к	1	2
187	одном из	2	2
188	и более	1	2
189	она не	1	2
190	тогда когда	1	2
191	вопрос не	1	2
192	по своей	3	2
193	участию в	1	2
194	как будто	4	2
195	к той	1	2
196	только одно	1	2
197	но по	1	2
198	от друга	1	2
199	свою очередь	1	2
200	говоря уже	4	2
201	данном случае	4	2
202	на месте	1	2
203	именно тогда	1	2
204	если бы	2	2
205	второй половине	1	2
206	кажется что	1	2
207	в значительной	1	2
208	к нему	1	2
209	во втором	2	2
210	в его	6	2
211	во всей	2	2
212	также в	1	2
213	но с	2	2
214	его собственная	1	2
215	и теперь	1	2
216	есть в	1	2
217	если в	1	2
218	и других	1	2
219	в одном	4	2
220	на уровне	1	2
221	влияние на	1	2
222	а именно	5	2
223	на этот	1	2
224	а не	12	2
225	не означает	2	2
226	человеческой культуры	1	2
227	начиная с	1	2
228	вместе с	5	2
229	в европейской	1	2
230	и все	1	2
231	но еще	2	2
232	бы в	1	2
233	еще более	1	2
234	стороны в	1	2
235	и наконец	3	2
236	же в	2	2
237	а в	5	2
238	не есть	1	2
239	не говоря	4	2
240	другой стороны	2	2
241	жизни и	3	2
242	как известно	1	1
243	ко всем	1	1
244	рода и	1	1
245	и т	1	1
246	например в	3	1
247	отметим что	1	1
248	некоторые из	1	1
249	тех же	1	1
250	перед лицом	4	1
251	и до	1	1
252	исходит из	1	1
253	с таким	1	1
254	той же	3	1
255	смотреть на	1	1
256	не открывается	1	1
257	политики в	1	1
258	говорить о	1	1
259	то это	2	1
260	когда мы	1	1
261	в каждой	2	1
262	в сочетании	1	1
263	быть в	1	1
264	с его	6	1
265	как путь	1	1
266	тем как	1	1
267	самих себя	1	1
268	к которой	1	1
269	по отношению	4	1
270	постановка проблемы	1	1
271	и земли	1	1
272	тогда как	17	1
273	которое при	1	1
274	отличие от	5	1
275	за пределы	1	1
276	к сожалению	1	1
277	влечение к	1	1
278	в центре	1	1
279	в рамках	4	1
280	ней в	1	1
281	все остальные	1	1
282	все же	2	1
283	однако не	3	1
284	в полном	2	1
285	могли бы	2	1
286	что по	1	1
287	говорит об	1	1
288	более или	1	1
289	в этот	1	1
290	он в	2	1
291	в нашем	1	1
292	идеологическом и	1	1
293	за их	2	1
294	что автор	1	1
295	о соотношении	1	1
296	тому же	5	1
297	жизнью и	1	1
298	на его	3	1
299	при этом	15	1
300	каждой своей	1	1
301	в принципе	2	1
302	состоит в	6	1
303	не как	2	1
304	в корне	1	1
305	ли не	1	1
306	и наоборот	2	1
307	значительной степени	1	1
308	бы они	1	1
309	а затем	3	1
310	в нем	2	1
311	в совершенно	2	1
312	значение в	1	1
