N	3gram	Losev_Dial_4	Hudozhes
1	в отличие от	1	7
2	в то же	6	6
3	то же время	6	6
4	с другой стороны	1	5
5	в том что	9	5
6	той или иной	1	5
7	в этом смысле	4	3
8	можно сказать что	1	3
9	тем не менее	2	3
10	с точки зрения	9	3
11	во всей его	1	2
12	так или иначе	1	2
13	в данный момент	2	2
14	ни в коем	2	2
15	в основе своей	1	2
16	и в то	2	2
17	для того чтобы	5	2
18	в коем случае	2	2
19	и прежде всего	1	2
20	сама по себе	5	2
21	мы имеем дело	1	2
22	коем случае не	2	2
23	в свою очередь	2	2
24	можно говорить о	1	1
25	подобно тому как	4	1
26	себя и что	1	1
27	не было и	1	1
28	я думаю что	2	1
29	друг от друга	1	1
30	и в сущности	1	1
31	включает в себя	1	1
32	в том случае	1	1
33	по себе а	1	1
34	точно так же	2	1
35	в романе достоевского	1	1
36	перед нами не	1	1
37	это и есть	4	1
38	субъект и объект	1	1
39	из того что	1	1
40	что иное как	8	1
41	тех или иных	1	1
42	это ведет к	1	1
43	иметь в виду	2	1
44	точки зрения в	1	1
45	не сама по	1	1
46	в чем собственно	1	1
47	легко может быть	1	1
48	о том что	1	1
49	том случае если	1	1
50	в этом случае	1	1
51	прежде всего в	1	1
52	и как бы	1	1
53	личности с ее	3	1
54	не что иное	8	1
55	этой точки зрения	2	1
56	как бы в	1	1
57	художественное произведение и	1	1
58	и тем более	4	1
59	может и не	1	1
60	всегда так или	1	1
61	речь идет о	1	1
62	в связи с	1	1
63	в сравнении с	2	1
64	то или иное	3	1
65	мы видим в	1	1
66	содержит в себе	1	1
67	именно в этом	1	1
68	у достоевского в	1	1
69	есть не что	5	1
70	в виду что	1	1
71	в зависимости от	1	1
72	та или иная	2	1
73	в себе и	1	1
74	в себя и	1	1
75	чисто познавательного логического	1	1
76	как того требует	1	1
77	не может быть	6	1
78	не входит в	1	1
79	он еще не	1	1
80	отношении к нему	1	1
81	ту или иную	2	1
82	в отношении к	1	1
83	это было бы	1	1
84	было и не	1	1
85	жизнь личности в	1	1
86	с этой точки	2	1
87	по крайней мере	7	1
88	того что не	1	1
