N	3gram	Medvedev_V_1	DiskursI
1	в данном случае	1	6
2	в том что	5	6
3	то же время	5	5
4	по отношению к	7	4
5	в этом отношении	13	4
6	в то же	5	4
7	с одной стороны	2	4
8	не может быть	8	3
9	о том что	3	3
10	той или иной	1	3
11	и может быть	1	2
12	одной стороны и	2	2
13	подобно тому как	2	2
14	в соответствии с	1	2
15	и не может	2	2
16	заключает в себе	1	2
17	одно и то	1	2
18	и то же	1	2
19	не было в	2	2
20	в другом месте	2	1
21	как рассказ о	1	1
22	в той или	1	1
23	другой стороны в	1	1
24	в творческой практике	3	1
25	прежде всего следует	1	1
26	мы имеем дело	1	1
27	может быть сведена	1	1
28	в самом деле	1	1
29	с которого начинается	1	1
30	того или иного	1	1
31	можно утверждать что	3	1
32	с другой стороны	8	1
33	и в то	3	1
34	только то что	2	1
35	то что в	1	1
36	по аналогии с	1	1
37	что в них	1	1
38	одна из них	1	1
39	одном и том	2	1
40	именно в этом	1	1
41	в целом и	1	1
42	в своем творчестве	3	1
43	в применении к	1	1
44	что ни один	1	1
45	говорит об этом	1	1
46	и том же	2	1
47	и не быть	1	1
48	говоря уже о	1	1
49	в области художественного	1	1
50	как будто бы	1	1
51	том что и	1	1
52	не могут быть	1	1
53	каждый из них	1	1
54	не в том	2	1
55	быть сведена к	1	1
56	с другой в	1	1
57	во всяком случае	1	1
58	та или иная	1	1
59	равно как и	4	1
60	в одном из	3	1
61	в конечном счете	5	1
62	в этом заключается	1	1
63	можно сказать что	4	1
64	или иной мере	1	1
65	в том числе	2	1
66	об одном и	1	1
67	человека в футляре	1	1
68	лицом к лицу	1	1
69	все то что	1	1
70	роль в этом	1	1
71	по крайней мере	2	1
72	том числе и	2	1
73	не говоря уже	1	1
