N	2gram	Propp_Morf_1	DiskursI
1	в себе	1	19
2	при этом	1	17
3	в этом	14	16
4	как и	3	16
5	состоит в	2	16
6	и в	13	16
7	в качестве	5	16
8	может быть	52	16
9	и не	12	15
10	а не	11	14
11	отличие от	1	12
12	в частности	2	12
13	тогда как	2	11
14	но в	2	11
15	представляет собой	17	11
16	но и	4	11
17	со стороны	3	10
18	не только	4	10
19	том что	4	10
20	так и	6	9
21	не может	14	9
22	как в	3	8
23	в том	6	8
24	а также	4	8
25	но не	4	7
26	в данном	1	7
27	в рамках	1	7
28	ни в	1	7
29	не менее	5	7
30	прежде всего	9	7
31	то же	7	6
32	еще не	3	6
33	с его	2	6
34	данном случае	1	6
35	себя в	1	6
36	все же	7	6
37	в своей	1	6
38	и на	1	5
39	в то	3	5
40	с другой	8	5
41	что в	8	5
42	для него	1	5
43	то что	8	5
44	а с	2	5
45	ни к	2	5
46	героя в	4	5
47	в рассказе	1	4
48	и то	1	4
49	по отношению	4	4
50	в этой	2	4
51	в основе	1	4
52	потому что	3	4
53	этом отношении	1	4
54	о том	2	4
55	в пределах	3	4
56	с одной	1	4
57	одно из	1	4
58	в одном	1	4
59	одной стороны	1	4
60	как бы	3	4
61	рассказа как	1	4
62	не является	3	4
63	точки зрения	2	4
64	к этому	3	4
65	отношению к	4	4
66	можно назвать	3	4
67	также и	4	3
68	например в	2	3
69	и ее	3	3
70	перед нами	10	3
71	и как	5	3
72	и наконец	1	3
73	все эти	2	3
74	всей своей	1	3
75	из этих	1	3
76	он не	3	3
77	и может	1	3
78	в другом	2	3
79	его в	2	3
80	это не	6	3
81	ведет к	1	3
82	в этих	13	3
83	не столько	1	3
84	где герой	1	3
85	для данного	1	3
86	не в	3	3
87	в русской	1	3
88	могут быть	16	3
89	мысль о	1	3
90	приводит к	2	3
91	еще в	1	3
92	в его	1	3
93	но она	1	3
94	только в	2	3
95	и его	1	3
96	уже не	2	3
97	из них	3	3
98	в них	1	3
99	из двух	2	3
100	не знает	1	3
101	как будто	2	3
102	можно сказать	2	3
103	но это	6	3
104	и все	1	3
105	как на	1	3
106	говорить о	3	2
107	мы имеем	9	2
108	качестве примера	1	2
109	не требует	1	2
110	отношение к	1	2
111	более чем	1	2
112	первый взгляд	3	2
113	как уже	2	2
114	в целом	3	2
115	рассказ о	1	2
116	не более	1	2
117	должна быть	1	2
118	подобно тому	6	2
119	одно и	1	2
120	за которым	2	2
121	же касается	1	2
122	и с	1	2
123	входит в	2	2
124	обоих случаях	2	2
125	должно быть	1	2
126	такой же	1	2
127	на первый	3	2
128	этом случае	8	2
129	в ходе	4	2
130	как все	1	2
131	с точки	2	2
132	их в	1	2
133	в обоих	2	2
134	дело в	1	2
135	на самого	1	2
136	в области	1	2
137	указать на	1	2
138	частности как	1	2
139	с ее	1	2
140	здесь не	2	2
141	это еще	1	2
142	не с	2	2
143	в результате	7	2
144	но здесь	1	2
145	там же	1	2
146	между тем	5	2
147	что и	7	2
148	в большинстве	3	2
149	слова не	1	2
150	момент в	1	2
151	далеко не	5	2
152	а сам	1	2
153	стремится к	1	2
154	не на	2	2
155	или по	2	2
156	о чем	1	2
157	в той	1	2
158	тому как	5	2
159	что же	2	2
160	в ряду	1	2
161	в свое	2	2
162	в формах	1	2
163	в полном	1	2
164	и для	2	2
165	а в	7	2
166	может и	1	2
167	другой стороны	4	2
168	что он	4	2
169	как нечто	1	1
170	одним из	1	1
171	самом деле	4	1
172	тех же	4	1
173	это и	2	1
174	и есть	2	1
175	в первом	3	1
176	можно говорить	1	1
177	но если	7	1
178	к созданию	1	1
179	встречается и	3	1
180	он ничего	1	1
181	к чему	3	1
182	мы не	8	1
183	вопрос о	7	1
184	в сущности	3	1
185	а для	1	1
186	как было	1	1
187	что данная	1	1
188	ему в	1	1
189	и со	1	1
190	начала в	1	1
191	самого героя	1	1
192	героев в	1	1
193	это время	1	1
194	об их	1	1
195	нет а	1	1
196	собой в	2	1
197	он был	1	1
198	он сам	1	1
199	людей в	1	1
200	бы то	3	1
201	в чем	1	1
202	во всех	4	1
203	тем как	1	1
204	там и	1	1
205	иных случаях	2	1
206	это бывает	1	1
207	чем это	2	1
208	друг на	2	1
209	если в	5	1
210	ответ на	1	1
211	которая не	1	1
212	нарушение запрета	2	1
213	и моральной	1	1
214	в е	1	1
215	вследствие чего	1	1
216	в одной	1	1
217	вот как	1	1
218	хотя и	3	1
219	может получить	1	1
220	дает себя	1	1
221	в круг	1	1
222	в этот	1	1
223	то в	3	1
224	в которой	3	1
225	в нашем	3	1
226	бы не	1	1
227	будет сказано	1	1
228	право на	2	1
229	ни одна	4	1
230	им в	1	1
231	в лоб	1	1
232	о возможности	1	1
233	но на	1	1
234	теми же	1	1
235	три года	3	1
236	одному из	3	1
237	он должен	2	1
238	не определяет	2	1
239	окрашена в	1	1
240	в силу	1	1
241	но прежде	1	1
242	у тебя	1	1
243	не исчерпывают	1	1
244	которое может	2	1
245	на этом	3	1
246	очерк не	1	1
247	с этой	1	1
248	таким образом	21	1
249	то ни	3	1
250	об этом	4	1
251	того или	1	1
252	как при	1	1
253	и иных	2	1
254	и сердце	1	1
255	на спине	2	1
256	лишь на	2	1
257	еще одно	1	1
258	из первых	2	1
259	читателя в	1	1
260	этого не	2	1
261	на друга	2	1
262	меняет свой	1	1
263	и вне	3	1
264	несмотря на	4	1
265	которую он	1	1
266	о герое	3	1
267	где мы	1	1
268	ср кто	1	1
269	в которых	2	1
270	втором случае	1	1
271	тем не	5	1
272	и более	1	1
273	перед ним	1	1
274	и наоборот	4	1
275	не должно	1	1
276	что этот	1	1
277	же может	2	1
278	для нее	1	1
279	и герой	1	1
280	может трактоваться	1	1
281	эта ситуация	1	1
282	вплоть до	1	1
283	но они	1	1
284	до известной	1	1
285	в таких	2	1
286	она не	2	1
287	с теми	4	1
288	самого начала	1	1
289	дело не	2	1
290	одна из	4	1
291	или другие	1	1
292	на него	3	1
293	в самых	2	1
294	с некоторой	1	1
295	не стремится	1	1
296	на отношения	1	1
297	ничего не	4	1
298	из другой	2	1
299	не вполне	1	1
300	того как	2	1
301	иными словами	1	1
