N	2gram	Medvedev_I_1	Psycholo
1	и в	1	32
2	что в	2	20
3	того чтобы	1	14
4	в этом	2	13
5	для того	1	13
6	в основе	1	11
7	и не	2	10
8	что при	1	9
9	никогда не	1	9
10	тем что	1	9
11	того что	1	8
12	все эти	1	7
13	что для	1	7
14	в художественном	1	6
15	он не	2	6
16	если бы	1	6
17	все это	1	5
18	утверждает что	1	5
19	есть только	1	5
20	и с	3	4
21	о ней	1	4
22	жизни и	1	4
23	в целом	1	4
24	и сам	1	4
25	ничего не	2	4
26	а в	1	4
27	с другой	1	3
28	так и	1	3
29	по существу	1	3
30	видит в	1	3
31	это было	1	3
32	но когда	1	2
33	того же	1	2
34	комплекса эдипа	1	2
35	не так	1	2
36	и без	1	2
37	своего исследования	1	2
38	вплоть до	1	2
39	волшебный ключ	1	2
40	не остается	1	2
41	слишком много	1	2
42	он с	1	2
43	у всех	1	2
44	вечный эдип	1	2
45	очевидно что	1	2
46	а с	1	2
47	как только	1	2
48	могло бы	1	2
49	в них	1	2
50	другой стороны	1	2
51	точно и	1	2
52	комплекс эдипа	1	2
53	и тот	1	2
54	произведения это	1	1
55	бы в	1	1
56	эти произведения	1	1
57	этом человеке	1	1
58	человеке и	1	1
59	они любили	1	1
60	и ничего	1	1
61	и со	1	1
62	и создавал	1	1
63	и чрезвычайно	1	1
64	при такой	1	1
65	произведения и	1	1
66	на котором	1	1
67	не дает	1	1
68	придется не	1	1
69	с а	1	1
70	в эту	1	1
71	цель и	1	1
72	а для	1	1
73	создавал эти	1	1
74	для него	1	1
75	и очень	1	1
76	более чем	1	1
77	жил в	1	1
78	понятий и	1	1
79	это сам	1	1
80	только что	1	1
81	стало быть	1	1
82	следующим образом	1	1
83	и о	1	1
84	это пушкин	1	1
85	о достоевском	2	1
86	по поводу	1	1
87	и та	1	1
88	а по	1	1
89	доказать что	1	1
90	чтобы доказать	1	1
91	стали бы	1	1
92	должен быть	2	1
93	для других	1	1
94	со всеми	1	1
95	преступления и	1	1
