N	3gram	Vygotskiy__5	Tragedij
1	в отличие от	2	2
2	и в частности	1	2
3	в данном случае	2	2
4	и как бы	4	2
5	о том что	6	2
6	и в самом	2	2
7	в том что	14	2
8	в этом случае	2	1
9	возьмем ли мы	1	1
10	мы начинаем ощущать	1	1
11	не только о	1	1
12	том что он	1	1
13	сам по себе	3	1
14	что он не	1	1
15	но несмотря на	1	1
16	и то что	3	1
17	и т п	3	1
18	а стало быть	1	1
19	в применении к	1	1
20	факт что в	1	1
21	и потому как	1	1
22	в конце концов	2	1
23	смысле этого слова	1	1
24	и в этом	1	1
25	по сравнению с	4	1
26	и при этом	1	1
27	не могут быть	1	1
28	с такой силой	2	1
29	все же не	1	1
30	то что он	3	1
31	она все же	1	1
32	на деле же	1	1
33	что при таком	1	1
34	вместо того чтобы	1	1
35	не может быть	2	1
36	и все же	1	1
37	с самого начала	3	1
38	не только не	4	1
39	как бы нарочно	1	1
40	в самом деле	5	1
41	он впадает в	1	1
42	на всем протяжении	1	1
43	могут быть отнесены	1	1
44	после того как	1	1
45	быть отнесены к	1	1
46	к тому что	6	1
47	во всем его	1	1
48	с потрясающей силой	1	1
