N	2gram	Tiupa_Narr_1	OGranits
1	и в	19	13
2	и его	5	12
3	прежде всего	4	9
4	может быть	25	8
5	не может	10	8
6	и не	20	8
7	и т.п	8	7
8	в его	9	7
9	и пр	1	7
10	точки зрения	10	7
11	только в	4	6
12	как бы	4	6
13	не только	32	6
14	то что	11	6
15	таким образом	1	6
16	языка и	2	5
17	и т.д	7	5
18	все же	7	5
19	и наконец	1	5
20	с точки	2	5
21	в процессе	1	5
22	хотя бы	4	5
23	и эта	1	5
24	мы не	1	4
25	слов и	1	4
26	на фоне	1	4
27	но в	6	4
28	мы можем	1	4
29	то же	4	4
30	лишь в	1	4
31	было бы	4	4
32	в двух	2	4
33	не является	8	4
34	материала в	1	4
35	и то	1	3
36	поэтической речи	1	3
37	в ее	3	3
38	самом деле	2	3
39	в пределах	2	3
40	так и	9	3
41	при анализе	1	3
42	говорить о	2	3
43	в их	1	3
44	по отношению	7	3
45	ни один	1	3
46	в себе	8	3
47	к одному	1	3
48	не как	2	3
49	здесь мы	1	3
50	но и	23	3
51	как и	7	3
52	и уже	1	3
53	точку зрения	4	3
54	не в	14	3
55	да и	4	3
56	есть прежде	1	3
57	и для	2	3
58	никогда не	3	3
59	и все	2	3
60	отношению к	6	3
61	не столько	4	3
62	что в	3	3
63	для себя	1	2
64	в жизненной	1	2
65	и др	2	2
66	данном случае	4	2
67	в произведении	3	2
68	и может	1	2
69	роль в	2	2
70	на две	1	2
71	мы уже	1	2
72	те же	4	2
73	есть не	1	2
74	мог бы	3	2
75	если бы	1	2
76	что иное	2	2
77	иное как	2	2
78	не что	2	2
79	к предмету	1	2
80	в ней	3	2
81	а также	7	2
82	в чем	1	2
83	между тем	3	2
84	в ряд	1	2
85	в общем	1	2
86	нуждается в	5	2
87	во всей	2	2
88	что они	3	2
89	вслед за	4	2
90	наконец в	2	2
91	может иметь	1	2
92	как в	7	2
93	в данном	5	2
94	в этом	17	2
95	в полном	2	2
96	в том	18	2
97	тот же	1	2
98	с ними	1	2
99	в действительности	1	2
100	или иного	2	2
101	от этого	1	2
102	которое мы	1	2
103	во времени	8	2
104	в целом	1	2
105	и тем	4	2
106	все эти	2	2
107	с одной	7	2
108	уже в	3	2
109	в нем	4	2
110	при этом	9	2
111	для него	2	2
112	в другом	1	2
113	отношений между	1	2
114	вовсе не	1	2
115	тем что	3	2
116	в них	1	2
117	объект и	1	2
118	и внутренняя	1	2
119	этой проблемы	1	2
120	в области	2	2
121	с другой	8	2
122	всей своей	2	2
123	а как	1	2
124	в самом	1	2
125	входит в	1	2
126	того или	2	2
127	одной стороны	7	2
128	соответствии с	1	2
129	более того	1	2
130	не на	2	2
131	а не	12	2
132	другой стороны	4	2
133	не мог	4	2
134	несмотря на	2	2
135	в связи	2	2
136	том что	14	2
137	и при	1	2
138	и ее	2	2
139	так же	2	2
140	своего рода	12	2
141	форм но	1	2
142	в тех	1	2
143	описания и	2	2
144	с этой	1	2
145	с историей	1	2
146	не менее	3	2
147	не имеет	2	2
148	в книге	1	2
149	в структуре	2	2
150	собственно говоря	1	2
151	от всех	2	2
152	и является	1	2
153	а в	11	2
154	нет ничего	1	2
155	героя и	4	2
156	и к	1	2
157	имеет место	4	2
158	могут быть	3	2
159	и лингвистики	1	2
