N	3gram	Losev_Prob_3	Freidism
1	с точки зрения	2	11
2	во всяком случае	6	7
3	не может быть	5	7
4	в самом деле	1	6
5	в то же	4	4
6	в данном случае	7	4
7	на самом деле	2	4
8	можно сказать что	2	4
9	как мы видели	2	4
10	если бы он	1	3
11	для того чтобы	1	3
12	в таком случае	4	3
13	бы то ни	4	3
14	в собственном смысле	1	3
15	на этот вопрос	1	3
16	узком смысле слова	1	3
17	в чем не	2	2
18	ни об его	3	2
19	он не только	1	2
20	то же самое	7	2
21	что же касается	4	2
22	то или иное	2	2
23	до сих пор	2	2
24	не отличается от	1	2
25	в таких случаях	2	2
26	в отличие от	2	2
27	по своему содержанию	2	2
28	это вовсе не	4	2
29	но если мы	1	2
30	может быть и	3	2
31	чем он сам	1	2
32	ничего общего не	1	2
33	так и в	1	2
34	благодаря тому что	1	2
35	ни в чем	2	2
36	это и есть	1	2
37	то ни было	3	2
38	с одной стороны	1	2
39	тем не менее	10	2
40	в своей основе	1	2
41	в конце концов	3	2
42	и может быть	1	1
43	к целому ряду	1	1
44	точка зрения на	1	1
45	только потому что	2	1
46	обнаруживает себя в	1	1
47	существенного значения для	1	1
48	такое же положение	1	1
49	между собой в	1	1
50	то ни стало	1	1
51	а вовсе не	2	1
52	это означает что	1	1
53	так как они	1	1
54	новых и новых	1	1
55	равно как и	1	1
56	и нет ничего	1	1
57	в котором он	1	1
58	но даже и	4	1
59	это уже не	2	1
60	как бы ни	1	1
61	другими словами мы	1	1
62	в этом случае	5	1
63	во что бы	1	1
64	в которой нам	1	1
65	как раз и	4	1
66	вполне понятно что	1	1
67	и потому его	1	1
68	мы находим в	2	1
69	только в контексте	1	1
70	на самом же	4	1
71	не было бы	3	1
72	только то что	2	1
73	во всех этих	1	1
74	из того что	1	1
75	смысле слова мы	1	1
76	или по крайней	4	1
77	но когда мы	1	1
78	принимать во внимание	1	1
79	то ни о	1	1
80	по крайней мере	5	1
81	и вовсе не	4	1
82	но и самым	1	1
83	не исчерпывается мы	1	1
84	и тем не	3	1
85	отнюдь не является	2	1
86	впрочем может быть	1	1
87	даже и не	4	1
88	никакого отношения к	3	1
89	что бы то	1	1
90	если же мы	1	1
91	можно сказать о	1	1
92	об ее существовании	1	1
93	не чем иным	1	1
94	до конца и	1	1
95	конце концов и	1	1
96	таким образом и	1	1
97	на первый взгляд	2	1
98	но при этом	1	1
99	каких бы то	1	1
100	быть и речи	1	1
101	как будто бы	3	1
102	по сравнению с	2	1
103	себе а в	1	1
104	всяком случае не	1	1
105	в каком случае	2	1
106	не является чем-то	1	1
107	мы говорили выше	1	1
108	внимания ни на	1	1
109	только в его	1	1
110	собственном смысле слова	1	1
111	вот в этой	1	1
112	ответ на этот	1	1
113	настолько велико что	1	1
114	а может быть	1	1
115	бросается в глаза	1	1
116	что же такое	3	1
117	и все же	1	1
118	это было бы	1	1
119	смысле слова и	3	1
120	и ни в	2	1
121	который в данном	1	1
122	ни в каком	4	1
123	таким образом в	1	1
124	чем иным как	1	1
125	то обстоятельство что	1	1
126	мы не можем	1	1
127	от того что	1	1
128	приведет нас к	1	1
129	в то время	4	1
130	мы не будем	2	1
131	говорить о том	1	1
132	в такой форме	1	1
133	то что мы	1	1
134	сказать и о	1	1
135	и к другим	1	1
136	о том что	3	1
137	ничего общего с	2	1
138	к выводу что	1	1
139	не только не	1	1
140	ни о каком	2	1
141	ни в какую	1	1
142	одна на другую	1	1
143	той или иной	8	1
144	всякий художественный образ	2	1
145	каком случае не	1	1
146	относится и к	1	1
147	смысле этого слова	1	1
148	тоже еще не	1	1
149	случае не является	1	1
150	для самого себя	2	1
151	потому что оно	1	1
152	и т д	13	1
153	и за пределы	2	1
154	то же что	1	1
155	самом же деле	4	1
156	в том что	9	1
157	и о которых	1	1
158	что и в	3	1
159	не нуждается в	1	1
160	может быть даже	3	1
161	и все его	1	1
