N	4gram	Potebnia_M_1	VerxiiNi
1	во всяком случае не	1	3
2	с этой точки зрения	1	2
3	бы то ни было	1	2
4	в том виде в	1	2
5	в то же время	3	2
6	точно так же как	1	2
7	или по крайней мере	1	1
8	и выйти из этого	1	1
9	одного и того же	2	1
10	не потому только что	1	1
11	в одном и том	2	1
12	несмотря на все усилия	1	1
13	еще и потому что	1	1
14	указывает на то что	1	1
15	в таком случае эта	1	1
16	но тем не менее	3	1
17	с психологической точки зрения	1	1
18	не в том что	2	1
19	но и потому что	1	1
20	и в этом отношении	1	1
21	а в том что	2	1
22	все более и более	2	1
23	том виде в каком	1	1
24	одном и том же	2	1
25	с тем и другим	1	1
26	мы видели выше что	1	1
27	лицом к лицу с	1	1
28	тем не менее продолжает	1	1
29	в отвлеченные понятия и	1	1
