N	3gram	Losev_Dial_4	Otkroven
1	в нем нет	1	3
2	для того чтобы	5	3
3	искать не в	1	2
4	и в этом	3	2
5	а не в	1	2
6	это было бы	1	2
7	не может быть	6	2
8	как и все	2	2
9	с тем что	1	2
10	по себе есть	1	1
11	по сравнению с	2	1
12	по природе своей	1	1
13	не в том	4	1
14	и других его	1	1
15	прежде всего в	1	1
16	есть уже не	1	1
17	как бы в	1	1
18	это не есть	4	1
19	о том как	2	1
20	это должно быть	1	1
21	не было и	1	1
22	и не может	1	1
23	том случае если	1	1
24	сам по себе	2	1
25	не в силах	1	1
26	само по себе	4	1
27	после того как	1	1
28	о том что	1	1
29	ни с какой	1	1
30	должна быть не	1	1
31	ни с чем	1	1
32	он еще не	1	1
33	и прежде всего	1	1
34	с чем и	1	1
35	в том что	9	1
36	на то что	3	1
37	и на нем	1	1
38	ничего нет кроме	1	1
39	и не в	1	1
40	в том случае	1	1
41	и то что	1	1
42	все что было	1	1
43	а не только	1	1
44	как бы и	1	1
45	от того что	2	1
46	и потому это	1	1
47	в которой нет	1	1
48	не есть просто	3	1
