N	2gram	Berdyaev_M_1	Istorich
1	и в	28	22
2	мы имеем	1	19
3	в этом	20	17
4	и т	1	16
5	т е	2	16
6	что в	10	15
7	не только	29	14
8	но и	25	12
9	и не	11	12
10	в этих	4	11
11	может быть	30	11
12	но в	7	10
13	еще не	1	10
14	в нем	13	9
15	что и	4	9
16	в том	6	9
17	что он	10	9
18	вместе с	6	9
19	этот случай	2	8
20	мы видим	2	8
21	что они	1	8
22	с этим	3	8
23	том что	3	8
24	но не	8	7
25	то что	5	7
26	уже не	4	7
27	так как	3	7
28	к этому	2	7
29	мы уже	1	6
30	не вполне	1	6
31	не все	2	6
32	это не	5	6
33	в ином	2	6
34	во время	1	6
35	ничего не	3	6
36	все еще	1	6
37	так в	1	6
38	если бы	2	6
39	в них	4	6
40	то и	1	6
41	а не	25	6
42	в течение	1	6
43	а в	4	6
44	с ней	2	6
45	все же	2	5
46	он не	24	5
47	что она	1	5
48	в этой	6	5
49	не менее	1	5
50	могут быть	2	5
51	живет в	2	5
52	к нему	7	5
53	в свете	3	5
54	того что	7	5
55	один из	4	5
56	так что	1	5
57	до сих	2	5
58	у меня	1	5
59	в частности	1	5
60	есть и	3	5
61	сих пор	2	5
62	одним из	2	4
63	и на	6	4
64	все эти	2	4
65	отношение к	4	4
66	не в	16	4
67	на могиле	1	4
68	имеем в	1	4
69	на этом	3	4
70	и с	3	4
71	ином мире	1	4
72	можно найти	1	4
73	у нас	5	4
74	но он	9	4
75	к ней	4	4
76	и его	9	4
77	тем что	4	4
78	она не	4	4
79	в пределах	1	4
80	находится в	1	4
81	в другой	1	4
82	только в	6	4
83	его и	1	4
84	а именно	1	4
85	связано с	2	4
86	они не	1	4
87	и там	4	4
88	для нас	3	4
89	в свою	2	4
90	не может	28	4
91	связана с	2	3
92	он все	1	3
93	имеет свою	1	3
94	что иное	1	3
95	я не	1	3
96	и ее	1	3
97	иное как	1	3
98	в одной	1	3
99	целый ряд	1	3
100	и как	2	3
101	и к	2	3
102	его в	3	3
103	дома и	1	3
104	было бы	10	3
105	должен был	4	3
106	для них	3	3
107	как и	5	3
108	он уходит	1	3
109	должны были	1	3
110	и эти	1	3
111	в русской	1	3
112	никогда не	14	3
113	потому что	16	3
114	он и	2	3
115	к тому	3	3
116	о том	2	3
117	уже с	1	3
118	на том	3	3
119	особого рода	1	3
120	от них	1	3
121	в его	9	3
122	и она	2	3
123	и у	2	3
124	прежде всего	10	3
125	у него	17	3
126	уходит в	1	3
127	мы еще	2	3
128	вступает в	1	3
129	о себе	3	3
130	так же	1	3
131	мы увидим	3	3
132	быть и	1	3
133	но это	1	3
134	и от	2	3
135	она принадлежит	1	3
136	его не	3	3
137	и все	10	3
138	сказать что	2	3
139	не что	1	3
140	все что	2	3
141	ту же	1	2
142	и то	1	2
143	на самом	1	2
144	и есть	14	2
145	в котором	8	2
146	вопрос о	2	2
147	время как	2	2
148	но она	1	2
149	то это	1	2
150	и он	12	2
151	он ничего	1	2
152	в ней	15	2
153	не отражает	1	2
154	то мы	1	2
155	к жизни	1	2
156	в сторону	1	2
157	по отношению	2	2
158	себе и	2	2
159	его на	1	2
160	как в	2	2
161	в своем	10	2
162	ней в	1	2
163	в этот	2	2
164	то время	2	2
165	во многих	1	2
166	если он	5	2
167	всех этих	1	2
168	нее и	1	2
169	и вот	3	2
170	так и	1	2
171	же не	1	2
172	об этой	1	2
173	на все	1	2
174	вовсе не	1	2
175	с тем	9	2
176	и для	2	2
177	выйти за	1	2
178	после этого	1	2
179	не мог	3	2
180	точки зрения	4	2
181	в которых	4	2
182	стоит в	1	2
183	и более	1	2
184	ему как	1	2
185	не раз	1	2
186	в то	2	2
187	хотелось бы	1	2
188	не имеет	3	2
189	который был	2	2
190	это еще	1	2
191	с одним	1	2
192	относится к	2	2
193	его он	1	2
194	как будто	2	2
195	в самых	1	2
196	на это	1	2
197	и это	12	2
198	и о	1	2
199	роль в	1	2
200	с собой	3	2
201	связан с	1	2
202	одного из	1	2
203	когда его	1	2
204	и что	2	2
205	за это	1	2
206	в силу	1	2
207	с того	2	2
208	между тем	1	2
209	все время	1	2
210	в него	3	2
211	переносится на	1	2
212	же можно	2	2
213	этот вопрос	1	2
214	характерно для	1	2
215	и действительно	1	2
216	в человека	4	2
217	в жизни	3	2
218	что не	1	2
219	него и	2	2
220	себе в	1	2
221	всяком случае	1	2
222	в одном	1	2
223	никто не	2	2
224	у нее	1	2
225	знает не	1	2
226	и даже	1	2
227	есть только	2	2
