N	2gram	Tiupa_Narr_1	NovoeSre
1	а не	13	17
2	и в	11	16
3	не может	8	16
4	нового времени	1	12
5	и не	23	11
6	и есть	1	10
7	что в	3	9
8	как не	1	8
9	в том	8	8
10	жизни и	6	8
11	он не	3	8
12	в этом	12	7
13	в новой	1	7
14	может быть	15	7
15	не будет	2	7
16	как и	13	7
17	с его	4	6
18	новая история	1	6
19	не в	6	6
20	никогда не	4	6
21	лишь в	3	6
22	но это	1	6
23	не знает	1	6
24	должен быть	1	5
25	с ее	2	5
26	в ней	4	5
27	истории в	4	5
28	и к	1	5
29	не только	31	5
30	в жизни	3	5
31	все это	1	5
32	в нем	4	5
33	о том	4	4
34	и мы	1	4
35	то что	9	4
36	это не	3	4
37	прежде всего	4	4
38	не было	3	4
39	и потому	1	4
40	по своему	2	4
41	не менее	3	4
42	и для	2	4
43	не имеет	2	4
44	и все	3	4
45	потому что	5	4
46	с другой	2	3
47	в ее	1	3
48	еще не	4	3
49	во всех	1	3
50	наряду с	1	3
51	как в	4	3
52	к ним	2	3
53	подобно тому	3	3
54	в мире	4	3
55	но и	27	3
56	это было	2	3
57	стремится к	1	3
58	с тем	1	3
59	в своей	5	3
60	к жизни	2	3
61	тому как	3	3
62	она не	2	3
63	не существует	3	3
64	жизни не	1	3
65	к ее	2	3
66	жизни в	2	3
67	истории не	3	3
68	к тому	6	3
69	сказать что	2	3
70	же как	1	2
71	более не	2	2
72	это и	1	2
73	роль в	2	2
74	переход к	1	2
75	так и	5	2
76	времени и	9	2
77	мы не	3	2
78	и с	3	2
79	для этого	1	2
80	жизни как	2	2
81	и на	5	2
82	быть в	1	2
83	времени в	2	2
84	истории а	1	2
85	на протяжении	7	2
86	но не	4	2
87	которую она	1	2
88	все время	1	2
89	в центре	3	2
90	с этим	1	2
91	живого бога	1	2
92	хотя и	4	2
93	но в	7	2
94	который в	2	2
95	с одной	1	2
96	себя в	2	2
97	в себе	6	2
98	уже не	8	2
99	не могла	2	2
100	у него	7	2
101	что она	1	2
102	в одну	1	2
103	и даже	2	2
104	на уровне	1	2
105	и т.п	8	2
106	бытия в	1	2
107	зависит от	2	2
108	и было	1	2
109	том что	7	2
110	вместе с	2	2
111	так же	1	2
112	к подлинному	1	2
113	которому не	1	2
114	одной стороны	1	2
115	такого рода	10	2
116	мир и	1	2
117	другой стороны	2	2
118	обращение к	1	2
119	ни одна	1	2
120	как будто	3	2
121	как это	3	2
122	но для	3	2
123	в то	4	2
124	одна из	4	2
125	в мировой	1	2
126	того чтобы	4	2
127	и от	2	2
128	хотя бы	2	2
129	все они	1	2
130	а в	13	2
131	могут быть	1	2
132	обращена к	1	1
133	и через	2	1
134	не имел	1	1
135	только потому	1	1
136	переход от	2	1
137	что платон	1	1
138	приводит к	1	1
139	как результат	1	1
140	и до	1	1
141	и про	2	1
142	и мысли	1	1
143	слова а	1	1
144	может идти	1	1
145	в образе	1	1
146	с собой	1	1
147	на нее	1	1
148	мы уже	1	1
149	не с	1	1
150	еще в	3	1
151	христианской культуры	1	1
152	мир не	1	1
153	героя но	2	1
154	с ним	2	1
155	можно сказать	5	1
156	на себя	4	1
157	и другая	1	1
158	в виду	1	1
159	зависимости от	2	1
160	жизни это	1	1
161	еще при	1	1
162	это время	1	1
163	же мере	1	1
164	теперь и	1	1
165	в чем	2	1
166	без обращения	1	1
167	это была	2	1
168	своего рода	10	1
169	к нему	4	1
170	нем не	1	1
171	понять что	1	1
172	значение и	1	1
173	в его	6	1
174	отличие от	2	1
175	неизбежно будет	1	1
176	и только	2	1
177	народов и	1	1
178	но тут	1	1
179	в значительной	1	1
180	в своем	3	1
181	известном смысле	2	1
182	в формах	1	1
183	истории он	2	1
184	человека в	2	1
185	что он	3	1
186	особое место	1	1
187	только в	12	1
188	во всем	1	1
189	по своей	1	1
190	в самом	6	1
191	к чему	3	1
192	нее входит	1	1
193	из этих	4	1
194	тоже не	1	1
195	в известном	2	1
196	для всех	1	1
197	но во	1	1
198	и у	1	1
199	мира но	1	1
200	уже в	1	1
201	вопроса о	1	1
202	человек не	1	1
203	свидетельствует о	1	1
204	от других	1	1
205	из них	4	1
206	одному из	1	1
207	сказать мы	1	1
208	для того	3	1
209	всяком случае	2	1
210	и когда	1	1
211	нуждается в	1	1
212	к одному	1	1
213	слова в	4	1
214	сами по	2	1
215	в конце	2	1
216	но ведь	1	1
217	часто не	1	1
218	друг друга	2	1
219	и гибель	1	1
220	бытия и	1	1
221	не случайно	1	1
222	которые могут	1	1
223	человек как	1	1
224	людей и	1	1
225	тем что	1	1
226	заключает в	2	1
227	существенным моментом	1	1
228	в нее	1	1
229	но все	1	1
230	значительной степени	1	1
231	жить в	1	1
232	может остаться	1	1
233	в последние	1	1
234	значение в	1	1
235	чего он	1	1
236	том случае	1	1
237	из всех	1	1
238	них не	1	1
239	а по	2	1
240	на ее	2	1
241	с другими	1	1
242	это одна	1	1
243	он есть	1	1
244	сам себя	1	1
245	лишь на	1	1
246	было и	2	1
247	есть время	1	1
248	в отличие	2	1
249	что не	2	1
250	все слова	1	1
251	для них	2	1
252	связано с	1	1
253	их не	1	1
254	не верит	1	1
255	а на	2	1
256	они не	1	1
257	в этой	6	1
258	с большей	1	1
259	не на	1	1
260	этого не	2	1
261	не всегда	3	1
262	человеческой жизни	2	1
263	когда она	1	1
264	внутри и	1	1
265	что мы	2	1
266	и того	2	1
267	ближе к	1	1
268	он и	2	1
269	одного и	1	1
270	и ему	1	1
271	и еще	2	1
272	в этих	2	1
273	во время	1	1
274	имея в	1	1
275	она сама	1	1
276	до этого	1	1
277	настоящего и	1	1
278	и всеми	1	1
279	к себе	4	1
280	в котором	1	1
281	что вся	1	1
282	одну из	1	1
283	и красота	1	1
284	у нас	3	1
285	в обнаружении	1	1
286	в зависимости	2	1
287	в силу	1	1
288	войне и	2	1
289	о человеке	1	1
290	их в	3	1
291	что этот	1	1
292	он видел	1	1
293	во времени	9	1
294	быть не	3	1
295	по себе	4	1
296	в той	2	1
297	нас к	1	1
298	и вся	1	1
299	будто бы	1	1
300	приблизиться к	1	1
301	сих пор	2	1
302	так как	1	1
303	обращения к	1	1
304	исторический период	1	1
305	в сущности	2	1
306	в более	1	1
307	не по	4	1
308	это уже	3	1
309	до сих	2	1
310	из их	1	1
311	тайной жизни	1	1
312	которая в	2	1
313	в исторический	1	1
314	а во	4	1
315	они являются	1	1
316	к этой	1	1
317	к ней	1	1
318	не останется	1	1
319	и его	10	1
320	а также	6	1
321	вот этот	1	1
322	или не	4	1
323	истории как	2	1
324	так называемый	1	1
325	человека так	1	1
326	для другого	1	1
327	в области	2	1
328	в период	1	1
329	ему не	1	1
330	в свою	2	1
331	иного мира	1	1
332	всего мира	1	1
333	того же	1	1
334	жизни а	3	1
335	ли он	1	1
336	в которой	1	1
337	числе и	1	1
338	жизни мы	1	1
339	не верят	1	1
340	жизни без	1	1
341	во всяком	2	1
342	то они	2	1
343	случае если	1	1
344	на самоопределение	1	1
345	оно не	2	1
346	который не	1	1
347	далеко ушла	1	1
348	все что	2	1
349	том числе	1	1
