N	3gram	Losev_Vlad_1	Analitik
1	в том что	7	7
2	так и не	1	5
3	с другой стороны	3	5
4	о том что	7	5
5	мы имеем дело	1	4
6	в свою очередь	1	4
7	то же время	4	3
8	не только не	1	3
9	в то же	4	3
10	к тому же	2	3
11	в этом отношении	1	3
12	дело в том	4	2
13	в ответ на	2	2
14	том что он	2	2
15	так и его	1	2
16	одной и той	1	2
17	с одной стороны	1	2
18	тем не менее	2	2
19	во всяком случае	2	2
20	в свое время	5	2
21	а в том	1	2
22	можно сказать что	2	2
23	и той же	1	2
24	в сравнении с	1	2
25	что иное как	1	1
26	он так и	2	1
27	уже не может	1	1
28	не говоря уже	1	1
29	в самом деле	1	1
30	и в особенности	1	1
31	в этом смысле	4	1
32	где мы читаем	1	1
33	состояла в том	1	1
34	в дальнейшем мы	1	1
35	на первом слоге	1	1
36	говоря уже о	1	1
37	что он не	3	1
38	несмотря на свою	1	1
39	все той же	1	1
40	своего отца и	1	1
41	как раз в	1	1
42	в году но	1	1
43	в том чтобы	2	1
44	здесь мы имеем	1	1
45	не только в	2	1
46	так и в	1	1
47	из этого письма	1	1
48	а с другой	1	1
49	имеем дело с	1	1
50	дальнейшем мы будем	1	1
51	так или иначе	1	1
52	но и его	1	1
53	в связи с	1	1
54	с теми же	1	1
55	лицом к лицу	1	1
56	для того чтобы	2	1
57	один и тот	2	1
58	есть не что	1	1
59	не может быть	3	1
60	в этом же	1	1
61	и теперь в	1	1
62	мысль о том	1	1
63	до тех пор	1	1
64	как и сам	1	1
65	тем более что	2	1
66	искусства и религии	1	1
67	заключается в том	1	1
68	можно судить по	2	1
69	не что иное	1	1
70	в особенности же	1	1
71	дело не в	1	1
72	все это было	2	1
73	в себе не	1	1
74	что и в	2	1
75	и тот же	2	1
76	указывает на его	1	1
