N	2gram	Tiupa_Vved_1	Literetu
1	и не	12	22
2	тогда как	10	17
3	в мире	8	16
4	и в	13	16
5	при этом	26	15
6	в этом	21	14
7	не только	20	14
8	уединенного сознания	1	14
9	но и	19	14
10	в том	10	12
11	может быть	18	12
12	а не	15	12
13	то что	6	12
14	в частности	13	11
15	своего рода	10	10
16	не в	6	10
17	такого рода	16	10
18	е годы	1	9
19	то же	5	9
20	так и	8	9
21	в то	4	9
22	того что	6	9
23	в е	2	8
24	в этой	1	8
25	в жизни	4	8
26	том что	7	8
27	не может	7	8
28	к себе	1	8
29	как бы	4	8
30	в своей	5	7
31	тем самым	5	7
32	же время	3	7
33	только в	6	7
34	себя в	1	7
35	в противовес	3	7
36	со стороны	5	7
37	эстетического субъекта	1	7
38	точки зрения	1	7
39	еще не	7	6
40	в себе	5	6
41	состоит в	10	6
42	по мысли	5	6
43	о том	5	6
44	и его	5	6
45	в его	4	6
46	присутствия в	7	6
47	и т.п	9	6
48	с другой	5	6
49	к тому	6	6
50	в отличие	2	5
51	отличие от	2	5
52	субъекта и	1	5
53	как в	4	5
54	всего лишь	5	5
55	в целом	3	5
56	тому же	4	5
57	то есть	8	5
58	лишь в	2	5
59	это не	6	5
60	соответствии с	6	5
61	как и	11	5
62	что я	1	5
63	в основе	3	5
64	коммуникативного события	5	5
65	этом отношении	4	5
66	в ее	1	5
67	что он	1	5
68	в качестве	8	5
69	а именно	1	5
70	вместе с	1	5
71	а в	6	5
72	перед лицом	1	4
73	одним из	5	4
74	но не	5	4
75	по отношению	7	4
76	в рамках	4	4
77	хотя и	7	4
78	и если	1	4
79	входит в	1	4
80	место в	2	4
81	однако в	4	4
82	даже в	1	4
83	никогда не	4	4
84	в тексте	10	4
85	данном случае	6	4
86	коммуникативное событие	6	4
87	а также	8	4
88	другого в	1	4
89	в жизнь	1	4
90	с одной	5	4
91	в начале	3	4
92	из них	1	4
93	в одном	1	4
94	как будто	4	4
95	как у	1	4
96	до конца	3	4
97	одной стороны	5	4
98	в данном	13	4
99	и для	3	4
100	жизни в	4	4
101	отношению к	7	4
102	например в	2	3
103	самом деле	3	3
104	для которого	3	3
105	едва ли	3	3
106	той же	1	3
107	с ее	1	3
108	в сторону	1	3
109	отнюдь не	7	3
110	однако не	1	3
111	усматривает в	1	3
112	и наконец	2	3
113	и к	2	3
114	но в	6	3
115	то в	1	3
116	бы и	4	3
117	на его	1	3
118	[] в	1	3
119	и тем	2	3
120	в слове	3	3
121	начале х	1	3
122	себе самому	1	3
123	однако если	1	3
124	по своей	3	3
125	потому что	5	3
126	в области	3	3
127	для его	1	3
128	еще в	2	3
129	обратим внимание	1	3
130	прежде всего	7	3
131	между тем	1	3
132	вслед за	2	3
133	уже не	5	3
134	в самом	2	3
