N	3gram	Nazirov_Tv_1	Komedia
1	к тому же	1	10
2	в том что	6	5
3	за то что	1	4
4	вместе с тем	1	4
5	о том что	5	4
6	по отношению к	1	3
7	в связи с	1	3
8	в первую очередь	1	3
9	то же время	12	3
10	в то же	13	3
11	чуть ли не	1	2
12	в одной из	2	2
13	до сих пор	1	2
14	в отличие от	1	2
15	бы то ни	1	2
16	на протяжении почти	1	2
17	то ни было	1	2
18	с одной стороны	1	2
19	что у него	1	2
20	и т п	2	2
21	к тому что	1	2
22	не означает что	1	1
23	чем отличается от	1	1
24	все тот же	1	1
25	это не означает	2	1
26	прежде всего они	1	1
27	один ряд с	1	1
28	а нередко и	1	1
29	больше чем любой	1	1
30	в соответствии с	3	1
31	в том же	1	1
32	и в то	2	1
33	с самого начала	3	1
34	он говорит о	1	1
35	и та же	2	1
36	а может быть	1	1
37	то что в	1	1
38	в наше время	2	1
39	точно так же	2	1
40	за три года	1	1
41	все же это	1	1
42	а вместе с	1	1
43	в этой связи	2	1
44	в этой области	1	1
45	не в его	1	1
46	в один ряд	1	1
47	одна и та	1	1
48	мало чем отличается	1	1
49	же время он	2	1
50	с другой стороны	1	1
51	таким образом и	1	1
52	три года до	1	1
53	их взаимоотношения в	1	1
54	и в свою	1	1
55	у него в	1	1
56	что он не	1	1
57	не укладывается ни	1	1
58	в свою очередь	1	1
59	на протяжении всего	2	1
60	и в самом	1	1
61	не только в	2	1
62	он выступает против	1	1
63	что в каждом	1	1
64	тем не менее	2	1
65	укладывается ни в	1	1
