N	2gram	Vygotskiy__1	Retstnzi
1	не может	12	4
2	и в	23	3
3	общения и	3	2
4	социального общения	1	2
5	один из	2	2
6	изменилось бы	1	2
7	на нее	2	1
8	и больше	1	1
9	то же	8	1
10	с другими	2	1
11	можно назвать	2	1
12	анализа и	1	1
13	в ней	1	1
14	его от	1	1
15	может быть	14	1
16	из этих	3	1
17	прямо противоположную	1	1
18	и не	9	1
19	этой проблемы	8	1
20	в его	14	1
21	тех же	2	1
22	во второй	1	1
23	в лингвистике	1	1
24	ситуации и	1	1
25	он в	3	1
26	связи с	3	1
27	своих работ	1	1
28	позицию занимает	1	1
29	не только	16	1
30	с точки	18	1
31	не менее	1	1
32	для него	2	1
33	если бы	5	1
34	и лингвистики	1	1
35	тому что	5	1
36	к тому	4	1
37	несмотря на	2	1
38	и все	5	1
39	ничего кроме	2	1
40	именно с	1	1
41	в то	7	1
42	вопрос что	1	1
43	бы в	5	1
44	речь и	2	1
45	но и	14	1
46	точки зрения	26	1
47	и на	8	1
48	может не	3	1
49	мы видим	4	1
50	на примере	2	1
51	же время	2	1
52	в анализе	1	1
53	а не	3	1
