1	то же время	5	9
2	и как раз	1	6
3	в то же	5	6
4	в связи с	4	5
5	одного и того	1	5
6	и того же	1	5
7	в том числе	1	4
8	к себе самому	1	4
9	до сих пор	1	3
10	не могло быть	2	3
11	по отношению к	2	3
12	не может быть	1	3
13	в этом отношении	2	3
14	и в частности	1	2
15	не только в	4	2
16	с самого начала	1	2
17	а также и	1	2
18	к своей собственной	1	2
19	как раз и	1	2
20	с точки зрения	2	2
21	в отличие от	5	2
22	и не только	1	2
23	внешнее и внутреннее	1	2
24	дело в том	2	2
25	и во всей	1	2
26	но все же	1	2
27	жизни и в	1	2
28	к тому же	1	2
29	в соответствии с	1	2
30	в том что	11	2
31	с одной стороны	2	2
32	и прежде всего	3	2
33	и в литературе	1	1
34	никогда не бывает	1	1
35	автора и его	1	1
36	все более и	1	1
37	время не оставляет	1	1
38	здесь как и	1	1
39	но дело в	1	1
40	себе самому и	1	1
41	и в этом	1	1
42	в зависимости от	1	1
43	в себя и	1	1
44	жизни но и	1	1
45	в значительной степени	1	1
46	имел в виду	1	1
47	во всяком случае	2	1
48	на второй план	1	1
49	в этом и	1	1
50	в другом месте	1	1
51	прежде всего в	3	1
52	дело не только	2	1
53	на том что	1	1
54	в данном случае	4	1
55	в самом деле	1	1
56	в свою очередь	1	1
57	значительную роль в	1	1
58	еще и в	1	1
59	более и более	1	1
60	не оставляет места	2	1
61	о том что	2	1
62	одна из форм	1	1
63	но в то	1	1
64	в это время	1	1
65	до конца не	1	1
66	не только на	1	1
67	в том же	3	1
68	все последующее развитие	1	1
