N	4gram	Tiupa_Narr_2	Psycholo
1	в то время как	1	5
2	с этой точки зрения	1	4
3	может быть сведена к	1	2
4	и т п все	1	2
5	никак не может быть	1	2
6	отнюдь не означает что	1	2
7	с одной стороны и	1	1
8	а в том как	1	1
9	в той мере в	2	1
10	одного и того же	1	1
11	и в известном смысле	1	1
12	той мере в какой	2	1
13	в том или ином	1	1
14	не что иное как	1	1
15	что с точки зрения	1	1
16	о том что искусство	1	1
17	состоит в том что	4	1
18	точно так же как	2	1
19	одной стороны и в	1	1
20	одним и тем же	1	1
