N	2gram	Tiupa_Hudo_1	KulturaY
1	и т	11	54
2	т п	8	41
3	т е	4	32
4	и в	14	23
5	точки зрения	5	23
6	в том	12	22
7	не только	12	17
8	в этом	11	16
9	было бы	6	16
10	с точки	3	16
11	самом деле	5	14
12	может быть	5	14
13	в самом	4	13
14	что в	6	13
15	не менее	5	12
16	потому что	5	12
17	вопрос о	2	11
18	том что	16	11
19	того чтобы	3	11
20	можно было	5	11
21	в его	8	11
22	того что	4	11
23	а не	12	11
24	можно говорить	1	10
25	и не	2	10
26	еще не	7	9
27	тем не	4	9
28	хотя бы	1	9
29	так как	1	9
30	прежде всего	11	9
31	т д	3	8
32	лишь в	3	8
33	если бы	3	8
34	в виду	1	8
35	уже не	7	8
36	до сих	2	8
37	сих пор	2	8
38	между прочим	1	8
39	как это	1	7
40	все эти	3	7
41	должно быть	2	7
42	и что	2	7
43	с другой	1	7
44	на фоне	2	7
45	в данном	1	7
46	сказать что	1	7
47	то же	9	6
48	говорить о	3	6
49	в общем	1	6
50	в силу	1	6
51	только в	5	6
52	так и	13	6
53	при этом	12	6
54	и тем	1	6
55	с тем	1	6
56	в их	2	6
57	ничего не	8	6
58	связи с	4	6
59	не может	7	6
60	могут быть	1	6
61	по себе	2	6
62	о том	12	6
63	тот же	1	6
64	что он	9	6
65	также и	1	5
66	в первом	1	5
67	как мы	3	5
68	я не	1	5
69	в чем	1	5
70	в рамках	2	5
71	все же	3	5
72	хотя и	2	5
73	из этих	1	5
74	как бы	7	5
75	что она	4	5
76	как и	9	5
77	не в	7	5
78	вовсе не	1	5
79	не могут	1	5
80	но также	1	5
81	слов и	1	5
82	тем что	3	5
83	далеко не	1	5
84	в связи	3	5
85	что же	2	5
86	не будем	1	5
87	тем более	1	5
88	но это	1	5
89	а в	7	5
90	тех же	1	4
91	отношения между	1	4
92	в сущности	1	4
93	столь же	4	4
94	как в	8	4
95	в своем	4	4
96	в целом	2	4
97	том случае	1	4
98	ясно что	2	4
99	в своей	10	4
100	не столько	2	4
101	том чтобы	1	4
102	тому что	4	4
103	тем самым	1	4
104	о них	1	4
105	как раз	4	4
106	и о	4	4
107	в ее	3	4
108	данном случае	1	4
109	для нас	1	4
110	а также	3	4
111	между тем	8	4
112	один из	4	4
113	с одной	1	4
114	что не	2	4
115	слова в	2	4
116	не случайно	7	4
117	не было	4	4
118	одной стороны	1	4
119	то что	8	4
120	в таком	3	4
121	в слове	1	4
122	речь идет	3	3
123	я и	2	3
124	на самом	2	3
125	это и	1	3
126	то в	4	3
127	по преимуществу	3	3
128	той же	2	3
129	мы не	2	3
130	в ней	4	3
131	время в	1	3
132	но не	3	3
133	но как	2	3
134	по отношению	8	3
135	отношение к	1	3
136	отнюдь не	3	3
137	что именно	1	3
138	и к	4	3
139	бы не	1	3
140	но на	1	3
141	он не	4	3
142	в первую	2	3
143	и вот	1	3
144	и с	4	3
145	с этой	2	3
146	в которых	1	3
147	установка на	1	3
148	и более	1	3
149	в отношении	1	3
150	она не	4	3
151	в то	8	3
152	как о	1	3
153	не имеет	2	3
154	на него	2	3
155	говорить и	1	3
156	что на	2	3
157	не потому	1	3
158	в результате	2	3
159	на вопрос	2	3
160	но и	5	3
161	нас в	1	3
162	это не	7	3
163	и только	1	3
164	в какой	1	3
165	я в	1	3
166	уже в	1	3
167	в данной	2	3
168	ни в	5	3
169	могло бы	1	3
170	человеческого общения	1	3
171	именно в	7	3
172	а с	2	3
173	первую очередь	2	3
174	в ряду	1	3
175	xix века	1	3
176	когда мы	1	3
177	там где	1	3
178	того или	2	3
179	но для	1	3
180	пор еще	1	3
181	к тому	7	3
182	формы и	1	3
183	мы должны	1	3
184	или иного	2	3
185	они не	2	3
186	смысле слова	1	2
187	таком случае	1	2
188	по адресу	2	2
189	было как	1	2
190	к другому	4	2
191	отношению к	8	2
192	п все	1	2
193	к нашей	1	2
194	ответить на	1	2
195	здесь не	2	2
196	чем это	1	2
197	а тем	1	2
198	не все	1	2
199	отличие от	1	2
200	что они	1	2
201	связи и	1	2
202	относится к	1	2
203	и я	1	2
204	дает нам	1	2
205	как к	3	2
206	когда он	1	2
207	и как	1	2
208	более или	1	2
209	но в	5	2
210	он в	1	2
211	и тот	1	2
212	как он	2	2
213	так сказать	2	2
214	лишь что	1	2
215	же это	1	2
216	если же	1	2
217	свое время	1	2
218	состоит в	2	2
219	на этом	3	2
220	но все	1	2
221	что все	1	2
222	несоответствие между	1	2
223	его в	3	2
224	приходит в	2	2
225	отказываться от	1	2
226	как об	1	2
227	такой же	3	2
228	как таковой	1	2
229	и того	1	2
230	смысл и	1	2
231	или менее	1	2
232	в этих	5	2
233	и без	1	2
234	большей степени	1	2
235	в отличие	1	2
236	не как	1	2
237	мысли и	1	2
238	своего рода	7	2
239	точку зрения	1	2
240	однако в	2	2
241	нас к	1	2
242	раз и	1	2
243	данной связи	1	2
244	не о	2	2
245	это еще	1	2
246	нельзя не	1	2
247	слова как	2	2
248	по своему	3	2
249	никак не	2	2
250	в текст	1	2
251	такая же	1	2
252	из всего	1	2
253	нам о	1	2
254	так в	2	2
255	но мы	1	2
256	в пределах	3	2
257	в дальнейшем	1	2
258	на том	2	2
259	совершенно иной	2	2
260	мог бы	1	2
261	к его	1	2
262	вопрос этот	1	2
263	когда в	1	2
264	она есть	1	2
265	внимание на	2	2
266	при котором	2	2
267	можно сказать	4	2
268	путь к	1	2
269	эти два	1	2
270	не более	1	2
271	и содержания	1	2
272	и об	2	2
273	сразу же	1	2
274	в двух	1	2
275	деле не	1	2
276	именно на	1	2
277	в качестве	9	2
278	то и	3	2
279	не исчерпывает	1	2
280	речь в	2	2
281	не дает	1	2
282	а то	2	2
283	в одном	1	2
284	в особенности	1	2
285	еще и	1	2
286	ни на	1	2
287	один и	1	2
288	только что	4	2
289	не означает	2	2
