N	2gram	Bakhtin_Fr_6	UchenyiS
1	и в	41	14
2	а не	2	10
3	не только	10	10
4	и не	3	8
5	прежде всего	10	8
6	в этом	12	7
7	не может	4	7
8	то что	10	7
9	может быть	2	6
10	в искусстве	3	6
11	все это	11	5
12	перестает быть	1	5
13	то же	5	5
14	в их	1	4
15	с другой	4	4
16	конечно не	3	4
17	но и	13	4
18	в этой	8	4
19	у нас	4	3
20	в своей	2	3
21	все же	4	3
22	не как	1	3
23	в то	6	3
24	же время	5	3
25	в частности	2	3
26	к сожалению	1	3
27	для этого	2	3
28	другой стороны	2	3
29	в области	2	3
30	для него	1	3
31	но в	8	3
32	и то	2	3
33	было бы	3	3
34	этой области	1	3
35	и т.д	1	3
36	это не	1	3
37	как и	7	3
38	в системе	1	2
39	не столько	1	2
40	одним из	4	2
41	и через	1	2
42	для всех	1	2
43	форму и	1	2
44	в себе	5	2
45	и с	16	2
46	же не	1	2
47	нас в	1	2
48	по себе	1	2
49	конце концов	1	2
50	все они	2	2
51	но не	2	2
52	с его	5	2
53	смысле этого	1	2
54	нового читателя	1	2
55	ничего не	1	2
56	по существу	1	2
57	и у	2	2
58	тем что	5	2
59	и для	3	2
60	превращается в	2	2
61	но конечно	2	2
62	о чем	1	2
63	их и	1	2
64	в широком	1	2
65	это было	2	2
66	что он	6	2
67	представляется нам	1	2
68	что все	2	2
69	формы и	1	2
70	должна быть	2	2
71	в том	2	2
72	только в	3	2
73	между тем	2	2
74	выдвигает на	1	2
75	таким образом	17	2
76	это уже	2	2
77	на эту	1	2
78	на первый	3	2
79	меньшей степени	4	2
80	что и	1	2
81	всех этих	2	2
82	в его	7	2
83	сих пор	3	2
84	как раз	2	2
85	могут быть	1	2
86	что мы	2	2
87	не в	4	2
88	литературы и	2	2
89	в самом	10	2
90	самом деле	4	2
91	мы не	2	2
92	этом отношении	3	2
93	в конце	2	2
94	но это	3	2
95	том что	7	2
96	не могут	2	2
97	до сих	3	2
98	в некоторых	1	2
99	что по	1	1
100	к простому	1	1
101	и что	5	1
102	связанные с	1	1
103	в которой	1	1
104	до конца	2	1
105	есть ли	1	1
106	он не	2	1
107	начала и	1	1
108	красок и	1	1
109	в сфере	1	1
110	об этом	1	1
111	переходит в	2	1
112	все что	4	1
113	в значительной	2	1
114	на его	2	1
115	с тем	1	1
116	он может	1	1
117	тот же	4	1
118	этой же	1	1
119	в различных	1	1
120	бы в	2	1
121	столько же	1	1
122	находятся в	2	1
123	направлено на	1	1
124	словесном творчестве	1	1
125	этот процесс	1	1
126	тем более	2	1
127	данном случае	2	1
128	и слово	1	1
129	путь и	1	1
130	или даже	1	1
131	в словесном	1	1
132	мы снова	1	1
133	очень часто	1	1
134	природе и	1	1
135	можно сказать	1	1
136	одно из	1	1
137	признать что	1	1
138	как основной	1	1
139	первый план	3	1
140	но он	5	1
141	литературы в	1	1
142	или меньшей	3	1
143	был первым	1	1
144	стороны в	1	1
145	о котором	4	1
146	сказать что	6	1
147	о нем	1	1
148	мы можем	1	1
149	художественного восприятия	1	1
150	о том	9	1
151	знакомый нам	1	1
152	перестают быть	1	1
153	не существует	1	1
154	его как	1	1
155	что же	1	1
156	является одним	1	1
157	было и	2	1
158	очень легко	1	1
159	бы только	1	1
160	и потому	2	1
161	только для	1	1
162	бы уж	1	1
163	с каждым	1	1
164	у кого	2	1
165	сводить к	1	1
166	нам известно	1	1
167	что в	7	1
168	он был	4	1
169	тогда когда	2	1
170	общего и	1	1
171	а для	2	1
172	как на	1	1
173	находит себе	2	1
174	того что	3	1
175	тем в	1	1
176	с одной	4	1
177	той же	5	1
178	в этот	1	1
179	на своем	1	1
180	в большей	4	1
181	уже не	1	1
182	в которых	1	1
183	так много	1	1
184	в наиболее	2	1
185	так и	5	1
186	в таком	1	1
187	или менее	1	1
188	связанных с	3	1
189	насколько нам	1	1
190	человека и	2	1
191	большей или	4	1
192	искусства и	1	1
193	искусство и	1	1
194	состоит из	2	1
195	из самых	2	1
196	уже знакомый	1	1
197	но если	2	1
198	подходят к	1	1
199	что еще	1	1
200	более или	1	1
201	в той	5	1
202	нет и	1	1
203	широком смысле	1	1
204	и все	9	1
205	исходить из	1	1
206	говорит он	2	1
207	и это	1	1
208	не было	1	1
209	и др	10	1
210	сам по	1	1
211	одной стороны	4	1
212	со своими	1	1
213	тех кто	1	1
214	никогда не	8	1
215	он в	2	1
216	и даже	4	1
217	и сплошь	1	1
218	что для	1	1
219	в котором	4	1
220	и необходимо	1	1
221	в пределах	1	1
222	мы полагаем	1	1
223	с самим	1	1
224	мировоззрения и	1	1
225	у него	7	1
226	что с	1	1
227	полагаем что	1	1
228	восприятия и	1	1
229	еще один	1	1
230	ничего подобного	1	1
231	за пределы	2	1
232	в нем	16	1
233	и так	1	1
234	в ней	4	1
235	того как	1	1
236	и прежде	2	1
237	это в	1	1
238	значительной мере	1	1
239	далеко не	1	1
240	то есть	24	1
241	он уже	1	1
242	он и	1	1
243	не вполне	1	1
244	в отдельности	1	1
245	они в	1	1
246	не самый	1	1
247	их в	2	1
248	в последние	1	1
249	ее как	1	1
250	в своем	5	1
251	в данном	3	1
252	он успел	1	1
