N	3gram	Medvedev_S_1	VLabPisa
1	по отношению к	2	7
2	то же время	1	5
3	в конечном счете	1	5
4	в то же	1	5
5	не было бы	1	4
6	в связи с	1	4
7	в том что	2	4
8	о том как	1	3
9	и в то	1	3
10	в этой области	1	3
11	это и есть	1	3
12	не может не	1	2
13	чуть ли не	1	2
14	только то что	1	2
15	по крайней мере	1	2
16	с одной стороны	1	2
17	в конце концов	2	2
18	во всяком случае	1	2
19	прежде всего не	1	2
20	главным образом в	1	1
21	сама по себе	1	1
22	то что в	1	1
23	это вовсе не	1	1
24	что в них	1	1
25	в любой области	1	1
26	в противном случае	1	1
27	то же самое	1	1
28	не в том	2	1
29	а между тем	1	1
30	именно в том	1	1
31	а в том	1	1
32	по себе из	1	1
33	между собой не	1	1
34	дело не в	2	1
35	себе из себя	1	1
