N	4gram	Losev_Vlad_1	Psycholo
1	одной и той же	1	4
2	в том что в	2	2
3	в то время как	1	2
4	в то же время	4	2
5	и не может быть	1	1
6	ни в каком случае	1	1
7	одно и то же	1	1
8	к разного рода событиям	1	1
9	не что иное как	1	1
10	ему казалось что в	1	1
11	заключается в том чтобы	1	1
12	бы то ни было	1	1
13	каком случае не может	1	1
14	указанием на то что	1	1
15	и в том что	1	1
16	с его точки зрения	2	1
17	а с другой стороны	1	1
18	до тех пор пока	1	1
19	указывает на то что	1	1
20	в каком случае не	1	1
21	привело к тому что	1	1
22	разного рода событиям и	1	1
23	один и тот же	2	1
24	том что он не	1	1
25	есть не что иное	1	1
