N	3gram	Tiupa_Hudo_2	VelikijI
1	к тому что	4	3
2	а между тем	3	2
3	то что я	1	2
4	и над ними	1	2
5	которым можно было	1	2
6	в том что	11	2
7	и т д	2	2
8	но все же	1	1
9	то ни стало	1	1
10	во что бы	1	1
11	и то и	1	1
12	хотя бы и	2	1
13	бы то ни	1	1
14	человека в его	1	1
15	то и другое	1	1
16	и в жизни	1	1
17	что бы то	1	1
18	в духе так	1	1
19	и в этом	2	1
20	и не было	1	1
21	и не случайно	1	1
22	что я не	1	1
23	не можешь и	1	1
24	с другой стороны	1	1
25	как бы в	1	1
26	на этом пути	1	1
27	всего что было	1	1
28	в человеке и	1	1
29	после того как	1	1
30	о которой так	1	1
31	что нет у	1	1
32	как и в	3	1
33	в жизни и	1	1
