N	2gram	Losev_Vesc_1	Sovremen
1	таким образом	8	8
2	в результате	3	5
3	в этом	4	5
4	не может	17	5
5	мы можем	4	4
6	и наконец	1	4
7	мы не	6	4
8	как бы	12	4
9	все эти	3	3
10	и мы	1	3
11	мы получаем	1	3
12	не можем	1	3
13	зависимости от	1	3
14	состоит из	1	3
15	в зависимости	1	3
16	друг с	1	2
17	из этих	1	2
18	у нас	7	2
19	на этом	2	2
20	в одном	2	2
21	все же	4	2
22	и в	21	2
23	но в	5	2
24	мы должны	2	2
25	этих двух	2	2
26	же это	4	2
27	что же	8	2
28	в третьем	1	2
29	на этот	1	2
30	все это	5	2
31	в дальнейшем	1	2
32	в первом	2	2
33	с другом	1	2
34	на этой	1	2
35	тот же	3	2
36	если мы	8	2
37	и все	5	2
38	мы видели	1	2
39	прежде всего	9	2
40	не только	36	2
41	точки зрения	5	2
42	в виде	1	2
43	то же	6	2
44	из которых	1	2
45	мы получим	2	2
46	не в	5	2
47	с одной	3	2
48	при этом	1	2
49	мы видим	2	2
50	этой стадии	1	2
51	уже на	1	1
52	и не	29	1
53	но можно	1	1
54	как мы	4	1
55	а ту	1	1
56	может не	2	1
57	форма в	1	1
58	все время	1	1
59	мы имели	1	1
60	не дает	1	1
61	время из	1	1
62	это и	6	1
63	таким же	1	1
64	должны еще	1	1
65	поэтому в	1	1
66	энергия в	2	1
67	форму и	1	1
68	зрения и	2	1
69	мы будем	1	1
70	только одно	2	1
71	у всех	3	1
72	одном случае	1	1
73	их в	3	1
74	и составляет	1	1
75	можем иметь	2	1
76	а в	4	1
77	представление о	1	1
78	в то	3	1
79	в своих	1	1
80	со всеми	1	1
81	свою очередь	4	1
82	дело в	4	1
83	должен быть	2	1
84	с другой	6	1
85	в другом	2	1
86	можно назвать	1	1
87	отличие от	1	1
88	указать на	1	1
89	можем ли	1	1
90	и такие-то	1	1
91	как и	8	1
92	в которой	1	1
93	она не	4	1
94	еще не	8	1
95	независимо от	5	1
96	на их	2	1
97	бы к	1	1
98	жизни и	2	1
99	еще более	2	1
100	о том	6	1
101	того же	5	1
102	один из	3	1
103	его с	1	1
104	происходит это	1	1
105	с совершенно	1	1
106	и потому	5	1
107	же в	1	1
108	ничего не	3	1
109	между собой	1	1
110	для своего	1	1
111	так же	1	1
112	для нас	2	1
113	уже к	1	1
114	и у	3	1
115	что в	9	1
116	в один	1	1
117	ясно что	8	1
118	на это	4	1
119	в течение	1	1
120	результате мы	1	1
121	а не	19	1
122	реагирует на	1	1
123	или как	2	1
124	той же	2	1
125	между ними	3	1
126	может быть	16	1
127	видели что	1	1
128	только так	1	1
129	стороны и	2	1
130	видим что	1	1
131	а потом	2	1
132	все равно	2	1
133	а затем	2	1
134	мы имеем	7	1
135	себя самого	2	1
136	то чем	1	1
137	кроме того	4	1
138	она может	4	1
139	но еще	3	1
140	одну определенную	1	1
141	кто же	1	1
142	определенным образом	6	1
143	в том	8	1
144	же мы	1	1
145	из многих	1	1
146	это не	5	1
147	о принципиальной	1	1
148	это уже	1	1
149	уже в	1	1
150	конечно не	1	1
151	в себе	14	1
152	одной стороны	3	1
153	принципиально не	1	1
154	одна из	5	1
155	и даже	6	1
156	ли оно	1	1
157	и от	3	1
158	и значит	2	1
159	формы или	1	1
160	в этой	3	1
161	но это	10	1
162	так как	7	1
163	такие-то и	1	1
164	у него	2	1
165	по преимуществу	2	1
166	что это	13	1
167	теперь только	1	1
168	этот вопрос	1	1
169	же как	1	1
170	только одну	1	1
171	внешний и	1	1
172	ее отдельных	1	1
173	на части	1	1
174	в нем	2	1
175	значение в	1	1
176	перед глазами	1	1
177	не какая-нибудь	1	1
178	только одна	1	1
179	и к	1	1
180	же самое	1	1
181	и всегда	1	1
182	между двумя	1	1
183	и по	1	1
184	и следовательно	7	1
185	что эта	1	1
186	оно вообще	1	1
187	ли мы	2	1
188	и более	1	1
189	чем же	3	1
190	только к	2	1
191	в конце	2	1
192	конечно для	1	1
193	в свою	4	1
194	жизни мы	2	1
195	теперь же	2	1
196	том что	8	1
197	от другого	1	1
198	в своем	6	1
199	в отличие	1	1
200	и будет	1	1
