1	в том что	7	13
2	с одной стороны	1	9
3	о том что	7	5
4	к тому же	2	4
5	то же время	4	4
6	а с другой	1	3
7	не может быть	3	3
8	в то же	4	3
9	в свою очередь	1	3
10	с другой стороны	3	3
11	не приходится удивляться	1	2
12	и в особенности	1	2
13	не только в	2	2
14	говоря уже о	1	2
15	в том чтобы	2	2
16	не говоря уже	1	2
17	том что в	3	2
18	но отнюдь не	1	2
19	что же касается	4	2
20	более или менее	3	2
21	а в том	1	2
22	можно сказать что	2	2
23	мы имеем дело	1	2
24	в целом и	1	1
25	имеем дело с	1	1
26	в себе не	1	1
27	и потому что	3	1
28	дело в том	4	1
29	содержит в себе	1	1
30	хотя бы на	1	1
31	в этом смысле	4	1
32	так и в	1	1
33	приходится удивляться что	1	1
34	что не только	1	1
35	также и в	1	1
36	как раз и	2	1
37	о чем не	1	1
38	во всяком случае	2	1
39	что он не	3	1
40	тем не менее	2	1
41	в связи с	1	1
42	нет и не	1	1
43	лицом к лицу	1	1
44	и в то	2	1
45	в известной степени	1	1
46	к разного рода	1	1
47	в свое время	5	1
48	вместе с тем	1	1
49	в котором он	1	1
50	потому что в	1	1
51	в этом отношении	1	1
52	в которой он	1	1
53	до настоящего времени	1	1
54	к этому времени	2	1
55	одно и то	1	1
56	для своего времени	2	1
57	то чего не	1	1
58	заключать в себе	1	1
59	и не может	1	1
60	и в том	1	1
61	том что он	2	1
62	там же с	10	1
63	дело не в	1	1
64	и вообще в	1	1
65	на то что	4	1
66	это и есть	1	1
67	в этом же	1	1
68	же время и	1	1
69	заключается в том	1	1
70	только то что	1	1
71	и то же	1	1
72	свидетельствует о том	1	1
