N	3gram	Bakhtin_Fr_4	NovoeSre
1	не может быть	1	4
2	подобно тому как	3	3
3	со всех сторон	1	3
4	лицом к лицу	1	3
5	большую роль в	1	2
6	в нем нет	1	2
7	с одной стороны	2	2
8	это не значит	1	2
9	с другой стороны	3	2
10	и того же	1	1
11	то время как	1	1
12	и до сих	1	1
13	одного и того	1	1
14	в том числе	3	1
15	до сих пор	1	1
16	и не может	1	1
17	в эту эпоху	1	1
18	том случае если	1	1
19	в отличие от	1	1
20	но и в	3	1
21	том числе и	2	1
22	писатели и философы	1	1
23	в том случае	1	1
24	не только в	2	1
25	и преображен в	1	1
26	по природе своей	1	1
27	к одному из	1	1
28	это конечно не	2	1
29	о том что	2	1
30	в то время	2	1
31	ни в чем	1	1
32	это и есть	3	1
33	место в жизни	1	1
34	и все они	1	1
35	в этой системе	3	1
36	как будто не	1	1
37	не может когда	1	1
38	в большинстве случаев	5	1
39	старого мира и	2	1
40	в том что	1	1
