N	2gram	Tiupa_Anal_1	Russkaja
1	не может	22	22
2	и не	21	19
3	в том	27	17
4	в этом	13	17
5	и в	18	14
6	с другом	1	14
7	друг с	1	14
8	то что	6	13
9	самим собой	2	12
10	то же	9	11
11	точки зрения	6	11
12	таким образом	3	11
13	в то	9	10
14	же время	6	10
15	но и	17	10
16	в себе	11	9
17	не только	15	9
18	том что	12	9
19	с точки	4	9
20	может быть	29	9
21	во всяком	1	9
22	того чтобы	3	8
23	прежде всего	6	8
24	самом деле	2	7
25	отнюдь не	15	7
26	и с	2	7
27	в данном	2	7
28	к тому	7	7
29	не будет	3	7
30	о том	5	7
31	мы должны	1	7
32	к которой	1	6
33	если в	3	6
34	и к	3	6
35	с тем	1	6
36	в своих	1	6
37	и при	1	6
38	если бы	3	6
39	и для	1	6
40	для того	4	6
41	что он	3	6
42	всяком случае	1	6
43	для всех	1	6
44	для него	2	6
45	на самом	2	6
46	вопрос о	2	5
47	и на	5	5
48	между собой	2	5
49	во всех	1	5
50	в нем	3	5
51	при этом	12	5
52	он не	3	5
53	было бы	2	5
54	в своей	6	5
55	никогда не	2	5
56	потому что	2	5
57	лишь при	4	5
58	между тем	5	5
59	и только	1	5
60	только в	6	5
61	хотя бы	3	5
62	в последние	1	5
63	или иной	6	5
64	до сих	1	5
65	себя и	4	5
66	из которых	4	5
67	сих пор	1	5
68	а в	9	5
69	жизни в	1	5
70	и то	2	4
71	бы то	3	4
72	но не	10	4
73	себя в	6	4
74	все же	4	4
75	более или	1	4
76	не в	14	4
77	в этой	5	4
78	то ни	3	4
79	том случае	1	4
80	его в	1	4
81	как и	13	4
82	или менее	1	4
83	в их	5	4
84	точку зрения	1	4
85	тогда когда	2	4
86	во всем	1	4
87	не могут	3	4
88	в мире	8	4
89	и т.д	1	4
90	в его	13	4
91	так как	2	4
92	со стороны	2	4
93	вместе с	4	4
94	что же	2	4
95	как бы	5	4
96	возможно лишь	1	4
97	жизни и	1	4
98	что в	5	4
99	все что	1	4
100	и т	3	3
101	то в	2	3
102	еще не	3	3
103	он сам	1	3
104	из этих	2	3
105	в самом	6	3
106	что это	1	3
107	на том	1	3
108	и по	2	3
109	в другом	4	3
110	лишь в	5	3
111	для них	1	3
112	несмотря на	2	3
113	должно быть	2	3
114	всех этих	1	3
115	таким же	1	3
116	том чтобы	7	3
117	одна из	1	3
118	связи с	1	3
119	в сознании	2	3
120	что оно	1	3
121	той или	6	3
122	что все	1	3
123	данном случае	2	3
124	может только	1	3
125	что может	1	3
126	собой и	1	3
127	для этого	2	3
