N	3gram	Medvedev_F_1	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	4	7
3	с точки зрения	13	6
4	во всяком случае	4	6
5	более или менее	6	5
6	в том числе	1	5
7	до сих пор	6	5
8	том числе и	1	4
9	но все же	1	4
10	так или иначе	1	3
11	так же как	1	3
12	в связи с	2	3
13	тем не менее	1	3
14	в том что	1	3
15	в этом отношении	1	2
16	с этой точки	1	2
17	может быть и	3	2
18	то ни было	1	2
19	по сравнению с	1	2
20	бы то ни	3	2
21	так и от	1	2
22	но вместе с	1	2
23	между этими двумя	1	2
24	то же время	8	2
25	ничего общего с	1	2
26	этой точки зрения	1	2
27	с самого начала	1	2
28	в то же	8	2
29	и в этом	2	2
30	не может не	1	1
31	и в общем	1	1
32	в широком смысле	1	1
33	состоит в том	1	1
34	без остатка в	1	1
35	по отношению к	4	1
36	в настоящее время	10	1
37	для этого в	1	1
38	и в то	1	1
39	сами по себе	2	1
40	и конечно не	1	1
41	но для этого	1	1
42	при этом не	1	1
43	в то что	1	1
44	и требует от	1	1
45	а отчасти и	2	1
46	в данном случае	1	1
47	из себя как	1	1
48	и действительно если	1	1
49	но в то	2	1
50	смысле этого слова	3	1
51	в отличие от	1	1
52	а не как	1	1
53	все более и	2	1
54	в смысле общего	1	1
55	до настоящего времени	2	1
56	что касается до	1	1
57	с другой стороны	1	1
58	в эту сторону	1	1
59	но не с	1	1
60	культуры и здесь	1	1
61	не может быть	5	1
62	может и не	1	1
63	так и в	4	1
64	сменяют друг друга	2	1
65	в свою очередь	6	1
66	не только не	2	1
67	более и более	2	1
68	что связано с	1	1
69	именно в эту	1	1
70	в этой роли	1	1
71	его с другими	1	1
72	мы видим что	1	1
73	может показаться что	1	1
74	в своем целом	2	1
75	лишь в этом	1	1
76	а с точки	1	1
77	что и в	1	1
78	в этом процессе	2	1
79	и здесь не	1	1
80	так обстоит дело	1	1
