N	3gram	Vygotskiy__2	Morfolog
1	и т д	2	47
2	в этом случае	1	9
3	мы видим что	2	9
4	в связи с	1	8
5	не может быть	8	8
6	подобно тому как	2	5
7	связи с этим	1	5
8	с точки зрения	10	4
9	с другой стороны	2	4
10	тем не менее	4	4
11	в первом случае	1	3
12	если мы не	1	3
13	не могут быть	1	3
14	на самом деле	5	3
15	как и в	2	3
16	состоит в том	2	2
17	мы не сумеем	1	2
18	более или менее	1	2
19	точно так же	3	2
20	и в других	1	2
21	то время как	2	2
22	с одной стороны	1	2
23	и таким образом	2	2
24	с того что	1	2
25	в то время	3	2
26	не значит что	1	2
27	должны рассматриваться как	1	2
28	для того чтобы	13	2
29	в том что	17	2
30	и может быть	1	1
31	бросается в глаза	1	1
32	которые не могут	1	1
33	по существу и	1	1
34	то ни стало	1	1
35	может быть сделано	1	1
36	то это значит	1	1
37	с тем как	1	1
38	это было бы	2	1
39	он может быть	1	1
40	мы опять имеем	1	1
41	том что он	3	1
42	о том как	1	1
43	что иное как	1	1
44	что же касается	1	1
45	и там где	1	1
46	то прежде всего	1	1
47	во что бы	1	1
48	следующим образом если	1	1
49	до сих пор	5	1
50	тем что она	1	1
51	в таком случае	1	1
52	том случае если	4	1
53	бы то ни	2	1
54	два раза в	1	1
55	можно было бы	4	1
56	в противном случае	1	1
57	в наши дни	1	1
58	не то что	1	1
59	в том случае	4	1
60	они все же	1	1
61	точки зрения их	1	1
62	одно и то	1	1
63	в данном случае	4	1
64	что бы то	1	1
65	на этот вопрос	2	1
66	в первый раз	2	1
67	с другими формами	1	1
68	на этом основании	1	1
69	и то же	1	1
70	в том порядке	2	1
71	может быть дано	2	1
72	т д с	1	1
73	все более и	2	1
74	во всяком случае	2	1
75	порядке в каком	1	1
76	что далеко не	1	1
77	но так как	2	1
78	вместо того чтобы	1	1
79	не имеет ничего	1	1
80	и по этим	1	1
81	в глаза что	1	1
82	есть не что	1	1
83	то же время	2	1
84	в одном случае	1	1
85	а и в	1	1
86	мы имеем в	1	1
87	те или иные	1	1
88	о том что	4	1
89	и что следовательно	1	1
90	с самого начала	1	1
91	это значит что	2	1
92	то же с	1	1
93	он не может	2	1
94	том порядке в	1	1
95	можно сказать что	1	1
96	на то что	6	1
97	которые могут быть	1	1
98	за тридевять земель	1	1
99	в другом случае	1	1
100	в то же	2	1
101	более и более	2	1
102	к тому что	2	1
103	не что иное	1	1
104	может быть объяснено	1	1
105	друг с другом	1	1
106	то что они	1	1
107	что и в	3	1
108	каким способом они	1	1
109	того или другого	1	1
