N	2gram	Losev_Dial_2	OGranits
1	и в	19	13
2	и его	5	12
3	прежде всего	8	9
4	может быть	20	8
5	не может	9	8
6	и не	30	8
7	в его	1	7
8	и их	3	7
9	и пр	5	7
10	точки зрения	12	7
11	только в	5	6
12	как бы	14	6
13	не только	19	6
14	то что	14	6
15	мы должны	2	6
16	таким образом	4	6
17	все же	4	5
18	но ведь	2	5
19	в поэзии	7	5
20	с точки	8	5
21	хотя бы	4	5
22	и эта	1	5
23	мы не	1	4
24	но мы	2	4
25	тех пор	3	4
26	еще и	1	4
27	но в	2	4
28	до тех	1	4
29	мы можем	1	4
30	то же	12	4
31	в своей	8	4
32	было бы	3	4
33	все это	4	4
34	только и	2	4
35	вполне понятно	1	4
36	в каждом	2	4
37	связана с	2	3
38	и то	7	3
39	в ее	4	3
40	самом деле	4	3
41	так и	10	3
42	понятно что	2	3
43	говорить о	5	3
44	в их	2	3
45	пор пока	1	3
46	за пределы	4	3
47	только путем	1	3
48	тела и	5	3
49	общего с	1	3
50	с этим	3	3
51	в которой	2	3
52	в себе	15	3
53	не как	2	3
54	в одном	4	3
55	так как	14	3
56	одно и	4	3
57	но и	12	3
58	как и	10	3
59	и уже	3	3
60	я хочу	1	3
61	что же	2	3
62	не в	8	3
63	да и	6	3
64	есть прежде	1	3
65	но для	1	3
66	никогда не	9	3
67	и все	12	3
68	превращается в	1	3
69	что в	7	3
70	в искусстве	2	3
71	поставить вопрос	1	3
72	смысле слова	1	2
73	и др	1	2
74	данном случае	2	2
75	зависимости от	2	2
76	только его	1	2
77	и может	6	2
78	мы уже	8	2
79	те же	1	2
80	есть не	7	2
81	мог бы	1	2
82	подойти к	1	2
83	что иное	3	2
84	иное как	3	2
85	не что	3	2
86	с самого	2	2
87	и должно	2	2
88	в ней	2	2
89	ее в	2	2
90	в чем	3	2
91	вне всякой	1	2
92	мы понимаем	1	2
93	между тем	2	2
94	явлений и	2	2
95	в общем	2	2
96	нуждается в	3	2
97	во всей	1	2
98	что они	6	2
99	наконец в	1	2
100	к сожалению	2	2
101	и следовательно	5	2
102	может иметь	3	2
103	его на	1	2
104	как в	2	2
105	в которую	1	2
106	в данном	3	2
107	в этом	8	2
108	в том	14	2
109	мы видим	2	2
110	тот же	1	2
111	с ними	2	2
112	или иного	1	2
113	с г	1	2
114	от этого	3	2
115	и отчасти	1	2
116	во времени	4	2
117	в целом	1	2
118	и тем	1	2
119	все эти	2	2
120	с одной	2	2
121	уже в	4	2
122	мы получим	1	2
123	в нем	10	2
124	связанные с	1	2
125	при этом	4	2
126	в другом	4	2
127	вовсе не	13	2
128	в зависимости	2	2
129	тем что	2	2
130	в них	1	2
131	в области	2	2
132	с другой	5	2
133	всей своей	1	2
134	в самом	5	2
135	того или	2	2
136	может стать	1	2
137	одной стороны	1	2
138	он только	1	2
139	не на	2	2
140	а не	16	2
141	другой стороны	4	2
142	в руках	1	2
143	между собою	3	2
144	представляет себе	1	2
145	там где	1	2
146	несмотря на	2	2
147	в связи	4	2
148	том что	10	2
149	и истории	1	2
150	и при	2	2
151	и ее	1	2
152	так же	2	2
153	телом и	1	2
154	который мы	1	2
155	в тех	2	2
156	с этой	1	2
157	слова и	1	2
158	не менее	3	2
159	что эта	1	2
