N	2gram	Medvedev_F_1	DiskursI
1	не только	7	28
2	в том	6	23
3	а не	10	22
4	тогда как	1	19
5	том что	1	19
6	может быть	14	17
7	как и	11	16
8	и в	24	16
9	в этом	15	15
10	еще не	6	14
11	но и	7	14
12	при этом	5	13
13	по своей	1	11
14	но не	3	11
15	прежде всего	22	11
16	и не	20	11
17	как в	8	10
18	далеко не	1	10
19	с другой	5	10
20	по отношению	4	9
21	в нем	14	9
22	не может	16	9
23	состоит в	1	9
24	с одной	4	9
25	одной стороны	4	9
26	в частности	4	9
27	отношению к	4	9
28	отнюдь не	6	8
29	но в	5	8
30	своего рода	1	8
31	так и	18	8
32	а также	1	8
33	не было	3	7
34	в себе	3	7
35	то же	10	7
36	не в	8	7
37	в основе	3	7
38	роль в	1	7
39	со стороны	5	7
40	в его	23	7
41	только в	2	7
42	в своем	11	6
43	и как	3	6
44	ни к	1	6
45	в составе	1	5
46	и на	8	5
47	во всех	5	5
48	отличие от	1	5
49	в силу	1	5
50	в котором	1	5
51	в их	11	5
52	в отличие	1	5
53	в процессе	9	5
54	сводится к	3	5
55	по природе	1	5
56	или иной	1	5
57	можно сказать	1	5
58	данного жанра	1	5
59	а с	1	5
60	в данном	1	5
61	как бы	6	5
62	к тому	3	5
63	а в	6	5
64	то что	8	5
65	в своей	11	5
66	и о	1	4
67	с его	4	4
68	в сторону	1	4
69	отношение к	3	4
70	в истории	4	4
71	и к	4	4
72	уже не	2	4
73	в целом	6	4
74	на его	2	4
75	не как	4	4
76	лишь в	8	4
77	в них	3	4
78	потому что	1	4
79	могут быть	1	4
80	же время	8	4
81	между тем	2	4
82	одной из	2	4
83	что он	3	4
84	для него	3	4
85	в особенности	3	4
86	что не	1	4
87	связи с	3	4
88	не является	1	4
89	что в	4	4
90	также и	1	3
91	и потому	9	3
92	в первом	1	3
93	в каждой	1	3
94	с этим	2	3
95	перед нами	1	3
96	в самом	5	3
97	заключается в	1	3
98	это не	2	3
99	точки зрения	16	3
100	в своих	2	3
101	бы быть	2	3
102	по себе	5	3
103	в то	9	3
104	таким образом	13	3
105	должны быть	5	3
106	они и	1	3
107	в строгом	2	3
108	свою очередь	6	3
109	в ее	8	3
110	в произведении	2	3
111	не с	2	3
112	еще в	2	3
113	и даже	3	3
114	или на	2	3
115	что и	2	3
116	не сводится	2	3
117	в лингвистике	1	3
118	хотя бы	5	3
119	в данной	1	3
120	из них	1	3
121	именно в	8	3
122	себе не	1	3
123	мира в	2	3
124	к содержанию	1	3
125	неотделимо от	1	3
126	по своему	1	3
127	того что	5	3
128	один из	3	3
129	все же	3	3
130	литературного произведения	4	3
131	в свою	8	3
132	сказать что	1	3
133	другой стороны	1	3
134	в действительности	2	3
135	это понятие	1	3
136	отношения к	6	2
137	например в	1	2
138	и есть	1	2
139	едва ли	1	2
140	в году	2	2
141	на себя	1	2
142	ему в	1	2
143	общения в	1	2
144	между собой	1	2
145	влияния на	2	2
146	в различных	2	2
147	за пределы	2	2
148	себя в	1	2
149	опирается на	1	2
150	стороны и	4	2
151	как к	3	2
152	что касается	1	2
153	хотя и	1	2
154	когда он	3	2
155	целый ряд	3	2
156	с понятием	1	2
157	более или	6	2
158	не приходится	2	2
159	в этой	6	2
160	эпохи и	2	2
161	так сказать	3	2
162	к искусству	1	2
163	не следует	1	2
164	ей в	1	2
165	определенной жанровой	1	2
166	становления и	3	2
167	том чтобы	2	2
168	этого жанра	1	2
169	и по	1	2
170	на этом	1	2
171	так например	3	2
172	в каждом	3	2
173	могла бы	2	2
174	не сможет	2	2
175	того или	2	2
176	и тем	1	2
177	или менее	6	2
178	в г	1	2
179	и без	1	2
180	о литературе	6	2
181	не от	2	2
182	направлен на	1	2
183	возможно только	1	2
184	не менее	11	2
185	текста и	1	2
186	в науке	2	2
187	внутренней речи	1	2
188	не могло	5	2
189	а о	1	2
190	своей природе	1	2
191	х годов	1	2
192	и его	10	2
193	науке о	1	2
194	однако это	1	2
195	уже о	1	2
196	его понимании	1	2
197	отличается от	3	2
198	числе и	1	2
199	не есть	2	2
200	оно не	4	2
201	как мы	5	2
202	с ее	7	2
203	говоря уже	1	2
204	данном случае	1	2
205	языка и	1	2
206	характер и	1	2
207	что делает	1	2
208	в пределах	6	2
209	приводит к	2	2
210	и иные	1	2
211	в другом	1	2
212	было в	1	2
213	с литературными	1	2
214	но отнюдь	1	2
215	во всяком	4	2
216	и что	2	2
217	одного из	1	2
218	и требует	1	2
219	и во	1	2
220	в форме	1	2
221	представления о	1	2
222	в литературе	5	2
223	и ее	10	2
224	точка зрения	2	2
225	в литературоведении	3	2
226	тот или	2	2
227	литературы в	8	2
228	или даже	1	2
229	и понимание	1	2
