N	2gram	Propp_Russ_2	Morfolog
1	может быть	13	52
2	и т	5	49
3	т д	5	47
4	и пр	2	40
5	таким образом	6	20
6	в сказке	1	19
7	представляет собой	2	17
8	не может	5	17
9	в этих	3	16
10	т е	24	16
11	могут быть	2	15
12	этих случаях	4	14
13	с этим	2	14
14	и в	29	13
15	в этом	11	13
16	так как	13	12
17	и др	1	12
18	перед нами	1	11
19	связи с	2	11
20	чаще всего	1	11
21	заметить что	2	10
22	представляют собой	7	10
23	то же	4	9
24	мы имеем	6	9
25	так и	1	9
26	этом случае	6	9
27	не всегда	3	9
28	прежде всего	2	9
29	а не	4	9
30	и не	1	9
31	а затем	4	8
32	при помощи	1	8
33	что и	2	8
34	с другой	2	8
35	по существу	4	8
36	вопрос о	4	7
37	в лес	3	7
38	и этим	1	7
39	или же	5	7
40	в качестве	3	7
41	в тех	1	7
42	все же	2	7
43	но если	3	7
44	этот случай	1	6
45	но не	5	6
46	это не	5	6
47	во время	12	6
48	подобно тому	3	6
49	и здесь	1	6
50	а также	4	6
51	в форме	2	6
52	в том	22	6
53	а в	9	6
54	мы не	6	5
55	во всех	3	5
56	не все	4	5
57	тому как	3	5
58	то что	5	5
59	в образе	2	5
60	далеко не	4	5
61	не менее	2	5
62	потому что	5	5
63	в поле	19	5
64	или в	7	5
65	этот момент	1	5
66	один из	2	5
67	мы увидим	1	5
68	сюда же	2	5
69	как бы	18	5
70	на коне	1	5
71	можно наблюдать	1	5
72	и другие	14	5
73	показать что	1	4
74	то это	1	4
75	что его	1	4
76	если в	1	4
77	как в	7	4
78	хотя и	1	4
79	и как	2	4
80	ни одна	1	4
81	не только	10	4
82	на этом	3	4
83	следующим образом	5	4
84	об этом	2	4
85	его в	8	4
86	было бы	3	4
87	как и	11	4
88	несмотря на	1	4
89	тем не	2	4
90	ничего не	1	4
91	тем что	3	4
92	в других	15	4
93	наблюдать что	1	4
94	как мы	3	4
95	могла бы	1	4
96	раньше чем	1	4
97	видно что	2	4
98	случае не	1	4
99	и затем	1	4
100	в некоторых	9	4
101	другой стороны	1	4
102	там где	2	4
103	так же	4	4
104	в иных	1	4
105	на пути	1	4
106	в точности	1	4
107	что в	22	4
108	на самом	2	3
109	вне связи	1	3
110	и для	2	3
111	между собой	2	3
112	независимо от	1	3
113	но в	5	3
114	в пределах	1	3
115	он должен	1	3
116	и по	3	3
117	но все	1	3
118	а по	1	3
119	входит в	1	3
120	из них	4	3
121	том что	22	3
122	отправляется в	2	3
123	в то	2	3
124	на него	1	3
125	того чтобы	6	3
126	и другим	1	3
127	на нем	1	3
128	с собой	1	3
129	если бы	1	3
130	с того	1	3
131	но и	8	3
132	к нему	4	3
133	в какой	1	3
134	и ее	2	3
135	рассматриваться как	2	3
136	их по	3	3
137	друг друга	3	3
138	в руки	2	3
139	не является	1	3
140	что они	1	3
141	для этой	3	3
142	из которых	2	3
143	но это	1	3
144	кроме того	2	3
145	и вызывает	1	3
146	мы должны	1	3
147	только что	1	3
148	же в	6	3
149	ее по	1	3
150	обычно в	1	2
151	как это	4	2
152	относятся к	1	2
153	пойти в	1	2
154	что эти	1	2
155	отсюда видно	1	2
156	время как	1	2
157	совсем не	2	2
158	а с	2	2
159	иные формы	1	2
160	и таким	1	2
161	первый взгляд	1	2
162	если она	2	2
163	тех случаях	1	2
164	как уже	2	2
165	более или	1	2
166	животных и	1	2
167	та же	2	2
168	другие элементы	1	2
169	здесь имеется	1	2
170	право на	2	2
171	состоит в	15	2
172	в сад	1	2
173	в нее	1	2
174	можно было	2	2
175	и за	1	2
176	многих других	1	2
177	в другом	1	2
178	мы уже	1	2
179	за ней	1	2
180	оно как	2	2
181	то как	1	2
182	с тем	6	2
183	три ночи	1	2
184	и тогда	1	2
185	на первый	3	2
186	или менее	1	2
187	для него	1	2
188	и при	2	2
189	другой вопрос	1	2
190	на берег	2	2
191	настоящее время	1	2
192	и более	1	2
193	однако в	1	2
194	а а	8	2
195	таких случаев	1	2
196	все эти	3	2
197	в таких	3	2
198	что эта	1	2
199	эти формы	1	2
200	не имеет	3	2
201	одна из	11	2
202	и его	1	2
203	так например	1	2
204	ином царстве	1	2
205	к себе	1	2
206	для того	6	2
207	оно не	1	2
208	вывод что	2	2
209	здесь не	1	2
210	в в	1	2
211	можно показать	1	2
212	то время	2	2
213	и что	5	2
214	не с	2	2
215	с этого	1	2
216	не сообщает	1	2
217	означает что	1	2
218	случай встречается	1	2
219	о том	9	2
220	же происходит	1	2
221	с одной	2	2
222	можно сказать	1	2
223	в различных	1	2
224	может не	1	2
225	из дому	1	2
226	дома в	1	2
227	того что	3	2
228	же можно	1	2
229	как например	3	2
230	быть и	1	2
231	к различным	1	2
232	идет по	1	2
233	на другие	1	2
234	этот вопрос	2	2
235	что он	1	2
236	только в	1	2
237	можно установить	1	2
238	тем временем	1	2
239	уже не	4	2
240	или на	8	2
241	вопроса о	1	2
242	в большинстве	1	2
243	или не	1	2
244	в виде	4	2
245	от других	1	2
246	или просто	2	2
247	носит характер	1	2
248	должны будем	1	2
249	обратно и	1	2
250	без всякой	1	2
251	живой и	1	2
252	но есть	1	2
253	а на	9	2
254	сказать что	1	2
255	ниже в	2	2
256	в лесу	10	2
257	как эти	1	2
258	исходит от	1	2
259	или по	1	2
260	одной стороны	2	2
261	есть и	1	2
262	или с	3	2
263	их на	1	2
264	случаях когда	1	2
265	тем и	2	2
266	сразу же	2	2
267	в настоящее	1	2
268	от него	1	2
269	не от	1	2
270	например на	1	2
271	как за	1	2
272	к этому	5	2
273	после чего	2	2
274	равным образом	1	1
275	они представляют	2	1
276	вопрос мы	1	1
277	например в	1	1
278	и то	2	1
279	он показывает	2	1
280	он может	1	1
281	применении к	1	1
282	многих отношениях	1	1
283	говорилось выше	1	1
284	собой смерть	1	1
285	верхом на	2	1
286	из воды	5	1
287	г в	1	1
288	очень широко	1	1
289	эту же	1	1
290	она в	1	1
291	и была	1	1
292	на дерево	1	1
293	религии в	1	1
294	так чтобы	2	1
295	но она	2	1
296	что это	3	1
297	что иное	2	1
298	на воду	1	1
299	не совсем	2	1
300	в виду	2	1
301	кто же	1	1
302	может дать	1	1
303	он был	1	1
304	тем как	1	1
305	там и	2	1
306	или во	1	1
307	подобной же	1	1
308	наблюдение что	1	1
309	явлений и	1	1
310	и сл	4	1
311	не входит	1	1
312	значение и	1	1
313	а он	2	1
314	ответ на	1	1
315	тогда как	2	1
316	отношение к	1	1
317	отличие от	3	1
318	может произойти	1	1
319	во что	1	1
320	тем больше	1	1
321	имеют целью	1	1
322	бы пойти	1	1
323	или дерева	2	1
324	почему при	1	1
325	нашу задачу	1	1
326	поется песня	1	1
327	что ее	3	1
328	что касается	1	1
329	в противном	1	1
330	и наконец	1	1
331	земле или	1	1
332	по пути	1	1
333	но эта	1	1
334	его к	1	1
335	девушка или	1	1
336	этой цели	2	1
337	в этот	10	1
338	следует остановиться	1	1
339	не связаны	1	1
340	его убивают	1	1
341	в которой	2	1
342	из этих	2	1
343	что так	1	1
344	не в	4	1
345	в этой	3	1
346	рассказ о	1	1
347	идут в	2	1
348	различных народов	1	1
349	остановиться на	1	1
350	во многих	9	1
351	мнение что	2	1
352	на то	1	1
353	вообще не	1	1
354	что она	3	1
355	главным образом	3	1
356	приведенные наблюдения	1	1
357	за тридевять	1	1
358	всех этих	1	1
359	многое но	1	1
360	необходимо для	1	1
361	быть поставлен	1	1
362	несколько ниже	1	1
363	по его	1	1
364	здесь мы	2	1
365	однако все	1	1
366	связанные с	2	1
367	или ее	3	1
368	правильнее было	1	1
369	на все	1	1
370	к заключению	1	1
371	тридевять земель	1	1
372	те или	1	1
373	с другими	3	1
374	три дня	1	1
375	от одного	1	1
376	и отдельные	1	1
377	и дает	1	1
378	они по	1	1
379	из первых	1	1
380	в это	1	1
381	по всему	1	1
382	из нее	2	1
383	нет в	1	1
384	превращаются в	1	1
385	д к	3	1
386	церковь и	3	1
387	сказки о	2	1
388	это сходство	1	1
389	также с	1	1
390	чем в	2	1
391	многие другие	2	1
392	этим в	1	1
393	в научной	1	1
394	и становится	1	1
395	имен и	1	1
396	том как	1	1
397	при изучении	1	1
398	или точнее	1	1
399	этой связи	1	1
400	как все	1	1
401	в их	2	1
402	этому же	1	1
403	не столько	2	1
404	в первый	1	1
405	явлений относится	1	1
406	могло бы	1	1
407	из земли	4	1
408	помощь и	1	1
409	сл в	1	1
410	которые в	1	1
411	такую же	1	1
412	при этом	6	1
413	свет на	1	1
414	но он	3	1
415	земле и	4	1
416	вторичное образование	1	1
417	силу и	2	1
418	делать не	1	1
419	все это	10	1
420	возвращается к	1	1
421	и очень	1	1
422	она не	3	1
423	некоторых случаях	1	1
424	стоит в	1	1
425	что с	2	1
426	принадлежат к	2	1
427	того как	2	1
428	или другие	1	1
429	и притом	1	1
430	в основе	1	1
431	как его	1	1
432	не вызывает	1	1
433	дело не	2	1
434	иметь в	1	1
435	вытекает из	1	1
436	на землю	3	1
437	с религией	2	1
438	в другую	1	1
439	как таковых	1	1
440	вперед и	1	1
441	как на	1	1
442	по земле	2	1
443	же он	1	1
444	на горе	1	1
445	е не	1	1
446	одним из	2	1
447	у нас	4	1
448	такие же	3	1
449	к таким	2	1
450	в коем	1	1
451	он называет	1	1
452	в момент	2	1
453	если он	2	1
454	в сказках	1	1
455	на улицу	2	1
456	все еще	1	1
457	что при	2	1
458	только одну	2	1
459	ничего общего	1	1
460	в применении	1	1
461	где есть	3	1
462	на праздник	1	1
463	в деревне	6	1
464	убиение и	1	1
465	сравнение этих	1	1
466	и многие	2	1
467	без всякого	1	1
468	затем они	1	1
469	данном случае	7	1
470	нужно заметить	1	1
471	д с	1	1
472	что подобные	1	1
473	ряду с	1	1
474	приводит к	1	1
475	на основании	1	1
476	в глаза	2	1
477	здесь нет	1	1
478	мог бы	1	1
479	домой и	1	1
480	еще в	2	1
481	когда в	1	1
482	и с	10	1
483	что от	3	1
484	но иногда	1	1
485	находится в	1	1
486	иное как	2	1
487	точного описания	1	1
488	хлеба в	1	1
489	на гору	1	1
490	то они	1	1
491	случаев когда	1	1
492	там же	12	1
493	того или	1	1
494	их в	4	1
495	в приведенных	2	1
496	выбор и	1	1
497	большое количество	1	1
498	корабль с	1	1
499	за этим	2	1
500	в его	1	1
501	во всей	1	1
502	в другой	1	1
503	например кладутся	1	1
504	воды это	1	1
505	научной литературе	2	1
506	как объяснить	4	1
507	купаться и	1	1
508	если это	1	1
509	к ней	2	1
510	в него	2	1
511	но так	1	1
512	на которой	1	1
513	две формы	2	1
514	в новой	2	1
515	перескакивая через	1	1
516	с ними	1	1
517	ли он	1	1
518	или другого	1	1
519	говорить о	1	1
520	принимает форму	1	1
521	и действительно	1	1
522	очень много	1	1
523	верно и	1	1
524	который в	1	1
525	в эти	1	1
526	какой степени	1	1
527	же и	1	1
528	есть в	2	1
529	к земле	5	1
530	то их	1	1
531	и которая	1	1
532	по очереди	2	1
533	что делают	1	1
534	в данной	1	1
535	в борьбу	1	1
536	е на	1	1
537	за ним	3	1
538	их как	1	1
539	а и	2	1
540	не так	1	1
541	же они	1	1
542	всяком случае	1	1
543	в одном	1	1
544	домой с	1	1
545	ее не	1	1
546	поле или	1	1
547	как при	1	1
548	это по	1	1
549	происходит на	1	1
550	само собой	1	1
551	не противоречит	1	1
552	в особую	1	1
553	на открытом	1	1
554	он же	1	1
555	и целые	1	1
556	только на	1	1
557	она начинает	1	1
558	и даже	1	1
559	даже не	1	1
560	именно в	4	1
561	а именно	3	1
562	человека а	2	1
563	в церковь	2	1
564	показывает что	8	1
565	и несколько	1	1
566	возражений но	1	1
567	два случая	1	1
568	на русском	1	1
569	от другого	1	1
570	ей не	1	1
571	решить вопрос	2	1
572	такое которое	1	1
573	на которых	1	1
574	не на	1	1
575	они часто	1	1
576	на смерть	1	1
577	о чем	4	1
578	этом основании	1	1
579	нужно иметь	1	1
580	точности соответствует	1	1
581	могут рассматриваться	1	1
582	можно будет	2	1
583	других случаях	1	1
584	в одной	1	1
585	более широкого	1	1
586	сложное явление	1	1
587	на шею	2	1
588	по своему	1	1
589	предположить что	4	1
590	в данном	6	1
591	что за	1	1
592	не дают	1	1
593	на тот	1	1
594	в течение	2	1
595	раскладываются на	1	1
596	случае она	1	1
597	и там	3	1
598	заключению что	1	1
599	бы совсем	1	1
600	на некотором	2	1
601	свойства и	1	1
602	как будто	1	1
603	быть не	1	1
604	с этой	2	1
605	на другое	1	1
606	можно предположить	3	1
607	есть формы	2	1
608	обычно начинается	1	1
609	не будем	3	1
610	только для	1	1
611	все остальные	1	1
612	эти могут	1	1
613	из ряда	1	1
614	в полночь	1	1
615	на улице	1	1
616	но на	1	1
617	она может	1	1
618	не представляет	1	1
619	для нас	6	1
620	и все	4	1
621	его жизнь	1	1
622	или вообще	4	1
623	в круг	1	1
624	будет ниже	1	1
625	бросается в	2	1
626	которые таким	1	1
627	а н	3	1
628	имеет целью	2	1
629	и начинается	1	1
630	не будет	1	1
631	же относится	1	1
632	это на	1	1
633	нет но	1	1
634	и применение	1	1
635	всех других	1	1
636	одновременно и	1	1
637	не что	2	1
638	содержится в	1	1
639	этим объясняется	1	1
640	таким же	1	1
641	очень редко	1	1
642	и представляют	1	1
643	в таком	4	1
644	во всяком	1	1
