N	3gram	Berdyaev_V_1	Problemy
1	в том что	2	6
2	и в этом	1	5
3	в конце концов	1	5
4	том что он	2	4
5	с другой стороны	1	3
6	ивана карамазова и	1	3
7	но все же	1	2
8	для него не	1	2
9	хотя бы и	1	2
10	бы то ни	1	2
11	как бы в	1	2
12	так как не	2	2
13	в платоновском смысле	1	1
14	и есть то	1	1
15	его и не	1	1
16	то что я	2	1
17	то ни стало	1	1
18	во что бы	1	1
19	то и другое	1	1
20	хоть и не	1	1
21	я ничего не	1	1
22	и великого инквизитора	1	1
23	по крайней мере	1	1
24	по этому пути	2	1
25	раз и навсегда	1	1
26	есть то что	1	1
27	так и в	1	1
28	что бы то	1	1
29	его личности и	1	1
30	и что в	1	1
31	и нет этих	1	1
32	нет этих черт	1	1
33	того что он	1	1
34	в известном смысле	1	1
35	не могут быть	1	1
36	и менее всего	1	1
37	и во всяком	1	1
38	по сравнению с	1	1
39	великого инквизитора и	2	1
40	и никогда не	1	1
41	проявляется и в	1	1
42	менее всего можно	1	1
43	к тому что	3	1
44	и в форме	1	1
45	и т д	2	1
