N	2gram	Medvedev_F_1	Sotsiolo
1	истории литературы	12	10
2	все это	9	7
3	в том	6	5
4	в этом	15	5
5	развития литературы	1	4
6	метод в	4	4
7	социологический метод	5	4
8	имманентного изучения	1	3
9	для нас	1	3
10	не только	7	3
11	социологического метода	6	3
12	и в	24	3
13	но ведь	2	3
14	методологии истории	1	3
15	о литературе	6	3
16	не в	8	3
17	в его	23	3
18	за пределы	2	2
19	историка литературы	4	2
20	общих принципов	1	2
21	диалектический материализм	1	2
22	метод и	3	2
23	но и	7	2
24	было бы	6	2
25	к которому	2	2
26	исторической жизни	1	2
27	в смысле	1	2
28	исторического развития	1	2
29	должна быть	7	2
30	только в	2	2
31	по природе	1	2
32	далеко не	1	2
33	изучение литературы	1	2
34	в результате	2	2
35	в литературоведении	3	2
36	сакулина нет	1	2
37	тем более	1	2
38	законы развития	1	2
39	том что	1	2
40	в частности	4	2
41	идей и	1	2
42	то что	8	2
43	главным образом	4	2
44	или даже	1	2
45	и что	2	2
46	литературы и	2	2
47	еще не	6	2
48	только как	2	2
49	заключается что	1	2
50	таким образом	13	2
51	это и	3	2
52	отношению к	4	2
53	что в	4	2
54	может быть	14	2
55	как бы	6	2
56	по отношению	4	2
57	и заключается	2	2
58	по существу	2	2
59	то же	10	2
60	не из	4	1
61	друг от	2	1
62	стиля как	1	1
63	опираясь на	1	1
64	противном случае	1	1
65	нашей работы	3	1
66	наконец в	3	1
67	по себе	5	1
68	сама по	2	1
69	диалектического материализма	1	1
70	поэтической формы	1	1
71	так называемым	2	1
72	в мире	4	1
73	не должна	7	1
74	эти вопросы	1	1
75	в этой	6	1
76	тому что	1	1
77	жанр поэтическая	1	1
78	отнюдь не	6	1
79	более не	1	1
80	эти два	1	1
81	выходит за	1	1
82	формальным методом	2	1
83	даже не	1	1
84	живого становления	1	1
85	на все	3	1
86	системы как	1	1
87	с каким-либо	1	1
88	и самые	1	1
89	историко-литературной работы	1	1
90	с другой	5	1
91	ни одно	1	1
92	его в	3	1
93	литературы как	3	1
94	частности практикуются	1	1
95	художественных произведений	4	1
