N	3gram	Bakhtin_Pr_1	Komedia
1	в том что	7	9
2	с другой стороны	2	5
3	в то время	2	5
4	в одном из	2	4
5	в то же	7	4
6	в конце концов	4	4
7	то же время	7	4
8	то время как	1	4
9	том что он	4	4
10	о том что	2	3
11	по отношению к	11	3
12	в этом отношении	5	3
13	бы то ни	3	2
14	видеть в нем	1	2
15	именно потому что	2	2
16	до сих пор	2	2
17	или может быть	1	2
18	то ни было	2	2
19	то же самое	1	2
20	хоть и не	1	2
21	во всяком случае	3	2
22	можно говорить о	1	1
23	чтобы убедиться в	1	1
24	с самого начала	2	1
25	подобно тому как	3	1
26	так же как	1	1
27	и даже не	1	1
28	ни одной из	1	1
29	в трагедии в	1	1
30	ни в одном	1	1
31	для того чтобы	2	1
32	каждая из них	1	1
33	в той же	3	1
34	в его творчестве	2	1
35	к тому что	1	1
36	отсюда и его	1	1
37	в этот период	1	1
38	же как и	1	1
39	и не только	1	1
40	он может быть	2	1
41	этой точки зрения	1	1
42	но и не	2	1
43	в отношении к	1	1
44	не следует только	1	1
45	но он не	1	1
46	как мы уже	2	1
47	в значительной степени	1	1
48	не только в	1	1
49	как будто бы	1	1
50	и вот в	1	1
51	у него не	1	1
52	смысле этого слова	1	1
53	в его произведениях	2	1
54	один из любимейших	1	1
55	в зависимости от	3	1
56	за пределы одной	1	1
57	последнее слово в	1	1
58	ставит нас перед	1	1
59	в высшей степени	1	1
60	точек зрения на	1	1
61	в большинстве случаев	2	1
62	хотя и не	1	1
63	в отличие от	2	1
64	и на его	1	1
65	в данном случае	2	1
66	с этой точки	1	1
67	можно было бы	3	1
