N	3gram	Bakhtin_KF_1	Stilisti
1	в то же	2	9
2	то же время	2	7
3	для того чтобы	1	7
4	в зависимости от	1	7
5	того или иного	3	5
6	с точки зрения	9	5
7	мы никогда не	1	5
8	то же самое	1	4
9	той или иной	2	4
10	ту или иную	1	4
11	в свою очередь	1	4
12	и тем самым	1	3
13	но для того	1	3
14	на самом деле	3	3
15	то или иное	2	3
16	во всех своих	3	3
17	и содержание и	1	2
18	не должно быть	1	2
19	и в то	1	2
20	но в то	1	2
21	мы не имеем	1	2
22	равно как и	1	2
23	смысле этого слова	1	2
24	к тому что	1	2
25	мы будем говорить	1	2
26	и как бы	1	2
27	не было бы	3	2
28	в значительной степени	1	2
29	к чему не	2	2
30	и вследствие этого	1	2
31	в действительной жизни	1	2
32	вместе с тем	1	2
33	ни к чему	2	2
34	может быть понято	1	2
35	и т.п но	1	2
36	не может быть	11	2
37	и во всех	1	1
38	лишь при условии	1	1
39	мы не можем	1	1
40	и смысловой и	1	1
41	они находятся в	1	1
42	связанных с ними	1	1
43	и все же	1	1
44	в большинстве случаев	1	1
45	вопрос о том	2	1
46	из которых слагается	1	1
47	нужно помнить что	1	1
48	только тогда когда	1	1
49	это отнюдь не	1	1
50	и в этом	3	1
51	пространство и время	1	1
52	с нашей точки	1	1
53	ни на один	1	1
54	сознания как и	1	1
55	в каких бы	1	1
56	хотя бы только	1	1
57	хотя бы и	1	1
58	то все же	1	1
59	и того же	1	1
60	в том что	2	1
61	в нем и	3	1
62	независимо от того	1	1
63	и та же	1	1
64	само по себе	1	1
65	может заключать в	1	1
66	конечно это не	1	1
67	и этот момент	1	1
68	по всей своей	1	1
69	по отношению к	22	1
70	вследствие того что	1	1
71	одного и того	1	1
72	нашей точки зрения	1	1
73	но все эти	3	1
74	уже не только	1	1
75	в конечном счете	1	1
76	как бы два	1	1
77	одна и та	1	1
78	и не нужно	1	1
79	отношение к миру	1	1
80	нет и не	1	1
81	только в том	1	1
82	не может не	1	1
83	тем не менее	2	1
84	если мы возьмем	1	1
85	заключать в себе	1	1
86	бытие в котором	1	1
87	но уже не	1	1
88	и ни к	1	1
