N	2gram	Bakhtin_Fr_2	IolandNe
1	и с	6	3
2	должен быть	1	2
3	и не	15	2
4	в этом	15	2
5	он не	1	2
6	что в	2	2
7	ничего не	2	2
8	бы что	1	2
9	все это	9	1
10	автора и	2	1
11	и др	9	1
12	и тот	1	1
13	и в	49	1
14	и о	4	1
15	в эту	5	1
16	я не	1	1
17	а по	1	1
18	то она	1	1
19	бы в	1	1
20	того же	1	1
21	значительной мере	1	1
22	и со	3	1
23	было не	1	1
24	с другой	4	1
25	и та	1	1
26	а в	4	1
27	вплоть до	2	1
28	к нам	1	1
29	художественного творчества	1	1
30	того что	1	1
31	в художественном	2	1
32	стороны он	1	1
33	не дает	3	1
34	страхом перед	4	1
35	и без	2	1
36	после смерти	1	1
37	это был	2	1
38	цель и	1	1
39	как о	1	1
40	другой стороны	3	1
41	и еще	2	1
42	в первую	2	1
43	для него	9	1
44	аналогии и	1	1
45	что для	3	1
46	в значительной	3	1
47	и сам	1	1
48	художественном творчестве	1	1
49	слишком много	1	1
50	есть только	1	1
51	видит в	3	1
52	что последний	1	1
53	отношению к	1	1
54	так и	6	1
55	он с	1	1
56	от этого	1	1
57	того чтобы	2	1
58	первую очередь	1	1
59	во многом	1	1
60	никогда не	5	1
61	жизни и	7	1
62	тех же	2	1
63	тем что	4	1
64	в целом	1	1
65	по поводу	2	1
66	по отношению	1	1
67	в них	13	1
68	все эти	7	1
69	по существу	2	1
70	со всеми	2	1
71	если бы	1	1
72	для того	1	1
