N	3gram	Berdyaev_N_1	Myslijsy
1	сами по себе	1	7
2	во всяком случае	1	7
3	в том что	1	7
4	и того же	1	6
5	одного и того	1	6
6	подобно тому как	3	4
7	до сих пор	1	4
8	в то время	1	4
9	заключает в себе	1	4
10	в том смысле	1	4
11	то время как	1	3
12	с одной стороны	2	3
13	не могут быть	1	3
14	и в жизни	1	2
15	а не с	1	2
16	есть прежде всего	1	2
17	и во всех	1	2
18	то что в	1	2
19	только потому что	1	2
20	не в том	1	2
21	с другой стороны	2	2
22	не может быть	4	2
23	в этом смысле	2	2
24	мы говорим что	1	1
25	есть такой же	1	1
26	потому что не	1	1
27	может быть только	1	1
28	том случае если	1	1
29	в отличие от	1	1
30	тому как в	1	1
31	и это есть	1	1
32	и в природе	1	1
33	и не может	1	1
34	смысле в каком	1	1
35	со всех сторон	3	1
36	и не в	1	1
37	вместе с тем	2	1
38	в том случае	1	1
39	том смысле в	1	1
40	как и в	1	1
41	то что он	1	1
42	быть может еще	1	1
43	в зависимость от	1	1
44	в наше время	3	1
45	в том чтобы	1	1
46	о том что	1	1
47	вопрос о том	2	1
48	мы говорим о	1	1
49	и не во	2	1
50	которые могут быть	1	1
51	в большинстве случаев	1	1
52	во времени в	1	1
