N	3gram	Potebnia_M_2	Komedia
1	в том что	7	5
2	вместе с тем	1	4
3	о том что	1	4
4	для того чтобы	2	4
5	в связи с	1	3
6	то же время	2	3
7	до тех пор	1	3
8	в то время	4	3
9	в то же	2	3
10	только потому что	2	2
11	в этом смысле	2	2
12	до сих пор	4	2
13	в отличие от	1	2
14	бы то ни	1	2
15	то время как	3	2
16	то ни было	1	2
17	с одной стороны	3	2
18	то что он	1	2
19	во всяком случае	7	2
20	что у него	1	2
21	и т п	3	2
22	после того как	2	2
23	что и в	1	2
24	тот же что	2	1
25	сплошь да рядом	1	1
26	не в состоянии	4	1
27	время как в	1	1
28	потому что в	1	1
29	попытка найти его	1	1
30	как и во	2	1
31	есть для нас	1	1
32	что само по	1	1
33	ни одно из	1	1
34	только в том	1	1
35	и во всех	2	1
36	том случае если	1	1
37	с самого начала	2	1
38	в которой бы	1	1
39	то что в	2	1
40	в наше время	1	1
41	отношения между ними	1	1
42	могла бы быть	1	1
43	как мы их	1	1
44	в том случае	1	1
45	это видно из	1	1
46	и как не	1	1
47	с тем какое	1	1
48	ответ на это	1	1
49	по сравнению с	1	1
50	только после того	1	1
51	само по себе	2	1
52	с другой стороны	2	1
53	мере в какой	1	1
54	то это опять	1	1
55	не может быть	2	1
56	не было бы	4	1
57	если бы и	1	1
58	она могла бы	1	1
59	но столь же	1	1
60	более или менее	8	1
61	и в свою	4	1
62	так и в	2	1
63	в свою очередь	6	1
64	мы можем сказать	1	1
65	и в самом	1	1
66	не имеет значения	1	1
67	но все же	1	1
68	что это не	1	1
69	ближе всего к	1	1
70	друг от друга	1	1
71	что в каждом	1	1
72	но все эти	1	1
73	в большинстве случаев	1	1
74	ведущие к ее	1	1
75	и не имеет	2	1
76	тем не менее	5	1
77	во всех случаях	1	1
78	вслед за этим	1	1
