N	3gram	Losev_Vlad_1	slovoVRo
1	то же время	4	12
2	в то же	4	12
3	и в то	2	5
4	во всяком случае	2	5
5	и т д	2	5
6	и в особенности	1	4
7	с одной стороны	1	4
8	с другой стороны	3	4
9	но в то	1	4
10	но и здесь	1	3
11	более или менее	3	3
12	так и в	1	3
13	в известной степени	1	2
14	мы уже сказали	2	2
15	и не может	1	2
16	одно и то	1	2
17	то время как	1	2
18	не только в	2	2
19	в то время	2	2
20	и то же	1	2
21	и в этом	1	2
22	ту же тему	1	2
23	в свою очередь	1	2
24	как мы уже	3	2
25	к тому что	1	2
26	и в том	1	2
27	одно без другого	1	2
28	во всем своем	1	1
29	а не к	1	1
30	а следовательно и	1	1
31	да и в	1	1
32	в которой все	1	1
33	со всеми его	1	1
34	одной и той	1	1
35	дело в том	4	1
36	и той же	1	1
37	но это не	1	1
38	в некотором отношении	1	1
39	же время и	1	1
40	а с его	1	1
41	в одних случаях	1	1
42	бы то ни	1	1
43	с ним в	1	1
44	на самом же	1	1
45	в этом отношении	1	1
46	кроме того и	1	1
47	он никогда не	1	1
48	но у него	1	1
49	и в частности	2	1
50	то ни было	1	1
51	что для нас	1	1
52	а также и	1	1
53	свою связь с	1	1
54	вместе со своим	1	1
55	в одной плоскости	1	1
56	и ничего не	1	1
57	так или иначе	1	1
58	так в начале	1	1
59	не может быть	3	1
60	в свое время	5	1
61	тем не менее	2	1
62	о том что	7	1
63	одной плоскости с	1	1
64	и потому как	1	1
65	у него есть	1	1
66	если бы мы	1	1
67	и все это	1	1
68	не только не	1	1
69	можно сказать что	2	1
70	уже не только	1	1
71	не было никакого	1	1
72	самом же деле	1	1
73	для того чтобы	2	1
74	в том что	7	1
75	привело к тому	1	1
