N	3gram	Tiupa_Anal_3	VrazhdaK
1	и все же	1	5
2	то же время	3	4
3	в то же	3	4
4	в связи с	1	3
5	в русской литературе	3	3
6	с точки зрения	2	2
7	по нашему убеждению	1	2
8	как раз в	1	2
9	не может быть	1	2
10	в том что	7	2
11	а между тем	1	1
12	в этом смысле	1	1
13	в ответ на	2	1
14	тем более что	1	1
15	до сих пор	1	1
16	в романе достоевского	1	1
17	при этом он	2	1
18	в этом отношении	3	1
19	героя нашего времени	2	1
20	с тех пор	1	1
21	но и как	1	1
22	по крайней мере	4	1
23	едва ли не	2	1
24	в известном смысле	1	1
25	а с другой	1	1
26	не только как	1	1
27	во всяком случае	2	1
28	мы знаем о	1	1
29	с другой стороны	5	1
30	как бы в	1	1
31	тем не менее	2	1
32	писал об этом	1	1
33	заключается в том	1	1
34	в свою очередь	4	1
35	о том что	5	1
36	не только не	3	1
37	между тем это	1	1
38	они как бы	1	1
39	то что они	1	1
40	в глубине души	1	1
41	речь идет о	1	1
