N	3gram	Tiupa_Lite_2	NovoeSre
1	не может быть	7	4
2	подобно тому как	2	3
3	он не может	1	2
4	вместе с тем	1	2
5	с одной стороны	6	2
6	с другой стороны	4	2
7	такой же мере	1	1
8	а не с	1	1
9	в том числе	2	1
10	в зависимость от	1	1
11	и не может	1	1
12	в отличие от	1	1
13	не менее чем	1	1
14	том числе и	1	1
15	можно было бы	1	1
16	в том чтобы	3	1
17	не могут быть	1	1
18	в такой же	1	1
19	не в том	1	1
20	я не могу	1	1
21	в мире а	1	1
22	о том что	2	1
23	имея в виду	1	1
24	в этой системе	1	1
25	и не менее	1	1
26	быть не может	1	1
27	в том что	5	1
