N	3gram	Vinokur_St_1	Literetu
1	в том что	17	11
2	так или иначе	2	8
3	то же время	4	5
4	в то же	4	5
5	в данном случае	6	4
6	не только в	4	4
7	в том же	1	3
8	дело в том	4	2
9	по отношению к	3	2
10	не говоря уже	1	2
11	дело не только	1	2
12	с точки зрения	8	2
13	только в том	3	2
14	в этом отношении	7	2
15	и то что	2	2
16	ту или иную	1	2
17	с одной стороны	2	2
18	чуть ли не	2	2
19	во всяком случае	6	2
20	о том что	11	2
21	тем не менее	2	2
22	во время чумы	2	1
23	в другом месте	1	1
24	в чем он	1	1
25	на том что	1	1
26	а не в	1	1
27	одним и тем	2	1
28	на самом деле	6	1
29	как и во	1	1
30	на то что	4	1
31	во многих случаях	2	1
32	в соответствии с	1	1
33	том что он	1	1
34	начале xix века	1	1
35	в одной из	1	1
36	на мой взгляд	1	1
37	в зависимости от	1	1
38	писал что в	1	1
39	бы то ни	1	1
40	а потому не	1	1
41	в наше время	1	1
42	бы между прочим	1	1
43	моцарта и сальери	1	1
44	можно было бы	8	1
45	читателя в качестве	1	1
46	в той мере	1	1
47	в лучшем случае	1	1
48	а во второй	2	1
49	по крайней мере	2	1
50	по этому поводу	2	1
51	в это время	1	1
52	на эту тему	4	1
53	и мн др	3	1
54	и во всей	1	1
55	и тем же	2	1
56	но в то	2	1
57	в самом деле	5	1
58	и вы увидите	1	1
59	говоря уже о	1	1
60	а также и	2	1
61	в начале xix	1	1
62	и в этом	3	1
63	а с другой	1	1
64	и всякая иная	1	1
65	же время не	1	1
66	до него никто	1	1
67	в целом ряде	1	1
68	с другой стороны	6	1
69	тем что в	2	1
70	не может быть	5	1
71	к литературным фактам	1	1
72	именно в том	1	1
73	каждого из них	2	1
74	только то что	1	1
75	ничего общего с	3	1
76	как в наше	1	1
77	в россии в	1	1
78	в борисе годунове	2	1
79	всяком случае в	2	1
80	до сих пор	7	1
81	и у пушкина	1	1
82	в капитанской дочке	1	1
83	но все же	3	1
84	в этой книге	1	1
85	тем более что	2	1
86	но не менее	1	1
87	но дело в	1	1
88	в том числе	2	1
89	по этому пути	1	1
90	быть не может	1	1
91	мы имеем дело	1	1
92	в основе этой	1	1
93	что он в	1	1
94	в равной мере	2	1
