N	2gram	Tiupa_Narr_1	Tvorches
1	и в	19	21
2	как бы	4	17
3	в то	3	15
4	то же	4	13
5	времени в	2	13
6	в его	9	13
7	то есть	19	12
8	как и	7	12
9	же время	4	12
10	что в	3	12
11	с его	6	11
12	том что	14	11
13	как в	7	8
14	он не	3	8
15	то что	11	8
16	в году	1	7
17	и на	3	7
18	но в	6	7
19	не только	32	7
20	при этом	9	7
21	тем самым	6	7
22	у него	4	7
23	и не	20	7
24	в том	18	7
25	в свою	3	7
26	в этом	17	6
27	человека в	2	6
28	в котором	1	6
29	не менее	3	6
30	и его	5	6
31	он сам	2	6
32	о том	6	6
33	и все	2	6
34	что он	6	6
35	для него	2	6
36	а в	11	6
37	жизни в	3	6
38	отнюдь не	5	5
39	все же	7	5
40	в этой	5	5
41	таким образом	1	5
42	вовсе не	1	5
43	в русской	1	5
44	потому что	1	5
45	как будто	3	5
46	только в	4	5
47	может быть	25	5
48	а не	12	5
49	но это	1	5
50	хотя бы	4	5
51	конечном счете	2	4
52	в своем	2	4
53	и как	5	4
54	та же	2	4
55	в целом	1	4
56	это не	2	4
57	мысли и	1	4
58	своего рода	12	4
59	не случайно	2	4
60	по сути	2	4
61	в мире	9	4
62	времени и	7	4
63	в конечном	3	4
64	русской литературе	1	4
65	одной из	4	4
66	в финале	1	4
67	прежде всего	4	4
68	не может	10	4
69	и от	1	4
70	один из	3	4
71	одним из	2	4
72	на самом	1	3
73	это и	3	3
74	время в	2	3
75	со всеми	1	3
76	человеческих отношений	1	3
77	хотя и	3	3
78	в самом	1	3
79	представляет собой	13	3
80	в нем	4	3
81	он ни	1	3
82	в россии	1	3
83	на его	1	3
84	на земле	1	3
85	и по	1	3
86	что все	1	3
87	и с	4	3
88	на протяжении	6	3
89	авторской позиции	2	3
90	достоевского и	1	3
91	соответствии с	1	3
92	далеко не	5	3
93	в их	1	3
94	место в	1	3
95	даже в	2	3
96	дело не	1	3
97	дело в	1	3
98	не по	1	3
99	никогда не	3	3
100	стремится к	1	3
101	он видит	1	3
102	приходит к	2	3
103	с ее	3	3
104	с ним	1	3
105	там же	1	3
106	того что	1	3
107	который в	2	3
108	во времени	8	3
109	уже не	5	3
110	уже в	3	3
111	говорит о	2	3
112	не так	1	3
113	в соответствии	1	3
114	и даже	3	3
115	с другой	8	3
116	но и	23	3
117	в рассказе	4	3
118	ни на	1	3
119	и будущего	1	3
120	подхода к	1	3
121	но не	5	3
122	сути дела	2	3
123	в книге	1	3
124	не существует	3	3
125	жизни и	3	3
126	так же	2	3
127	в нашей	1	2
128	того же	1	2
129	самом деле	2	2
130	некоторые из	1	2
131	в первом	3	2
132	действительности и	1	2
133	а как	1	2
134	есть не	1	2
135	но она	1	2
136	и он	3	2
137	героя и	4	2
138	в ней	3	2
139	в отличие	5	2
140	в чем	1	2
141	не то	2	2
142	если в	3	2
143	отличие от	5	2
144	в настоящем	1	2
145	как к	2	2
146	что как	1	2
147	когда он	3	2
148	и наконец	1	2
149	пространстве а	1	2
150	то в	6	2
151	и внутреннего	1	2
152	но без	2	2
153	в себе	8	2
154	тем не	3	2
155	так сказать	1	2
156	в принципе	4	2
157	отношений между	1	2
158	в зеркало	1	2
159	в комнату	1	2
160	здесь мы	1	2
161	не будет	3	2
162	в вечности	1	2
163	о котором	1	2
164	а по	2	2
165	и тем	4	2
166	в данном	5	2
167	в один	1	2
168	и того	1	2
169	не столько	4	2
170	жизни с	1	2
171	не в	14	2
172	в пространстве	4	2
173	но он	1	2
174	по крайней	1	2
175	однако в	2	2
176	между людьми	1	2
177	одна из	3	2
178	в основе	5	2
179	к ней	1	2
180	свидетельствует о	1	2
181	характер что	1	2
182	которого он	2	2
183	личности в	2	2
184	могут быть	3	2
185	к тому	7	2
