N	2gram	Tiupa_Hudo_1	DiskursI
1	в себе	11	19
2	при этом	12	17
3	в этом	11	16
4	как и	9	16
5	состоит в	2	16
6	и в	14	16
7	в качестве	9	16
8	может быть	5	16
9	и не	2	15
10	а не	12	14
11	отличие от	1	12
12	в отличие	1	12
13	и т.п	1	12
14	в частности	5	12
15	тогда как	7	11
16	но в	5	11
17	в мире	3	11
18	но и	5	11
19	со стороны	3	10
20	не только	12	10
21	том что	16	10
22	своего рода	7	10
23	так и	13	9
24	не может	7	9
25	такого рода	3	9
26	как в	8	8
27	в том	12	8
28	а также	3	8
29	но не	3	7
30	в данном	1	7
31	в рамках	2	7
32	картины мира	4	7
33	в нем	3	7
34	художественного письма	2	7
35	ни в	5	7
36	не менее	5	7
37	при всей	2	7
38	прежде всего	11	7
39	то же	9	6
40	еще не	7	6
41	с его	5	6
42	данном случае	1	6
43	себя в	4	6
44	отнюдь не	3	6
45	все же	3	6
46	в своей	10	6
47	тем самым	1	6
48	по своей	4	6
49	анекдота и	11	6
50	в своих	3	6
51	и на	3	5
52	в противовес	2	5
53	в своем	4	5
54	и притчи	8	5
55	в то	8	5
56	с другой	1	5
57	же время	8	5
58	что в	6	5
59	для него	10	5
60	то что	8	5
61	а с	2	5
62	ни к	2	5
63	я в	1	5
64	героя в	2	5
65	я и	2	4
66	в рассказе	11	4
67	и то	1	4
68	разумеется не	1	4
69	по отношению	8	4
70	в этой	8	4
71	роль в	1	4
72	человека в	6	4
73	с позиции	2	4
74	в основе	1	4
75	потому что	5	4
76	этом отношении	3	4
77	о том	12	4
78	в пределах	3	4
79	картина мира	4	4
80	одного из	1	4
81	с одной	1	4
82	одно из	1	4
83	в одном	1	4
84	не сводится	1	4
85	картину мира	3	4
86	одной стороны	1	4
87	художественного целого	4	4
88	как бы	7	4
89	рассказа как	1	4
90	точки зрения	5	4
91	к его	1	4
92	отношению к	8	4
93	можно назвать	1	4
94	также и	1	3
95	например в	2	3
96	и ее	1	3
97	анекдота но	2	3
98	жанровой традиции	1	3
99	в становлении	1	3
100	принадлежит к	1	3
101	жизненной позиции	1	3
102	столь же	4	3
103	к жизни	5	3
104	перед нами	5	3
105	и как	1	3
106	этих жанров	1	3
107	все эти	3	3
108	всей своей	1	3
109	из этих	1	3
110	претендовать на	1	3
111	он не	4	3
112	и анекдота	1	3
113	не следует	2	3
114	в другом	2	3
115	его в	3	3
116	это не	7	3
117	соответствии с	1	3
118	в этих	5	3
119	не столько	2	3
120	романом и	1	3
121	где герой	1	3
122	не в	7	3
123	на рубеже	1	3
124	в русской	4	3
125	в тексте	3	3
126	могут быть	1	3
127	об одном	2	3
128	но одновременно	3	3
129	в анекдоте	4	3
130	приводит к	3	3
131	[...] а	1	3
132	еще в	3	3
133	в его	8	3
134	восходит к	1	3
135	но она	1	3
136	жанровой стратегии	2	3
137	героем анекдота	2	3
138	только в	5	3
139	субъекта в	1	3
140	с читателем	1	3
141	и его	5	3
142	уже не	7	3
143	из них	4	3
144	может претендовать	1	3
145	из двух	1	3
146	не было	4	3
147	не знает	2	3
